时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,249.00,8.40,12.30,4.00,2.00,1,2024-07-19 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-18,252.90,5.90,7.20,4.00,1.00,2,2024-07-18 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-17,254.20,8.40,5.30,3.00,3.00,3,2024-07-17 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-16,251.10,15.10,7.80,1.00,2.00,4,2024-07-16 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-15,243.80,9.20,12.40,1.00,1.00,5,2024-07-15 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-14,247.00,8.40,11.50,3.00,1.00,6,2024-07-14 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-13,250.10,4.20,5.60,2.00,2.00,7,2024-07-13 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-12,251.50,9.20,14.20,0.00,3.00,8,2024-07-12 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-11,256.50,10.10,14.40,0.00,2.00,9,2024-07-11 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-10,260.80,10.10,13.10,3.00,1.00,10,2024-07-10 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-09,263.80,9.20,5.90,4.00,3.00,11,2024-07-09 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-08,260.50,7.60,7.90,4.00,4.00,12,2024-07-08 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-07,260.80,12.60,5.90,7.00,2.00,13,2024-07-07 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
2024-07-06,254.10,8.40,6.50,4.00,1.00,14,2024-07-06 00:00:00,1,0,2024-07-20 10:34:01,0,2024-07-20 10:34:01,,,
