时间,库存合计(万吨),新沙港库存(万吨),潮州亚太(万吨),新港库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,347.60,190.00,93.60,64.00,1,2024-07-16 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-15,348.00,192.00,94.00,62.00,2,2024-07-15 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-12,352.00,190.00,99.00,63.00,3,2024-07-12 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-11,354.00,191.00,100.00,63.00,4,2024-07-11 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-10,357.00,193.00,101.00,63.00,5,2024-07-10 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-09,361.00,195.00,102.00,64.00,6,2024-07-09 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-08,361.80,195.00,103.80,63.00,7,2024-07-08 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-05,356.00,188.00,105.00,63.00,8,2024-07-05 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-04,358.60,190.00,105.60,63.00,9,2024-07-04 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-03,365.00,192.00,106.00,67.00,10,2024-07-03 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-02,364.00,196.00,106.00,62.00,11,2024-07-02 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-07-01,363.20,196.00,106.20,61.00,12,2024-07-01 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-28,372.30,196.00,108.30,68.00,13,2024-06-28 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-27,372.00,196.00,109.00,67.00,14,2024-06-27 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-26,371.20,197.00,109.20,65.00,15,2024-06-26 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-25,374.40,200.00,109.40,65.00,16,2024-06-25 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-24,361.50,200.00,94.50,67.00,17,2024-06-24 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-20,355.60,192.00,95.60,68.00,18,2024-06-20 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-19,341.20,192.00,83.20,66.00,19,2024-06-19 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-18,343.40,192.00,83.40,68.00,20,2024-06-18 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-17,345.60,192.00,83.60,70.00,21,2024-06-17 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-14,343.60,190.00,83.60,70.00,22,2024-06-14 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-12,346.00,195.00,84.00,67.00,23,2024-06-12 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-11,332.00,195.00,71.00,66.00,24,2024-06-11 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-07,331.70,198.00,66.70,67.00,25,2024-06-07 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-06,331.30,196.00,68.30,67.00,26,2024-06-06 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-05,333.00,195.00,70.00,68.00,27,2024-06-05 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-04,334.60,196.00,71.60,67.00,28,2024-06-04 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-06-03,335.00,197.00,73.00,65.00,29,2024-06-03 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-05-31,322.80,197.00,60.80,65.00,30,2024-05-31 00:00:00,1,0,2024-07-20 10:39:39,0,2024-07-20 10:39:39,,,
2024-05-30,317.00,191.00,61.00,65.00,31,2024-05-30 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-29,314.00,193.00,55.00,66.00,32,2024-05-29 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-28,318.30,196.00,55.30,67.00,33,2024-05-28 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-27,314.00,191.00,56.00,67.00,34,2024-05-27 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-24,307.00,181.00,58.00,68.00,35,2024-05-24 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-23,302.70,184.00,50.70,68.00,36,2024-05-23 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-22,305.00,183.00,46.00,76.00,37,2024-05-22 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-21,298.50,185.00,46.50,67.00,38,2024-05-21 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-20,298.70,184.00,47.70,67.00,39,2024-05-20 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-17,305.00,183.00,50.00,72.00,40,2024-05-17 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-16,301.00,186.00,46.00,69.00,41,2024-05-16 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-15,294.80,182.00,46.80,66.00,42,2024-05-15 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-14,293.40,180.00,47.40,66.00,43,2024-05-14 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-13,297.00,183.00,48.00,66.00,44,2024-05-13 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-11,296.00,179.00,47.00,70.00,45,2024-05-11 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-10,299.00,177.00,49.00,73.00,46,2024-05-10 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-09,299.00,177.00,51.00,71.00,47,2024-05-09 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-08,300.00,177.00,53.00,70.00,48,2024-05-08 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-07,306.00,179.00,55.00,72.00,49,2024-05-07 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-05-06,311.00,182.00,57.00,72.00,50,2024-05-06 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-30,299.60,183.00,47.60,69.00,51,2024-04-30 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-29,296.30,183.00,41.30,72.00,52,2024-04-29 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-28,296.00,182.00,42.00,72.00,53,2024-04-28 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-26,295.40,178.00,42.40,75.00,54,2024-04-26 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-25,294.20,177.00,44.20,73.00,55,2024-04-25 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-24,293.00,175.00,46.00,72.00,56,2024-04-24 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-23,295.80,178.00,47.80,70.00,57,2024-04-23 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-22,294.60,177.00,49.60,68.00,58,2024-04-22 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-19,286.00,169.00,51.00,66.00,59,2024-04-19 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-18,290.40,173.00,52.40,65.00,60,2024-04-18 00:00:00,1,0,2024-07-20 10:39:42,0,2024-07-20 10:39:42,,,
2024-04-17,292.00,175.00,54.00,63.00,61,2024-04-17 00:00:00,1,0,2024-07-20 10:39:44,0,2024-07-20 10:39:44,,,
2024-04-16,306.00,186.00,55.00,65.00,62,2024-04-16 00:00:00,1,0,2024-07-20 10:39:44,0,2024-07-20 10:39:44,,,
2024-04-15,309.00,180.00,58.00,71.00,63,2024-04-15 00:00:00,1,0,2024-07-20 10:39:44,0,2024-07-20 10:39:44,,,
2024-04-12,307.60,178.00,56.60,73.00,64,2024-04-12 00:00:00,1,0,2024-07-20 10:39:44,0,2024-07-20 10:39:44,,,
