时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,214.00,5.30,3.30,2.00,2.00,1,2024-07-19 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-18,212.00,4.40,4.40,1.00,4.00,2,2024-07-18 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-17,212.00,5.30,9.30,1.00,5.00,3,2024-07-17 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-16,216.00,4.70,2.70,1.00,5.00,4,2024-07-16 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-15,214.00,5.00,2.00,1.00,6.00,5,2024-07-15 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-14,211.00,5.50,4.50,1.00,6.00,6,2024-07-14 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-13,210.00,5.10,5.10,1.00,2.00,7,2024-07-13 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-12,210.00,5.30,3.30,0.00,4.00,8,2024-07-12 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-11,208.00,5.50,5.50,0.00,3.00,9,2024-07-11 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-10,208.00,5.10,6.10,1.00,3.00,10,2024-07-10 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-09,209.00,5.00,4.00,1.00,4.00,11,2024-07-09 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-08,208.00,5.10,5.10,0.00,1.00,12,2024-07-08 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-07,208.00,4.50,1.50,3.00,1.00,13,2024-07-07 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-06,205.00,4.90,6.90,2.00,3.00,14,2024-07-06 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-05,207.00,5.50,5.50,0.00,2.00,15,2024-07-05 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-04,207.00,5.50,4.50,2.00,2.00,16,2024-07-04 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-03,206.00,5.90,4.90,0.00,2.00,17,2024-07-03 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-02,205.00,5.80,5.80,2.00,2.00,18,2024-07-02 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-07-01,205.00,5.00,2.00,6.00,3.00,19,2024-07-01 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-30,202.00,5.40,1.40,5.00,3.00,20,2024-06-30 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-29,198.00,5.50,3.50,4.00,2.00,21,2024-06-29 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-28,196.00,5.30,4.30,4.00,1.00,22,2024-06-28 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-27,195.00,4.90,2.90,2.00,2.00,23,2024-06-27 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-26,193.00,5.50,3.50,2.00,2.00,24,2024-06-26 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-25,191.00,5.80,2.80,2.00,1.00,25,2024-06-25 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-24,188.00,5.00,1.00,4.00,1.00,26,2024-06-24 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-23,184.00,4.60,5.60,2.00,3.00,27,2024-06-23 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-22,185.00,5.50,5.50,1.00,2.00,28,2024-06-22 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-21,185.00,5.60,8.60,5.00,2.00,29,2024-06-21 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-20,188.00,5.50,5.50,1.00,4.00,30,2024-06-20 00:00:00,1,0,2024-07-20 11:02:00,0,2024-07-20 11:02:00,,,
2024-06-19,188.00,6.10,2.10,2.00,2.00,31,2024-06-19 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-18,184.00,5.50,4.50,1.00,4.00,32,2024-06-18 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-17,183.00,6.80,4.80,2.00,4.00,33,2024-06-17 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-16,181.00,5.50,2.50,2.00,7.00,34,2024-06-16 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-15,178.00,5.50,1.50,1.00,2.00,35,2024-06-15 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-14,174.00,5.20,5.20,1.00,2.00,36,2024-06-14 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-13,174.00,5.00,4.00,2.00,1.00,37,2024-06-13 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-12,173.00,4.10,2.10,4.00,1.00,38,2024-06-12 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-11,171.00,4.30,3.30,4.00,1.00,39,2024-06-11 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-10,170.00,5.00,4.00,2.00,1.00,40,2024-06-10 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-09,169.00,4.00,4.00,1.00,0.00,41,2024-06-09 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-08,169.00,3.50,2.50,3.00,0.00,42,2024-06-08 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-07,168.00,4.00,4.00,0.00,1.00,43,2024-06-07 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-06,168.00,4.50,2.50,2.00,1.00,44,2024-06-06 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-05,166.00,4.00,4.00,1.00,1.00,45,2024-06-05 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-04,166.00,4.90,4.90,1.00,2.00,46,2024-06-04 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-03,166.00,3.60,4.60,0.00,2.00,47,2024-06-03 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-02,167.00,4.50,0.50,3.00,1.00,48,2024-06-02 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-06-01,163.00,3.50,3.50,2.00,2.00,49,2024-06-01 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-31,163.00,4.30,4.30,2.00,2.00,50,2024-05-31 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-30,163.00,5.50,3.50,2.00,2.00,51,2024-05-30 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-29,161.00,5.40,2.40,5.00,4.00,52,2024-05-29 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-28,158.00,5.20,0.20,5.00,3.00,53,2024-05-28 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-27,153.00,4.50,5.50,2.00,5.00,54,2024-05-27 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-26,154.00,4.80,1.80,2.00,2.00,55,2024-05-26 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-25,151.00,3.40,1.40,3.00,1.00,56,2024-05-25 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-24,149.00,4.00,1.00,0.00,1.00,57,2024-05-24 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-23,146.00,4.40,3.40,0.00,1.00,58,2024-05-23 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-22,145.00,4.50,3.50,1.00,1.00,59,2024-05-22 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-21,144.00,5.10,5.10,4.00,1.00,60,2024-05-21 00:00:00,1,0,2024-07-20 11:02:04,0,2024-07-20 11:02:04,,,
2024-05-20,144.00,5.60,4.60,3.00,1.00,61,2024-05-20 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-19,143.00,5.50,8.50,5.00,1.00,62,2024-05-19 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-18,146.00,4.40,5.40,3.00,3.00,63,2024-05-18 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-17,147.00,4.60,6.60,2.00,3.00,64,2024-05-17 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-16,149.00,4.70,5.70,3.00,1.00,65,2024-05-16 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-15,150.00,4.80,2.80,3.00,0.00,66,2024-05-15 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-14,148.00,3.90,3.90,3.00,1.00,67,2024-05-14 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-13,148.00,5.00,8.00,3.00,1.00,68,2024-05-13 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-12,151.00,4.90,1.90,3.00,2.00,69,2024-05-12 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-11,148.00,3.30,4.30,3.00,2.00,70,2024-05-11 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-10,149.00,4.00,4.00,3.00,2.00,71,2024-05-10 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-09,149.00,3.20,6.20,2.00,0.00,72,2024-05-09 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-08,152.00,3.50,2.50,2.00,1.00,73,2024-05-08 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-07,151.00,3.60,3.60,2.00,1.00,74,2024-05-07 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-06,151.00,4.00,2.00,1.00,2.00,75,2024-05-06 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-05,149.00,3.40,5.40,0.00,2.00,76,2024-05-05 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-04,151.00,3.90,2.90,1.00,2.00,77,2024-05-04 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-03,150.00,3.50,9.50,1.00,2.00,78,2024-05-03 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-02,156.00,2.80,5.80,5.00,1.00,79,2024-05-02 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-01,159.00,4.00,8.00,5.00,1.00,80,2024-05-01 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-30,163.00,3.80,5.80,8.00,2.00,81,2024-04-30 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-29,165.00,3.40,5.40,4.00,2.00,82,2024-04-29 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-28,167.00,3.20,5.20,4.00,2.00,83,2024-04-28 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
