时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,232.90,5.90,9.90,2.00,2.00,1,2024-07-19 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-18,236.90,5.90,8.00,0.00,4.00,2,2024-07-18 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-17,239.00,6.70,12.70,3.00,6.00,3,2024-07-17 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-16,245.00,4.20,10.20,4.00,1.00,4,2024-07-16 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-15,251.00,5.00,7.00,3.00,2.00,5,2024-07-15 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-14,253.00,5.00,12.80,1.00,7.00,6,2024-07-14 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-13,260.80,6.70,8.70,4.00,7.00,7,2024-07-13 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-12,262.80,4.20,12.20,5.00,3.00,8,2024-07-12 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-11,270.80,10.90,9.90,2.00,1.00,9,2024-07-11 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-10,269.80,7.60,3.60,4.00,2.00,10,2024-07-10 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-09,265.80,8.40,1.40,2.00,4.00,11,2024-07-09 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-08,258.80,7.60,2.80,1.00,1.00,12,2024-07-08 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-07,254.00,8.40,5.40,1.00,1.00,13,2024-07-07 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-06,251.00,7.60,1.90,0.00,1.00,14,2024-07-06 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-05,245.30,7.60,3.60,1.00,3.00,15,2024-07-05 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-04,241.30,5.00,1.50,0.00,0.00,16,2024-07-04 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-03,237.80,8.40,6.40,1.00,1.00,17,2024-07-03 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-02,235.80,10.10,15.90,1.00,0.00,18,2024-07-02 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-07-01,241.60,10.10,9.70,4.00,2.00,19,2024-07-01 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-30,241.20,5.90,5.50,4.00,0.00,20,2024-06-30 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-29,240.80,7.60,6.60,2.00,3.00,21,2024-06-29 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-28,239.80,7.60,10.60,3.00,3.00,22,2024-06-28 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-27,242.80,11.80,9.40,6.00,3.00,23,2024-06-27 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-26,240.40,10.10,12.10,4.00,1.00,24,2024-06-26 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-25,242.40,11.80,5.80,4.00,2.00,25,2024-06-25 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-24,236.40,7.60,11.40,2.00,6.00,26,2024-06-24 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-23,240.20,7.60,9.60,2.00,7.00,27,2024-06-23 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-22,242.20,4.20,7.90,2.00,3.00,28,2024-06-22 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-21,245.90,6.70,5.70,1.00,2.00,29,2024-06-21 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-20,244.90,6.70,11.30,4.00,3.00,30,2024-06-20 00:00:00,1,0,2024-07-20 11:10:45,0,2024-07-20 11:10:45,,,
2024-06-19,249.50,6.70,7.90,7.00,4.00,31,2024-06-19 00:00:00,1,0,2024-07-20 11:10:48,0,2024-07-20 11:10:48,,,
2024-06-18,250.70,10.90,9.40,7.00,3.00,32,2024-06-18 00:00:00,1,0,2024-07-20 11:10:48,0,2024-07-20 11:10:48,,,
