时间,库存合计(万吨),调入量（万吨）,调出量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,2551.80,159.00,171.50,76.00,21.00,1,2024-07-19 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-18,2571.30,161.10,168.40,75.00,24.00,2,2024-07-18 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-17,2583.50,149.70,161.80,75.00,26.00,3,2024-07-17 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-16,2583.20,154.50,170.40,74.00,23.00,4,2024-07-16 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-15,2597.60,154.70,158.20,66.00,28.00,5,2024-07-15 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-14,2607.70,160.80,166.30,79.00,28.00,6,2024-07-14 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-13,2624.60,138.30,169.30,75.00,28.00,7,2024-07-13 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-12,2645.20,158.20,190.90,69.00,22.00,8,2024-07-12 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-11,2684.00,156.80,190.50,78.00,19.00,9,2024-07-11 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-10,2715.90,148.60,170.60,78.00,23.00,10,2024-07-10 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-09,2732.70,174.60,143.80,67.00,22.00,11,2024-07-09 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-08,2707.20,165.60,163.90,57.00,16.00,12,2024-07-08 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-07,2695.90,168.10,158.90,65.00,20.00,13,2024-07-07 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-06,2699.20,137.90,162.70,58.00,17.00,14,2024-07-06 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-05,2716.20,170.60,165.40,55.00,20.00,15,2024-07-05 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-04,2713.40,182.20,153.90,47.00,22.00,16,2024-07-04 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-03,2690.20,157.20,160.90,50.00,17.00,17,2024-07-03 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-02,2667.10,168.90,170.50,47.00,16.00,18,2024-07-02 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-07-01,2689.70,182.10,172.80,55.00,21.00,19,2024-07-01 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-30,2697.70,179.50,186.00,59.00,26.00,20,2024-06-30 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-29,2693.30,161.00,175.30,61.00,27.00,21,2024-06-29 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-28,2701.10,176.10,181.70,78.00,29.00,22,2024-06-28 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-27,2709.60,198.00,183.50,65.00,31.00,23,2024-06-27 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-26,2696.30,174.60,188.20,67.00,26.00,24,2024-06-26 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-25,2709.10,185.10,184.60,63.00,16.00,25,2024-06-25 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-24,2712.20,174.90,176.20,79.00,18.00,26,2024-06-24 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-23,2708.60,182.30,180.40,73.00,35.00,27,2024-06-23 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-22,2699.90,162.10,177.30,86.00,23.00,28,2024-06-22 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-21,2712.50,167.20,173.90,85.00,22.00,29,2024-06-21 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-20,2736.50,178.10,174.50,72.00,28.00,30,2024-06-20 00:00:00,1,0,2024-07-20 11:16:00,0,2024-07-20 11:16:00,,,
2024-06-19,2724.40,162.10,138.20,69.00,31.00,31,2024-06-19 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-18,2693.70,192.20,160.30,71.00,30.00,32,2024-06-18 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-17,2662.00,190.80,166.40,57.00,28.00,33,2024-06-17 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-16,2642.70,188.60,172.10,67.00,36.00,34,2024-06-16 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-15,2638.80,163.60,155.30,72.00,30.00,35,2024-06-15 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-14,2632.10,176.00,168.20,70.00,23.00,36,2024-06-14 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-13,2619.20,170.10,175.50,74.00,17.00,37,2024-06-13 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-12,2622.20,176.30,161.50,67.00,22.00,38,2024-06-12 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-11,2603.90,196.70,175.10,62.00,25.00,39,2024-06-11 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-10,2570.90,197.20,182.80,57.00,21.00,40,2024-06-10 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-09,2564.50,192.50,162.40,67.00,29.00,41,2024-06-09 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-08,2540.00,173.10,175.50,56.00,30.00,42,2024-06-08 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-07,2544.90,187.70,182.90,52.00,20.00,43,2024-06-07 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-06,2550.20,194.40,167.00,55.00,26.00,44,2024-06-06 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-05,2520.10,172.10,179.60,52.00,15.00,45,2024-06-05 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-04,2523.10,191.20,168.40,54.00,13.00,46,2024-06-04 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-03,2503.40,180.40,186.30,54.00,17.00,47,2024-06-03 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-02,2515.40,191.40,206.50,76.00,19.00,48,2024-06-02 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-06-01,2540.00,177.30,205.80,89.00,19.00,49,2024-06-01 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-31,2560.00,173.20,187.30,95.00,26.00,50,2024-05-31 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-30,2568.50,181.80,200.10,102.00,27.00,51,2024-05-30 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-29,2572.70,193.30,183.70,115.00,39.00,52,2024-05-29 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-28,2563.20,184.10,198.00,126.00,35.00,53,2024-05-28 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-27,2579.80,195.80,207.10,117.00,38.00,54,2024-05-27 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
2024-05-26,2591.00,166.40,170.40,128.00,32.00,55,2024-05-26 00:00:00,1,0,2024-07-20 11:16:02,0,2024-07-20 11:16:02,,,
