时间,港口合计(万吨),沿海港口(万吨),内河港口(万吨),北方港口(万吨),南方港口(万吨),华东港口(万吨),华南港口(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-15,7275.70,6090.90,1184.90,3326.70,3949.10,2335.20,2089.20,1,2024-07-15 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-07-08,7409.90,6205.80,1204.10,3439.30,3970.70,2371.50,2067.50,2,2024-07-08 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-07-01,7403.30,6221.50,1181.80,3421.70,3981.60,2398.40,2058.20,3,2024-07-01 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-06-24,7320.10,6132.30,1187.80,3472.00,3848.10,2375.40,1970.80,4,2024-06-24 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-06-17,7156.60,5960.80,1195.80,3436.00,3720.60,2351.20,1871.90,5,2024-06-17 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-06-10,6928.30,5747.60,1180.70,3330.40,3597.90,2310.90,1794.00,6,2024-06-10 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-06-03,6741.20,5606.90,1134.40,3233.00,3508.30,2207.50,1788.70,7,2024-06-03 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-05-27,6667.60,5568.00,1099.50,3329.40,3338.20,2177.50,1648.40,8,2024-05-27 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-05-20,6445.20,5386.50,1058.70,3181.50,3263.80,2092.80,1598.50,9,2024-05-20 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-05-13,6282.10,5251.70,1030.40,3085.20,3196.90,2046.40,1558.60,10,2024-05-13 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-05-06,6053.30,5118.80,934.50,2935.70,3117.50,1941.10,1550.30,11,2024-05-06 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-04-29,6098.10,5179.30,918.70,3080.50,3017.60,1939.30,1477.40,12,2024-04-29 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-04-22,6004.90,5130.00,875.00,3018.40,2986.60,1905.20,1478.20,13,2024-04-22 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-04-15,5871.70,4974.70,897.00,2875.90,2995.80,1875.20,1504.40,14,2024-04-15 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-04-08,5770.30,4916.20,854.10,2898.90,2871.40,1847.30,1419.60,15,2024-04-08 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-04-01,5781.30,4913.10,868.20,2918.50,2862.80,1819.20,1413.60,16,2024-04-01 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
2024-03-25,5754.60,4877.60,877.00,2832.40,2922.20,1779.90,1491.90,17,2024-03-25 00:00:00,1,0,2024-07-20 11:26:15,0,2024-07-20 11:26:15,,,
