时间,库存总量(万吨),精煤库存(万吨),动力煤库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,742.60,260.00,482.60,1,2024-07-18 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-07-11,754.50,262.50,492.00,2,2024-07-11 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-07-04,743.60,262.00,481.60,3,2024-07-04 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-06-27,733.60,263.60,470.00,4,2024-06-27 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-06-20,697.50,259.50,438.00,5,2024-06-20 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-06-13,720.00,260.20,459.80,6,2024-06-13 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-06-06,686.70,258.20,428.50,7,2024-06-06 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-05-30,648.00,258.00,390.00,8,2024-05-30 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-05-23,648.00,258.00,390.00,9,2024-05-23 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-05-16,624.40,255.60,368.80,10,2024-05-16 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-05-09,622.40,257.80,364.60,11,2024-05-09 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-04-25,631.00,259.60,371.40,12,2024-04-25 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-04-18,628.80,257.10,371.70,13,2024-04-18 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-04-11,636.00,257.50,378.50,14,2024-04-11 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-03-28,705.00,259.00,446.00,15,2024-03-28 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-03-21,664.30,257.30,407.00,16,2024-03-21 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-03-14,659.20,258.00,401.20,17,2024-03-14 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-03-07,652.00,258.00,394.00,18,2024-03-07 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-02-29,663.40,257.70,405.70,19,2024-02-29 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-02-22,677.80,261.00,416.80,20,2024-02-22 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-02-01,640.80,258.00,382.80,21,2024-02-01 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-01-25,682.00,261.20,420.80,22,2024-01-25 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-01-18,706.80,257.80,449.00,23,2024-01-18 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-01-11,728.20,258.20,470.00,24,2024-01-11 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2024-01-04,741.20,256.20,485.00,25,2024-01-04 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-12-28,716.80,261.20,455.60,26,2023-12-28 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-12-21,766.20,264.20,502.00,27,2023-12-21 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-12-14,784.30,259.60,524.70,28,2023-12-14 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-12-07,703.50,259.00,444.50,29,2023-12-07 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-11-30,708.60,256.60,452.00,30,2023-11-30 00:00:00,1,0,2024-07-20 11:27:44,0,2024-07-20 11:27:44,,,
2023-11-23,712.60,258.60,454.00,31,2023-11-23 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-11-16,701.80,262.80,439.00,32,2023-11-16 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-11-09,691.60,258.60,433.00,33,2023-11-09 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-11-02,649.50,258.10,391.10,34,2023-11-02 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-10-26,636.00,255.60,380.40,35,2023-10-26 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-10-19,609.10,256.90,352.20,36,2023-10-19 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-10-12,618.00,254.00,364.00,37,2023-10-12 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-09-21,629.00,265.00,364.00,38,2023-09-21 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-09-14,589.70,241.70,348.00,39,2023-09-14 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
2023-09-07,583.40,241.60,341.80,40,2023-09-07 00:00:00,1,0,2024-07-20 11:27:47,0,2024-07-20 11:27:47,,,
