时间,港口,月末库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-09,全国主要港口,2996.40,1,2021-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-08,全国主要港口,2880.80,2,2021-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-07,全国主要港口,2931.70,3,2021-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-06,全国主要港口,3376.90,4,2021-06-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-05,全国主要港口,3673.30,5,2021-05-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-04,全国主要港口,3548.00,6,2021-04-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-03,全国主要港口,3786.00,7,2021-03-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2021-02,全国主要港口,3586.00,8,2021-02-28 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-12,全国主要港口,3236.00,9,2020-12-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-11,全国主要港口,3162.00,10,2020-11-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-10,全国主要港口,3132.10,11,2020-10-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-09,北方七港,2493.40,12,2020-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-09,黄骅港,155.70,13,2020-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-09,港口外贸,713.30,14,2020-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-09,秦皇岛港,502.00,15,2020-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-09,全国主要港口,3521.50,16,2020-09-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-08,秦皇岛港,495.00,17,2020-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-08,黄骅港,193.90,18,2020-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-08,港口外贸,831.80,19,2020-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-08,全国主要港口,3978.10,20,2020-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-08,北方七港,2770.30,21,2020-08-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-07,黄骅港,222.80,22,2020-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-07,港口外贸,1085.50,23,2020-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-07,全国主要港口,4446.70,24,2020-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-07,北方七港,3129.80,25,2020-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-07,秦皇岛港,508.50,26,2020-07-31 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-06,港口外贸,996.90,27,2020-06-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-06,北方七港,3196.70,28,2020-06-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-06,黄骅港,214.20,29,2020-06-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-06,秦皇岛港,478.00,30,2020-06-30 00:00:00,1,0,2024-07-20 11:28:39,0,2024-07-20 11:28:39,,,
2020-06,港口外贸,996.90,31,2020-06-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-05,港口外贸,906.90,32,2020-05-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-05,秦皇岛港,378.50,33,2020-05-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-05,黄骅港,160.40,34,2020-05-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-05,北方七港,1988.80,35,2020-05-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-05,全国主要港口,3242.50,36,2020-05-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-04,全国主要港口,4041.30,37,2020-04-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-04,港口外贸,945.90,38,2020-04-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-04,北方七港,2788.90,39,2020-04-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-04,黄骅港,196.40,40,2020-04-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-04,秦皇岛港,578.00,41,2020-04-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-03,黄骅港,185.00,42,2020-03-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-03,全国主要港口,4231.00,43,2020-03-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-03,港口外贸,1044.00,44,2020-03-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-03,北方七港,2855.00,45,2020-03-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-03,秦皇岛港,671.00,46,2020-03-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,北方七港,1950.30,47,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,港口外贸,,48,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,全国主要港口,3033.70,49,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,黄骅港,198.80,50,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,秦皇岛港,582.00,51,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2020-02,全国主要港口,3586.00,52,2020-02-29 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,北方七港,2859.50,53,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,天津港,189.10,54,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,秦皇岛港,524.50,55,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,黄骅港,179.10,56,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,全国主要港口,4385.70,57,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-12,港口外贸,1160.80,58,2019-12-31 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-11,黄骅港,249.70,59,2019-11-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-11,秦皇岛港,629.00,60,2019-11-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-11,秦皇岛港,629.00,61,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,北方七港,3452.80,62,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,全国主要港口,4575.20,63,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,天津港,208.90,64,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,黄骅港,275.50,65,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,秦皇岛港,650.00,66,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,港口外贸,1396.60,67,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,北方七港,3679.10,68,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,天津港,195.20,69,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,全国主要港口,5315.20,70,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,秦皇岛港,590.50,71,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,北方七港,3183.20,72,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,港口外贸,1364.30,73,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,全国主要港口,4856.40,74,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,天津港,165.40,75,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,黄骅港,224.60,76,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,黄骅港,240.40,77,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,秦皇岛港,565.00,78,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,全国主要港口,5080.30,79,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,北方七港,3395.40,80,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,天津港,192.80,81,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,港口外贸,1451.10,82,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,港口外贸,1289.40,83,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,天津港,202.70,84,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,黄骅港,226.30,85,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,北方七港,3347.40,86,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,秦皇岛港,604.50,87,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,全国主要港口,4882.00,88,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,全国主要港口,4458.00,89,2019-06-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,天津港,169.00,90,2019-06-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,港口外贸,1289.00,91,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-06,北方七港,2857.00,92,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-06,全国主要港口,4458.00,93,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
