时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,焦炭,收盘价,2182.00,-1.69%,1,2024-07-19 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-19,焦炭,结算价,2194.00,-0.59%,2,2024-07-19 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-18,焦炭,收盘价,2219.50,-0.56%,3,2024-07-18 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-18,焦炭,结算价,2207.00,-2.56%,4,2024-07-18 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-17,焦炭,收盘价,2232.00,-2.45%,5,2024-07-17 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-17,焦炭,结算价,2265.00,-0.61%,6,2024-07-17 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-16,焦炭,收盘价,2288.00,-0.09%,7,2024-07-16 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-16,焦炭,结算价,2279.00,0.22%,8,2024-07-16 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-15,焦炭,收盘价,2290.00,2.05%,9,2024-07-15 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-15,焦炭,结算价,2274.00,1.59%,10,2024-07-15 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-12,焦炭,收盘价,2244.00,0.54%,11,2024-07-12 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-12,焦炭,结算价,2238.50,0.31%,12,2024-07-12 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
2024-07-11,焦炭,收盘价,2232.00,0.77%,13,2024-07-11 00:00:00,1,0,2024-07-20 12:04:28,0,2024-07-20 12:04:28,,,
