时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,螺纹钢,收盘价,3479.00,-0.37%,1,2024-07-19 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-19,螺纹钢,结算价,3474.00,-0.03%,2,2024-07-19 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-18,螺纹钢,收盘价,3492.00,0.14%,3,2024-07-18 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-18,螺纹钢,结算价,3475.00,-1.31%,4,2024-07-18 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-17,螺纹钢,收盘价,3487.00,-1.61%,5,2024-07-17 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-17,螺纹钢,结算价,3521.00,-0.56%,6,2024-07-17 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-16,螺纹钢,收盘价,3544.00,-0.2%,7,2024-07-16 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-16,螺纹钢,结算价,3541.00,-0.08%,8,2024-07-16 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-15,螺纹钢,收盘价,3551.00,0.79%,9,2024-07-15 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-15,螺纹钢,结算价,3544.00,0.71%,10,2024-07-15 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-12,螺纹钢,收盘价,3523.00,0.26%,11,2024-07-12 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-12,螺纹钢,结算价,3519.00,0.4%,12,2024-07-12 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-11,螺纹钢,收盘价,3514.00,1.04%,13,2024-07-11 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-11,螺纹钢,结算价,3505.00,0.37%,14,2024-07-11 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-10,螺纹钢,收盘价,3478.00,-1.05%,15,2024-07-10 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-10,螺纹钢,结算价,3492.00,-0.51%,16,2024-07-10 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-09,螺纹钢,收盘价,3515.00,0.34%,17,2024-07-09 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-09,螺纹钢,结算价,3510.00,-0.65%,18,2024-07-09 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-08,螺纹钢,收盘价,3503.00,-1.41%,19,2024-07-08 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-08,螺纹钢,结算价,3533.00,-1.48%,20,2024-07-08 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
2024-07-05,螺纹钢,收盘价,3553.00,-1.74%,21,2024-07-05 00:00:00,1,0,2024-07-20 12:16:10,0,2024-07-20 12:16:10,,,
