时间,数据项目,本期值(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-14,中国原油综合进口到岸价格指数,139.14,-2.65,-1.87,1,2024-07-14 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-07-07,中国原油综合进口到岸价格指数,141.79,5.57,4.09,2,2024-07-07 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-06-30,中国原油综合进口到岸价格指数,136.22,-3.24,-2.32,3,2024-06-30 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-06-23,中国原油综合进口到岸价格指数,139.46,0.09,0.06,4,2024-06-23 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-06-16,中国原油综合进口到岸价格指数,139.37,2.48,1.81,5,2024-06-16 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-06-09,中国原油综合进口到岸价格指数,136.89,-5.21,-3.67,6,2024-06-09 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-06-02,中国原油综合进口到岸价格指数,142.10,-2.01,-1.39,7,2024-06-02 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-05-26,中国原油综合进口到岸价格指数,144.11,0.43,0.30,8,2024-05-26 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-05-19,中国原油综合进口到岸价格指数,143.68,-0.17,-0.12,9,2024-05-19 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-05-12,中国原油综合进口到岸价格指数,143.85,-5.88,-3.93,10,2024-05-12 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-05-05,中国原油综合进口到岸价格指数,149.73,6.32,4.41,11,2024-05-05 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-04-28,中国原油综合进口到岸价格指数,143.41,-0.75,-0.52,12,2024-04-28 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-04-21,中国原油综合进口到岸价格指数,144.16,1.40,0.98,13,2024-04-21 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-04-14,中国原油综合进口到岸价格指数,142.76,3.43,2.46,14,2024-04-14 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-04-07,中国原油综合进口到岸价格指数,139.33,0.02,0.01,15,2024-04-07 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-03-31,中国原油综合进口到岸价格指数,139.31,3.68,2.71,16,2024-03-31 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-03-24,中国原油综合进口到岸价格指数,135.63,-8.28,-5.75,17,2024-03-24 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-03-17,中国原油综合进口到岸价格指数,143.91,6.99,5.11,18,2024-03-17 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-03-10,中国原油综合进口到岸价格指数,136.92,2.34,1.74,19,2024-03-10 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-03-03,中国原油综合进口到岸价格指数,134.58,1.93,1.45,20,2024-03-03 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-02-25,中国原油综合进口到岸价格指数,132.65,0.77,0.58,21,2024-02-25 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-02-18,中国原油综合进口到岸价格指数,131.88,-0.63,-0.48,22,2024-02-18 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-02-04,中国原油综合进口到岸价格指数,132.51,1.23,0.94,23,2024-02-04 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-01-28,中国原油综合进口到岸价格指数,131.28,-0.54,-0.41,24,2024-01-28 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-01-21,中国原油综合进口到岸价格指数,131.82,-1.66,-1.24,25,2024-01-21 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-01-14,中国原油综合进口到岸价格指数,133.48,-1.93,-1.43,26,2024-01-14 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2024-01-07,中国原油综合进口到岸价格指数,135.41,0.15,0.11,27,2024-01-07 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2023-12-31,中国原油综合进口到岸价格指数,135.26,-1.55,-1.13,28,2023-12-31 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2023-12-24,中国原油综合进口到岸价格指数,136.81,-2.24,-1.61,29,2023-12-24 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2023-12-17,中国原油综合进口到岸价格指数,139.05,-4.61,-3.21,30,2023-12-17 00:00:00,1,0,2024-07-20 12:37:40,0,2024-07-20 12:37:40,,,
2023-12-10,中国原油综合进口到岸价格指数,143.66,-1.75,-1.20,31,2023-12-10 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-12-03,中国原油综合进口到岸价格指数,145.41,-3.68,-2.47,32,2023-12-03 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-11-26,中国原油综合进口到岸价格指数,149.09,3.28,2.25,33,2023-11-26 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-11-19,中国原油综合进口到岸价格指数,145.81,-6.67,-4.37,34,2023-11-19 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-11-12,中国原油综合进口到岸价格指数,152.48,-1.28,-0.83,35,2023-11-12 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-11-05,中国原油综合进口到岸价格指数,153.76,0.68,0.44,36,2023-11-05 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-10-29,中国原油综合进口到岸价格指数,153.08,1.71,1.13,37,2023-10-29 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-10-22,中国原油综合进口到岸价格指数,151.37,-0.60,-0.39,38,2023-10-22 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-10-15,中国原油综合进口到岸价格指数,151.97,-0.52,-0.34,39,2023-10-15 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-10-08,中国原油综合进口到岸价格指数,152.49,-0.28,-0.18,40,2023-10-08 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-10-01,中国原油综合进口到岸价格指数,152.77,7.56,5.21,41,2023-10-01 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-09-24,中国原油综合进口到岸价格指数,145.21,0.33,0.23,42,2023-09-24 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-09-17,中国原油综合进口到岸价格指数,144.88,0.51,0.35,43,2023-09-17 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-09-10,中国原油综合进口到岸价格指数,144.37,4.02,2.86,44,2023-09-10 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-09-03,中国原油综合进口到岸价格指数,140.35,2.07,1.50,45,2023-09-03 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-08-27,中国原油综合进口到岸价格指数,138.28,5.79,4.37,46,2023-08-27 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-08-20,中国原油综合进口到岸价格指数,132.49,-0.31,-0.23,47,2023-08-20 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-08-13,中国原油综合进口到岸价格指数,132.80,-0.34,-0.26,48,2023-08-13 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-08-06,中国原油综合进口到岸价格指数,133.14,4.13,3.20,49,2023-08-06 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-07-30,中国原油综合进口到岸价格指数,129.01,2.36,1.86,50,2023-07-30 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-07-23,中国原油综合进口到岸价格指数,126.65,-1.65,-1.29,51,2023-07-23 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-07-16,中国原油综合进口到岸价格指数,128.30,3.66,2.94,52,2023-07-16 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-07-09,中国原油综合进口到岸价格指数,124.64,3.49,2.88,53,2023-07-09 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-07-02,中国原油综合进口到岸价格指数,121.15,-0.90,-0.74,54,2023-07-02 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-06-25,中国原油综合进口到岸价格指数,122.05,1.62,1.35,55,2023-06-25 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-06-18,中国原油综合进口到岸价格指数,120.43,-0.53,-0.44,56,2023-06-18 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-06-11,中国原油综合进口到岸价格指数,120.96,-8.96,-6.90,57,2023-06-11 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-05-28,中国原油综合进口到岸价格指数,129.92,0.78,0.60,58,2023-05-28 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-05-21,中国原油综合进口到岸价格指数,129.14,0.21,0.16,59,2023-05-21 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-05-14,中国原油综合进口到岸价格指数,128.93,-6.51,-4.81,60,2023-05-14 00:00:00,1,0,2024-07-20 12:37:44,0,2024-07-20 12:37:44,,,
2023-05-07,中国原油综合进口到岸价格指数,135.44,-13.08,-8.81,61,2023-05-07 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-04-30,中国原油综合进口到岸价格指数,148.52,18.49,14.22,62,2023-04-30 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-04-23,中国原油综合进口到岸价格指数,130.03,3.76,2.98,63,2023-04-23 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-04-16,中国原油综合进口到岸价格指数,126.27,-3.07,-2.37,64,2023-04-16 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-04-09,中国原油综合进口到岸价格指数,129.34,1.54,1.21,65,2023-04-09 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-03-26,中国原油综合进口到岸价格指数,127.80,-0.75,-0.58,66,2023-03-26 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-03-19,中国原油综合进口到岸价格指数,128.55,-1.46,-1.12,67,2023-03-19 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-03-12,中国原油综合进口到岸价格指数,130.01,1.84,1.44,68,2023-03-12 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-03-05,中国原油综合进口到岸价格指数,128.17,2.22,1.76,69,2023-03-05 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-02-26,中国原油综合进口到岸价格指数,125.95,-5.96,-4.52,70,2023-02-26 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-02-19,中国原油综合进口到岸价格指数,131.91,3.10,2.41,71,2023-02-19 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-02-12,中国原油综合进口到岸价格指数,128.81,1.24,0.97,72,2023-02-12 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-02-05,中国原油综合进口到岸价格指数,127.57,-3.22,-2.46,73,2023-02-05 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-01-29,中国原油综合进口到岸价格指数,130.79,-2.00,-1.51,74,2023-01-29 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-01-22,中国原油综合进口到岸价格指数,132.79,-1.79,-1.33,75,2023-01-22 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-01-15,中国原油综合进口到岸价格指数,134.58,0.72,0.54,76,2023-01-15 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-01-08,中国原油综合进口到岸价格指数,133.86,-2.56,-1.88,77,2023-01-08 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2023-01-01,中国原油综合进口到岸价格指数,136.42,-7.15,-4.98,78,2023-01-01 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-12-25,中国原油综合进口到岸价格指数,143.57,-1.58,-1.09,79,2022-12-25 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-12-18,中国原油综合进口到岸价格指数,145.15,-5.77,-3.82,80,2022-12-18 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-12-11,中国原油综合进口到岸价格指数,150.92,3.38,2.29,81,2022-12-11 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-12-04,中国原油综合进口到岸价格指数,147.54,-8.99,-5.74,82,2022-12-04 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-11-27,中国原油综合进口到岸价格指数,156.53,0.16,0.10,83,2022-11-27 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-11-20,中国原油综合进口到岸价格指数,156.37,-0.50,-0.32,84,2022-11-20 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-11-13,中国原油综合进口到岸价格指数,156.87,3.32,2.16,85,2022-11-13 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-11-06,中国原油综合进口到岸价格指数,153.55,-0.10,-0.07,86,2022-11-06 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-10-30,中国原油综合进口到岸价格指数,153.65,-4.76,-3.00,87,2022-10-30 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-10-23,中国原油综合进口到岸价格指数,158.41,1.90,1.21,88,2022-10-23 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-10-16,中国原油综合进口到岸价格指数,156.51,0.92,0.59,89,2022-10-16 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-10-09,中国原油综合进口到岸价格指数,155.59,-0.11,-0.07,90,2022-10-09 00:00:00,1,0,2024-07-20 12:37:47,0,2024-07-20 12:37:47,,,
2022-10-02,中国原油综合进口到岸价格指数,155.70,-4.50,-2.81,91,2022-10-02 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-09-25,中国原油综合进口到岸价格指数,160.20,0.35,0.22,92,2022-09-25 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-09-18,中国原油综合进口到岸价格指数,159.85,-1.32,-0.82,93,2022-09-18 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-09-11,中国原油综合进口到岸价格指数,161.17,4.42,2.82,94,2022-09-11 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-09-04,中国原油综合进口到岸价格指数,156.75,0.58,0.37,95,2022-09-04 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-08-28,中国原油综合进口到岸价格指数,156.17,-12.21,-7.25,96,2022-08-28 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
2022-08-21,中国原油综合进口到岸价格指数,168.38,-2.66,-1.56,97,2022-08-21 00:00:00,1,0,2024-07-20 12:37:50,0,2024-07-20 12:37:50,,,
