时间,累计值(万吨),累计增长(%),平均日产(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-07,226168.60,6.66,1066.83,1,2021-07-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2021-06,194054.33,7.73,992.34,2,2021-06-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2021-05,161638.45,10.75,1070.45,3,2021-05-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2021-04,128877.67,12.26,1073.98,4,2021-04-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2021-03,97197.50,17.12,1079.97,5,2021-03-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2021-02,62494.30,25.53,1059.23,6,2021-02-28 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-11,350990.59,2.67,1041.52,7,2020-11-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-10,314900.62,1.82,1025.73,8,2020-10-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-09,280087.23,1.26,1041.81,9,2020-09-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-08,245816.36,0.77,999.25,10,2020-08-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-07,212364.02,0.21,997.01,11,2020-07-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-06,180605.70,1.55,992.34,12,2020-06-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-05,146977.03,1.46,966.95,13,2020-05-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-04,115081.25,1.40,951.08,14,2020-04-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-03,82637.96,0.04,908.11,15,2020-03-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2020-02,49417.29,-5.42,823.62,16,2020-02-29 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-11,342644.31,5.18,1025.88,17,2019-11-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-10,308265.21,4.98,1014.03,18,2019-10-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-09,274978.67,4.89,1007.25,19,2019-09-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-08,242452.03,4.81,997.40,20,2019-08-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-07,210462.12,4.77,992.58,21,2019-07-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-06,177377.66,3.32,977.99,22,2019-06-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-05,143487.97,1.60,950.25,23,2019-05-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-04,111873.13,1.22,932.28,24,2019-04-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-03,81731.09,0.23,908.12,25,2019-03-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2019-02,51231.59,-2.53,868.33,26,2019-02-28 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2018-11,323880.25,6.70,969.70,27,2018-11-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2018-10,292342.01,6.85,961.65,28,2018-10-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2018-09,261345.30,6.42,960.83,29,2018-09-30 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2018-08,229921.89,4.98,950.09,30,2018-08-31 00:00:00,1,0,2024-07-20 13:04:40,0,2024-07-20 13:04:40,,,
2018-07,199080.29,5.15,939.06,31,2018-07-31 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
2018-06,170637.06,5.75,942.75,32,2018-06-30 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
2018-05,140752.01,5.63,932.13,33,2018-05-31 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
2018-04,110244.17,5.52,918.70,34,2018-04-30 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
2018-03,80797.00,6.02,897.74,35,2018-03-31 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
2018-02,52259.41,7.01,885.75,36,2018-02-28 00:00:00,1,0,2024-07-20 13:04:44,0,2024-07-20 13:04:44,,,
