时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,地区合计,5590.70,141.30,-235.20,1,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,河北省,227.20,5.90,12.50,2,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,山西省,2387.20,80.90,-375.60,3,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,江西省,8.60,-0.20,1.20,4,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,山东省,328.00,4.30,-18.50,5,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,河南省,427.00,7.80,43.20,6,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,重庆市,0.00,0.00,0.00,7,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,陕西省,1563.00,3.00,47.90,8,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,甘肃省,169.00,15.00,18.60,9,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-20,宁夏区,349.90,36.60,33.90,10,2024-06-20 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,地区合计,2758.20,-9.90,-211.50,11,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,河北省,114.20,1.40,3.80,12,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,山西省,1212.00,24.20,-141.50,13,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,江西省,3.30,-0.80,-0.40,14,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,山东省,161.60,2.90,5.30,15,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,河南省,214.70,7.60,14.40,16,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
2024-06-10,重庆市,0.00,0.00,0.00,17,2024-06-10 00:00:00,1,0,2024-07-20 13:13:31,0,2024-07-20 13:13:31,,,
