时间,当月值(万吨),同期值(万吨),同比变化(万吨),同比增长(%),累计值(万吨),同期累计(万吨),累计变化(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,3079.00,3606.00,-527.00,-14.61,19292.00,20755.00,-1463.00,-7.05,1,2024-06-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2024-05,3358.00,3636.00,-278.00,-7.65,16213.00,17150.00,-937.00,-5.46,2,2024-05-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2024-04,3032.00,3061.00,-29.00,-0.95,12855.00,13513.00,-658.00,-4.87,3,2024-04-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2024-03,3602.00,3695.00,-93.00,-2.52,9824.00,10453.00,-629.00,-6.02,4,2024-03-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2024-02,2780.00,3179.00,-399.00,-12.55,6222.00,6758.00,-536.00,-7.93,5,2024-02-29 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2024-01,3442.00,3580.00,-138.00,-3.85,3442.00,3580.00,-138.00,-3.85,6,2024-01-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-12,3435.00,3606.00,-171.00,-4.74,42209.00,39678.00,2531.00,6.38,7,2023-12-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-11,3766.00,2290.00,1476.00,64.45,38774.00,36072.00,2702.00,7.49,8,2023-11-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-10,3484.00,1869.00,1615.00,86.41,35007.00,33783.00,1224.00,3.62,9,2023-10-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-09,3586.00,3626.00,-40.00,-1.10,31524.00,31914.00,-390.00,-1.22,10,2023-09-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-08,3489.00,3559.00,-70.00,-3.06,27938.00,28289.00,-351.00,-1.24,11,2023-08-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-07,3694.00,3774.00,-80.00,-2.12,24449.00,24690.00,-241.00,-0.98,12,2023-07-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-06,3606.00,3785.00,-179.00,-4.73,20755.00,20916.00,-161.00,-0.77,13,2023-06-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-05,3636.00,3383.00,253.00,7.48,17150.00,17132.00,18.00,0.11,14,2023-05-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-04,3061.00,3357.00,-296.00,-8.82,13513.00,13749.00,-236.00,-1.72,15,2023-04-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-03,3695.00,3887.00,-192.00,-4.94,10453.00,10392.00,61.00,0.59,16,2023-03-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-02,3179.00,3100.00,79.00,2.55,6758.00,6506.00,252.00,3.89,17,2023-02-28 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2023-01,3580.00,3406.00,174.00,5.11,3580.00,3406.00,174.00,-5.80,18,2023-01-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-12,3606.00,3957.00,-351.00,-8.90,39678.00,42103.00,-2425.00,-5.80,19,2022-12-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-11,2290.00,3816.00,-1526.00,-39.99,36072.00,38145.00,-2073.00,-5.43,20,2022-11-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-10,1869.00,3286.00,-1417.00,-43.12,33783.00,34329.00,-546.00,-1.59,21,2022-10-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-09,3626.00,3462.00,164.00,4.74,31914.00,31044.00,870.00,2.80,22,2022-09-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-08,3599.00,3572.00,27.00,0.76,28289.00,27582.00,707.00,2.56,23,2022-08-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-07,3774.00,3093.00,681.00,22.02,24690.00,24009.00,681.00,2.84,24,2022-07-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-06,3785.00,3376.00,409.00,12.11,20916.00,20917.00,-1.00,0.00,25,2022-06-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-05,3383.00,3716.00,-333.00,-8.96,17132.00,17540.00,-408.00,-2.33,26,2022-05-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-04,3357.00,3069.00,288.00,9.38,13749.00,13824.00,-75.00,-0.54,27,2022-04-30 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-03,3887.00,3599.00,288.00,8.00,10392.00,10756.00,-364.00,-3.38,28,2022-03-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-02,3100.00,3445.00,-345.00,-10.01,6506.00,7156.00,-650.00,-9.10,29,2022-02-28 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2022-01,3406.00,3711.00,-305.00,-8.22,3406.00,3711.00,-305.00,-8.22,30,2022-01-31 00:00:00,1,0,2024-07-20 13:49:05,0,2024-07-20 13:49:05,,,
2021-12,3957.00,3793.00,164.00,4.32,42103.00,40501.00,1602.00,3.96,31,2021-12-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-11,3816.00,3779.00,37.00,0.98,38145.00,36708.00,1437.00,3.91,32,2021-11-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-10,3286.00,3285.00,1.00,0.00,34329.00,32929.00,1400.00,4.25,33,2021-10-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-09,3462.00,3513.00,-51.00,-1.45,31044.00,29644.00,1400.00,4.72,34,2021-09-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-08,3572.00,3465.00,107.00,3.09,27582.00,26131.00,1451.00,5.55,35,2021-08-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-07,3093.00,3903.00,-810.00,-20.75,24009.00,22666.00,1343.00,5.93,36,2021-07-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-06,3376.00,3895.00,-519.00,-13.32,20917.00,18763.00,2154.00,11.48,37,2021-06-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-05,3716.00,3163.00,553.00,17.48,17540.00,14868.00,2672.00,17.97,38,2021-05-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-04,3069.00,2972.00,97.00,3.26,13824.00,11705.00,2119.00,18.10,39,2021-04-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-03,3599.00,3224.00,375.00,11.63,10756.00,8733.00,2023.00,23.17,40,2021-03-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-02,3445.00,2371.00,1074.00,45.30,7156.00,5509.00,1647.00,29.90,41,2021-02-28 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2021-01,3711.00,3138.00,573.00,18.26,3711.00,3138.00,573.00,18.26,42,2021-01-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-12,3793.00,3527.00,266.00,7.54,40501.00,43080.00,-2579.00,-5.99,43,2020-12-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-11,3779.00,3541.00,238.00,6.72,36708.00,39553.00,-2845.00,-7.19,44,2020-11-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-10,3285.00,3664.00,-379.00,-10.34,32929.00,36012.00,-3083.00,-8.56,45,2020-10-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-09,3513.00,3383.00,130.00,3.84,29644.00,32348.00,-2704.00,-8.36,46,2020-09-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-08,3465.00,3417.00,48.00,1.40,26131.00,28965.00,-2834.00,-9.80,47,2020-08-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-07,3903.00,3729.00,174.00,4.67,22666.00,25548.00,-2882.00,-11.28,48,2020-07-31 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
2020-06,3895.00,3582.00,313.00,8.74,18763.00,21820.00,-3057.00,-14.01,49,2020-06-30 00:00:00,1,0,2024-07-20 13:49:09,0,2024-07-20 13:49:09,,,
