时间,地区,当月值(万吨),同比变化(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,重庆市,0.00,0.00,1,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,河南省,88.30,-32.40,2,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,四川省,8.60,2.50,3,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,宁夏区,310.20,-65.30,4,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,湖南省,1.50,-0.40,5,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,河北省,73.70,0.10,6,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,云南省,5.00,-0.30,7,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,山西省,648.50,27.30,8,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,安徽省,69.20,-0.80,9,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,全国,2961.60,-113.90,10,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,甘肃省,261.30,2.40,11,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,黑龙江省,22.40,-235.60,12,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,内蒙古区,218.70,-12.50,13,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,江苏省,0.00,-4.80,14,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,辽宁省,27.40,9.20,15,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,北京市,0.00,0.00,16,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,新疆区,162.40,78.70,17,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,中煤集团,67.00,-4.60,18,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,山东省,173.40,5.50,19,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,国家能源,654.40,135.60,20,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,江西省,0.80,-0.40,21,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,吉林省,69.30,-7.00,22,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,陕西省,57.00,4.00,23,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-06,贵州省,42.40,-15.20,24,2024-06-30 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,中煤集团,60.20,-10.50,25,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,贵州省,40.80,-4.10,26,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,重庆市,0.00,0.00,27,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,河南省,89.80,-22.20,28,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,全国,2595.30,-453.70,29,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,国家能源,592.00,-67.40,30,2024-05-31 00:00:00,1,0,2024-07-20 13:55:05,0,2024-07-20 13:55:05,,,
2024-05,甘肃省,251.80,39.20,31,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,中煤集团,60.20,-10.50,32,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,河北省,72.00,-21.80,33,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,陕西省,58.00,4.00,34,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,河南省,89.80,-22.20,35,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,新疆区,145.40,87.00,36,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,江西省,0.90,-1.10,37,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,江苏省,0.90,-1.60,38,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,山东省,99.20,-107.50,39,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,重庆市,0.00,0.00,40,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,国家能源,592.00,-67.40,41,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,云南省,4.60,-0.30,42,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,贵州省,40.80,-4.10,43,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,山西省,472.10,-95.50,44,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,辽宁省,37.10,14.20,45,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,吉林省,71.40,2.40,46,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,四川省,7.80,-0.60,47,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-05,北京市,0.00,0.00,48,2024-05-31 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,全国,2475.40,-345.20,49,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,中煤集团,62.10,4.80,50,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,宁夏区,318.30,23.90,51,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,贵州省,38.30,-17.20,52,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,重庆市,0.00,0.00,53,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,国家能源,583.90,-3.50,54,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,云南省,4.40,-0.90,55,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,吉林省,69.30,0.80,56,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,新疆区,132.00,79.20,57,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,江西省,1.60,0.20,58,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,湖南省,1.60,-0.10,59,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,河南省,98.10,-13.90,60,2024-04-30 00:00:00,1,0,2024-07-20 13:55:07,0,2024-07-20 13:55:07,,,
2024-04,贵州省,38.30,-17.20,61,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,国家能源,583.90,-3.50,62,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,新疆区,132.00,79.20,63,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,宁夏区,318.30,23.90,64,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,吉林省,69.30,0.80,65,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,安徽省,40.70,-29.30,66,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,河南省,98.10,-13.90,67,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,山东省,96.50,-124.40,68,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,中煤集团,62.10,4.80,69,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,四川省,5.20,-10.60,70,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,辽宁省,23.50,12.60,71,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-04,湖南省,1.60,-0.10,72,2024-04-30 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,国家能源,732.50,86.10,73,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,北京市,0.00,0.00,74,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,甘肃省,200.00,15.30,75,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,新疆区,130.60,67.70,76,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,四川省,5.90,-6.80,77,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,江苏省,0.00,-3.90,78,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,山东省,142.00,-51.40,79,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,河北省,62.00,-8.80,80,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,云南省,3.10,-1.10,81,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,江西省,1.40,0.10,82,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,宁夏区,281.10,112.60,83,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,内蒙古区,157.60,1.70,84,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,黑龙江省,37.40,-18.00,85,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,重庆市,0.00,0.00,86,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,湖南省,1.60,-0.20,87,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,河南省,86.50,-4.80,88,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,山西省,416.60,-207.50,89,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,贵州省,32.90,-11.00,90,2024-03-31 00:00:00,1,0,2024-07-20 13:55:11,0,2024-07-20 13:55:11,,,
2024-03,甘肃省,200.00,15.30,91,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-03,河北省,62.00,-8.80,92,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-03,国家能源,732.50,86.10,93,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-03,陕西省,70.00,8.60,94,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-03,全国,2542.10,-11.20,95,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-03,安徽省,51.70,-16.50,96,2024-03-31 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,北京市,0.00,0.00,97,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,新疆区,148.30,66.60,98,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,贵州省,30.30,-2.30,99,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,重庆市,0.00,0.00,100,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,山东省,122.00,-95.30,101,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,陕西省,70.00,10.00,102,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,河南省,74.50,-17.60,103,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,山西省,361.00,-266.20,104,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,国家能源,669.00,137.30,105,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,河北省,59.90,2.60,106,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,江西省,0.80,-0.90,107,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,宁夏区,247.40,87.80,108,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,辽宁省,7.10,-1.00,109,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,甘肃省,200.60,24.70,110,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,云南省,4.20,-2.10,111,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,黑龙江省,25.20,-17.60,112,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,中煤集团,42.10,11.80,113,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,内蒙古区,153.80,27.70,114,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,安徽省,49.10,-6.60,115,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,湖南省,2.10,1.20,116,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,吉林省,62.10,2.70,117,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,四川省,8.60,2.00,118,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,全国,2339.00,-41.70,119,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-02,江苏省,1.00,-6.50,120,2024-02-29 00:00:00,1,0,2024-07-20 13:55:15,0,2024-07-20 13:55:15,,,
2024-01,辽宁省,17.90,1.80,121,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,内蒙古区,141.40,27.60,122,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,山西省,375.70,-212.80,123,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,新疆区,126.40,61.10,124,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,国家能源,631.00,83.70,125,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,全国,2256.70,-63.50,126,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,湖南省,2.20,-1.20,127,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,贵州省,32.10,-5.00,128,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,云南省,4.80,-0.40,129,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,甘肃省,180.70,22.30,130,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,宁夏区,238.20,109.10,131,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,陕西省,58.00,-3.00,132,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,河北省,72.00,-9.30,133,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,黑龙江省,23.00,-40.00,134,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,北京市,0.00,0.00,135,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,中煤集团,35.80,-4.70,136,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
2024-01,河南省,68.10,12.10,137,2024-01-31 00:00:00,1,0,2024-07-20 13:55:18,0,2024-07-20 13:55:18,,,
