日期,当月值(亿元),同比增长(%),累计值(亿元),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,,28.80,0.60,18.90,1,2024-06-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2024-05,,-77.30,0.60,-55.10,2,2024-05-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2024-04,,-97.30,0.10,-96.50,3,2024-04-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2024-03,,-98.00,0.10,-92.60,4,2024-03-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2024-02,,,0.10,-4.10,5,2024-02-29 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-12,,30.00,0.20,-62.80,6,2023-12-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-11,,-100.00,0.20,-83.50,7,2023-11-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-10,,-70.70,0.20,-86.20,8,2023-10-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-09,,-55.70,0.10,-75.60,9,2023-09-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-08,,-100.00,0.10,-97.20,10,2023-08-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-07,,-100.00,0.30,-85.60,11,2023-07-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-06,,-92.00,0.50,-68.40,12,2023-06-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-05,,-63.50,1.30,-25.40,13,2023-05-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-04,,122.50,3.20,191.30,14,2023-04-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-03,,2.70,1.20,43.40,15,2023-03-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2023-02,,,0.10,-83.20,16,2023-02-28 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-12,,-46.40,0.60,-36.40,17,2022-12-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-11,,-9.50,0.60,-51.20,18,2022-11-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-10,,261.80,1.40,4.30,19,2022-10-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-09,,-22.20,0.50,-62.00,20,2022-09-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-08,,60.10,2.80,41.70,21,2022-08-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-07,,26.20,2.30,28.80,22,2022-07-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-06,,-98.60,0.30,-95.90,23,2022-06-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-05,,-89.20,0.30,-94.00,24,2022-05-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-04,,-96.10,0.20,-96.40,25,2022-04-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-03,,-95.30,0.20,-95.10,26,2022-03-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2022-02,0.00,0.00,0.40,-91.90,27,2022-02-28 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2021-12,0.00,-100.00,0.30,-93.40,28,2021-12-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2021-11,0.00,-100.00,0.50,-88.10,29,2021-11-30 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2021-10,0.00,-100.00,0.50,-91.10,30,2021-10-31 00:00:00,1,0,2024-07-20 14:13:42,0,2024-07-20 14:13:42,,,
2021-09,0.00,-100.00,0.50,-85.40,31,2021-09-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-08,0.10,-62.40,1.50,-70.20,32,2021-08-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-07,0.30,46.50,1.40,-64.70,33,2021-07-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-06,1.30,55.20,7.10,110.60,34,2021-06-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-05,0.70,223.70,4.80,69.50,35,2021-05-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-04,1.10,-1.40,4.50,101.60,36,2021-04-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-03,0.90,-82.50,3.00,-78.90,37,2021-03-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2021-02,0.00,,5.90,-29.90,38,2021-02-28 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-12,0.30,-53.60,3.50,-68.50,39,2020-12-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-11,0.30,40.00,4.10,24.00,40,2020-11-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-10,0.30,-51.10,5.40,-22.20,41,2020-10-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-09,0.30,-43.20,3.30,-38.50,42,2020-09-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-08,0.30,13.90,5.10,64.60,43,2020-08-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-07,0.20,-2.10,3.90,87.90,44,2020-07-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-06,0.90,-30.50,3.40,-42.50,45,2020-06-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-05,0.20,-37.10,2.70,149.90,46,2020-05-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-04,1.10,9.10,2.10,-47.60,47,2020-04-30 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-03,5.20,259.80,14.20,288.50,48,2020-03-31 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
2020-02,0.00,,8.50,-14.20,49,2020-02-29 00:00:00,1,0,2024-07-20 14:13:45,0,2024-07-20 14:13:45,,,
