时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,炼焦煤,9678864.20,47518163.10,1439597.60,7657363.10,1,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-05,煤炭,43815699.10,204962702.10,4222498.60,20825886.70,2,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-05,褐煤,13990678.40,70675853.40,857692.30,4476785.90,3,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-05,其他煤,2366240.10,12030802.10,179709.80,992678.90,4,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-05,其他烟煤,16380812.50,69046135.70,1571440.00,6930959.70,5,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-05,无烟煤,1399103.80,5691747.80,174058.80,768099.10,6,2024-05-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,无烟煤,1353834.10,4292644.10,172721.40,594040.40,7,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,炼焦煤,10949351.40,37839298.90,1669538.30,6217765.40,8,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,煤炭,45252321.20,161147003.00,4573821.50,16603388.10,9,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,褐煤,14487168.70,56685175.00,929087.90,3619093.50,10,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,其他煤,2513946.20,9664562.00,205999.00,812969.10,11,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-04,其他烟煤,15948020.70,52665323.20,1596474.90,5359519.70,12,2024-04-30 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,炼焦煤,9000257.40,26889947.40,1418283.40,4548227.10,13,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,煤炭,41379288.90,115894681.80,4099267.10,12029566.60,14,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,褐煤,15660666.50,42198006.30,991738.80,2690005.70,15,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,其他烟煤,13223782.00,36717302.40,1343049.70,3763044.80,16,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,无烟煤,1207010.50,2938809.90,162052.10,421318.90,17,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-03,其他煤,2287572.50,7150615.70,184143.00,606970.20,18,2024-03-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,其他煤,2322041.30,4863043.20,200824.60,422827.20,19,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,煤炭,33746473.50,74515392.90,3525192.20,7930299.50,20,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,炼焦煤,7869751.70,17889690.10,1385717.50,3129943.70,21,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,其他烟煤,10246549.10,23493520.40,1029949.60,2419995.10,22,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,无烟煤,869953.10,1731799.40,131587.10,259266.80,23,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-02,褐煤,12438178.40,26537339.80,777113.40,1698266.80,24,2024-02-29 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,褐煤,14099161.40,14099161.40,921153.50,921153.50,25,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,煤炭,40768919.30,40768919.30,4405107.30,4405107.30,26,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,炼焦煤,10019938.30,10019938.30,1744226.10,1744226.10,27,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,无烟煤,861846.30,861846.30,127679.60,127679.60,28,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,其他烟煤,13246971.30,13246971.30,1390045.50,1390045.50,29,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2024-01,其他煤,2541001.90,2541001.90,222002.60,222002.60,30,2024-01-31 00:00:00,1,0,2024-07-20 14:19:12,0,2024-07-20 14:19:12,,,
2023-12,无烟煤,1577255.10,18153661.40,247676.90,3132590.40,31,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-12,褐煤,15628813.30,161814937.00,1019945.70,11488009.60,32,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-12,炼焦煤,11464233.90,102944113.80,1954210.00,17269172.30,33,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-12,煤炭,47296871.40,474465130.70,5156891.40,52842448.70,34,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-12,其他烟煤,15329877.60,148200968.70,1652039.00,16957367.50,35,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-12,其他煤,3296691.50,43351449.80,283019.80,3995308.70,36,2023-12-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,煤炭,43505527.60,427168259.30,4545274.00,47685557.30,37,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,褐煤,14137248.90,146186123.70,909703.90,10468063.90,38,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,其他烟煤,14658622.10,132871091.10,1542820.70,15305328.60,39,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,炼焦煤,9923352.20,91479879.90,1581069.40,15314962.30,40,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,其他煤,3115566.30,40054758.30,269129.40,3712288.80,41,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-11,无烟煤,1670738.20,16576406.30,242550.60,2884913.50,42,2023-11-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,炼焦煤,8411702.00,81556527.70,1346545.20,13733892.90,43,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,煤炭,35991941.70,383662731.70,3553763.10,43140283.30,44,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,无烟煤,1374294.30,14905668.10,207955.60,2642362.90,45,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,其他煤,3124899.70,36939192.00,204332.10,3443159.40,46,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,褐煤,11173882.00,132048874.80,641217.70,9558360.00,47,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-10,其他烟煤,11907163.80,118212468.90,1153712.60,13762507.90,48,2023-10-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,无烟煤,1116506.50,13531373.80,158805.70,2434407.30,49,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,其他煤,3648278.40,33814292.30,275468.00,3238827.30,50,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,其他烟煤,13629248.70,106305305.20,1283366.40,12608795.30,51,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,煤炭,42139782.20,347670789.90,3993284.00,39586520.20,52,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,炼焦煤,10824809.50,73144825.70,1545671.50,12387347.70,53,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-09,褐煤,12920939.10,120874992.90,729972.40,8917142.30,54,2023-09-30 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-08,其他烟煤,16769889.30,92676056.50,1615559.40,11325428.80,55,2023-08-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-08,无烟煤,1423733.40,12414867.30,191871.80,2275601.70,56,2023-08-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
2023-08,炼焦煤,9573058.90,62320016.30,1253812.70,10841676.20,57,2023-08-31 00:00:00,1,0,2024-07-20 14:19:15,0,2024-07-20 14:19:15,,,
