时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,北京海关,0.70,121.62,8.20,4.00,48.30,1,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,长春海关,113158.60,-35.73,2181727.40,6722.50,168394.70,2,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,成都海关,0.20,1900.00,0.20,0.80,1.00,3,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,大连海关,0.00,-100.00,11383968.90,0.10,1282592.10,4,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,福州海关,190327.00,-62.86,22580249.40,15024.00,1246282.90,5,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,哈尔滨海关,20431.50,-90.54,5414478.10,1884.80,451879.60,6,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,杭州海关,68748.00,-86.73,11097122.00,4048.50,882597.20,7,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,合肥海关,31468.50,-91.42,3883309.80,5397.70,442649.80,8,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,呼和浩特海关,1830945.50,-37.54,37573380.90,129636.30,3161332.90,9,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,昆明海关,2447.20,-96.32,773773.60,101.60,38528.60,10,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,满洲里海关,339619.30,-35.22,5005034.00,18096.80,234226.20,11,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,南昌海关,79795.00,8.44,153382.00,12726.70,21993.30,12,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,南京海关,47.00,-100.00,21348445.00,11.80,1242370.90,13,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,南宁海关,190659.00,-77.95,24010926.70,21524.90,2003658.80,14,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,青岛海关,11000.00,-95.85,11100410.30,2612.40,1039108.80,15,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,上海海关,69.40,-99.99,12424035.20,3.50,897584.70,16,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,天津海关,0.80,-100.00,2099815.80,0.30,143525.40,17,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,乌鲁木齐海关,609.00,-99.16,1463651.80,13.40,121607.10,18,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-12,厦门海关,16439.50,-97.89,8052677.00,4122.20,436737.80,19,2019-12-31 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,北京海关,0.30,-10.24,7.40,2.90,44.20,20,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,长春海关,176064.50,-14.84,2068568.80,10158.80,161672.20,21,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,长沙海关,140408.20,207.21,257754.30,23477.30,40776.50,22,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,大连海关,67303.50,-71.47,11383968.90,12919.30,1282592.00,23,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,福州海关,512483.00,-74.32,22389922.40,30845.20,1231258.90,24,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,拱北海关,469987.00,-18.29,3526024.20,35456.80,222500.80,25,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,广州海关,3086473.40,-41.77,44235464.90,339290.80,3278405.30,26,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,哈尔滨海关,215930.20,-44.67,5394046.70,16709.10,449994.80,27,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,海口海关,294000.00,67.52,5824238.60,17778.50,310233.30,28,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,杭州海关,518076.00,-49.51,11028374.00,37675.80,878548.70,29,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,合肥海关,366600.00,-33.35,3851841.30,40925.70,437252.10,30,2019-11-30 00:00:00,1,0,2024-07-20 14:30:39,0,2024-07-20 14:30:39,,,
2019-11,呼和浩特海关,2931614.50,-4.89,35742435.40,237054.30,3031696.60,31,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,黄埔海关,1392944.30,22.24,15497662.30,77665.40,811290.30,32,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,江门海关,38504.30,17.57,692983.30,3516.10,67010.90,33,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,昆明海关,66536.90,140.19,771326.30,3300.30,38426.90,34,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,满洲里海关,524262.40,-13.45,4665414.60,25341.10,216129.40,35,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,南京海关,2835916.00,40.59,21348398.00,190307.00,1242359.10,36,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,南宁海关,864596.10,-43.64,23820267.70,57895.00,1982133.90,37,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,宁波海关,76400.00,-41.71,1598263.30,4991.90,143153.40,38,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,青岛海关,264857.80,-58.40,11089410.30,24039.40,1036496.40,39,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,汕头海关,3500077.00,14.76,20708150.10,184428.70,1125868.40,40,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,上海海关,597501.90,-31.56,12423965.80,63804.90,897581.10,41,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,深圳海关,74920.10,-15.82,303729.10,5630.20,20550.50,42,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,石家庄海关,469343.90,-49.47,16352349.80,77571.20,2657083.50,43,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,天津海关,42216.70,627005.50,2099815.00,2797.60,143525.00,44,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,乌鲁木齐海关,72699.00,-61.72,1463042.70,6605.30,121593.70,45,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,厦门海关,778685.90,13.41,8036237.50,49203.10,432615.60,46,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-11,湛江海关,478530.80,24.01,9403313.00,38377.00,900747.80,47,2019-11-30 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,北京海关,0.40,-48.76,7.10,3.30,41.30,48,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,长春海关,206749.90,52.29,1892504.30,12969.10,151513.40,49,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,长沙海关,45705.00,15.50,117346.10,7815.00,17299.20,50,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,大连海关,235885.00,-9.78,11316665.40,18225.00,1269672.70,51,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,福州海关,1995327.00,-11.53,21877439.40,103276.70,1200413.70,52,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,拱北海关,575193.00,158.50,3056037.20,37663.30,187044.00,53,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,广州海关,5300305.20,-14.34,41148991.40,348547.80,2939114.50,54,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,哈尔滨海关,390243.70,-2.74,5178116.50,37070.20,433285.70,55,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,海口海关,175498.00,-75.28,5530238.60,9080.40,292454.90,56,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,杭州海关,1026046.00,-22.92,10510298.00,76778.60,840872.80,57,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,合肥海关,550052.70,229.41,3485241.30,60022.70,396326.40,58,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,呼和浩特海关,3082221.50,-18.55,32810820.80,251571.70,2794642.40,59,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,黄埔海关,1139495.20,-30.07,14104718.00,51995.70,733624.90,60,2019-10-31 00:00:00,1,0,2024-07-20 14:30:43,0,2024-07-20 14:30:43,,,
2019-10,江门海关,32750.00,-40.88,654479.00,3079.90,63494.80,61,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,昆明海关,27701.70,-77.17,704789.50,1143.00,35126.60,62,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,满洲里海关,605739.80,17.87,4141152.30,27813.90,190788.30,63,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,南京海关,2017213.80,16.15,18512482.10,125398.80,1052052.10,64,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,南宁海关,1534185.90,-31.65,22955671.60,124948.80,1924238.90,65,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,宁波海关,131080.00,-36.80,1521863.30,8514.10,138161.50,66,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,青岛海关,636664.50,-57.40,10824552.60,55625.70,1012457.00,67,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,汕头海关,3049859.20,51.77,17208073.10,157640.20,941439.70,68,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,上海海关,873070.40,-49.04,11826463.90,47257.00,833776.30,69,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,石家庄海关,928874.30,-35.05,15883005.90,157801.50,2579512.30,70,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,天津海关,6.70,-32.68,2057598.20,4.30,140727.40,71,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,乌鲁木齐海关,189921.00,28.94,1390343.70,15605.60,114988.40,72,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,武汉海关,2.30,0.00,161178.80,2.20,21861.50,73,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,厦门海关,686583.00,-9.11,7257551.60,42819.50,383412.50,74,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-10,湛江海关,385867.60,-53.70,8924782.20,40833.10,862370.80,75,2019-10-31 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,北京海关,0.70,761.90,6.70,0.70,38.00,76,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,长春海关,135757.70,29.62,1685754.40,9445.70,138544.30,77,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,大连海关,261445.90,-39.44,11080780.40,29478.50,1251447.80,78,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,福州海关,2255267.00,-8.57,19882112.40,135475.00,1097137.00,79,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,拱北海关,222510.00,-38.07,2480844.20,13519.90,149380.80,80,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,广州海关,6187403.90,-25.00,35848686.30,462955.80,2590566.70,81,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,哈尔滨海关,401229.80,-33.08,4787872.80,26444.90,396215.50,82,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,海口海关,709983.00,29.37,5354740.60,39968.30,283374.40,83,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,杭州海关,1331147.00,53.75,9484252.00,102662.50,764094.30,84,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,合肥海关,166980.00,-60.46,2935188.60,14454.00,336303.70,85,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,呼和浩特海关,3783968.30,-1.17,29728599.30,323547.50,2543070.70,86,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,黄埔海关,1629556.50,-24.41,12965222.80,80097.10,681629.30,87,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,昆明海关,121333.10,253.10,677087.80,8651.50,33983.60,88,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,满洲里海关,513910.40,-6.41,3535412.40,23320.90,162974.40,89,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,南京海关,1736660.80,3.33,16495268.30,107536.60,926653.30,90,2019-09-30 00:00:00,1,0,2024-07-20 14:30:46,0,2024-07-20 14:30:46,,,
2019-09,南宁海关,2244455.80,-16.24,21421485.70,195538.80,1799290.20,91,2019-09-30 00:00:00,1,0,2024-07-20 14:30:50,0,2024-07-20 14:30:50,,,
2019-09,宁波海关,207408.00,109.50,1390783.30,18313.80,129647.40,92,2019-09-30 00:00:00,1,0,2024-07-20 14:30:50,0,2024-07-20 14:30:50,,,
