时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,长春海关,10952.80,-30.85,698733.60,1123.30,73226.20,1,2019-12-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-12,哈尔滨海关,5151.10,-84.58,1009204.20,509.20,98648.00,2,2019-12-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-12,呼和浩特海关,302.30,-87.52,90108.40,17.90,6167.60,3,2019-12-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-12,满洲里海关,50879.00,-20.90,324620.00,4141.00,27835.00,4,2019-12-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,长春海关,15840.20,-60.72,687780.80,1583.80,72103.00,5,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,拱北海关,16500.00,0.00,117659.20,1568.20,14741.20,6,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,广州海关,146438.90,303.27,433331.10,14385.60,43177.50,7,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,哈尔滨海关,33413.80,-42.44,1004053.10,3039.80,98138.80,8,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,呼和浩特海关,2422.50,-44.36,89806.10,149.10,6149.70,9,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,黄埔海关,29186.40,-50.61,496976.00,2709.40,48171.00,10,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,江门海关,38500.00,17.56,342490.00,3504.30,43448.20,11,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,昆明海关,599.30,-58.99,24179.90,25.50,1057.00,12,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,满洲里海关,64324.40,120.48,273741.00,5316.60,23694.00,13,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,南京海关,73852.00,131.08,240738.00,6926.40,25625.90,14,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-11,石家庄海关,22650.00,-58.82,1853372.60,2061.80,216316.40,15,2019-11-30 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-10,长春海关,40328.00,16.61,671940.60,4013.40,70519.20,16,2019-10-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-10,拱北海关,16500.00,-80.51,101159.20,1642.50,13173.00,17,2019-10-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-10,广州海关,36313.20,6.76,286892.20,3557.20,28791.90,18,2019-10-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-10,哈尔滨海关,58053.90,-32.80,970639.40,5422.40,95099.00,19,2019-10-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
2019-10,呼和浩特海关,4353.60,178.86,87383.70,267.70,6000.60,20,2019-10-31 00:00:00,1,0,2024-07-20 14:30:57,0,2024-07-20 14:30:57,,,
