时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,北京海关,0.10,1520.00,0.80,1.10,10.80,1,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,成都海关,0.20,100.00,0.20,0.80,0.80,2,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,哈尔滨海关,482.70,-99.01,346408.30,23.40,12827.30,3,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,呼和浩特海关,20605.90,342.43,1082956.00,431.10,41738.30,4,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,昆明海关,2447.00,-94.79,544456.20,100.90,24277.50,5,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,上海海关,69.00,-99.97,8630112.50,2.60,376805.30,6,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-12,天津海关,0.30,-100.00,965701.90,0.20,41668.90,7,2019-12-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,北京海关,0.00,-96.30,0.70,0.30,9.60,8,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,福州海关,203671.00,-80.47,12363228.40,8552.60,526787.70,9,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,拱北海关,146931.00,117.35,712728.00,5820.50,31841.50,10,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,广州海关,614625.90,-57.99,16759909.80,27059.50,717364.40,11,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,合肥海关,45500.00,20.58,909802.20,1804.70,41030.70,12,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,呼和浩特海关,4657.40,2263.31,1062350.10,93.10,41307.10,13,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,黄埔海关,808028.90,-8.18,9826264.30,35561.80,414309.90,14,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,昆明海关,46982.50,91.38,542009.20,2070.30,24176.60,15,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,南京海关,1909309.70,35.60,15978740.40,80200.00,649020.80,16,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,南宁海关,212874.10,-7.38,5687550.80,9405.20,234595.70,17,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,青岛海关,146900.00,1.31,1754441.00,6859.60,75975.70,18,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,汕头海关,1988669.00,29.97,11348012.10,85872.30,532591.50,19,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,上海海关,247343.50,-64.52,8630043.50,9954.80,376802.80,20,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,厦门海关,194288.90,-33.83,4373289.50,8530.90,186850.30,21,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-11,湛江海关,115824.80,91.45,1810097.00,5557.90,90219.60,22,2019-11-30 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-10,北京海关,0.10,2600.00,0.70,1.40,9.40,23,2019-10-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-10,长春海关,6199.60,-97.59,281395.40,285.20,10659.10,24,2019-10-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
2019-10,大连海关,185860.00,69.36,4184566.80,7804.50,184529.10,25,2019-10-31 00:00:00,1,0,2024-07-20 14:36:28,0,2024-07-20 14:36:28,,,
