时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,北京海关,0.00,-94.00,0.10,0.10,0.60,1,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,长春海关,10677.70,269.78,13565.30,591.30,790.20,2,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,福州海关,162827.00,98.57,3405982.00,8642.30,197757.30,3,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,哈尔滨海关,2470.30,-97.32,1315735.60,103.70,69402.30,4,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,杭州海关,68748.00,-84.67,2034590.00,4048.50,127918.20,5,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,呼和浩特海关,45588.60,12.85,392647.90,1206.10,16150.30,6,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,满洲里海关,89811.10,-53.06,1735626.60,2994.40,50259.10,7,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,天津海关,0.00,-100.00,160039.00,0.00,9358.20,8,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-12,乌鲁木齐海关,0.10,-51.33,0.70,0.00,0.10,9,2019-12-31 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,长春海关,2887.60,-34.44,2887.60,198.90,198.90,10,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,福州海关,82000.00,-80.90,3243155.00,4524.00,189115.00,11,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,拱北海关,143006.00,-56.13,2091704.00,8044.30,123904.70,12,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,广州海关,143300.00,-73.04,3804248.00,8207.80,227840.10,13,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,哈尔滨海关,92274.90,-9.69,1313265.30,4558.10,69298.70,14,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,海口海关,229000.00,76.16,2711220.00,13467.40,159061.40,15,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,呼和浩特海关,40398.80,-18.34,347059.40,967.30,14944.20,16,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,黄埔海关,197402.00,-1.48,3153661.00,11164.30,179527.50,17,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,昆明海关,6625.20,291.79,60005.30,113.60,1052.40,18,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,满洲里海关,191344.10,-13.03,1645815.50,6022.90,47264.70,19,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,南京海关,102550.00,-30.24,878983.00,6071.20,54170.80,20,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,南宁海关,125120.00,-46.79,3099836.30,6783.00,180051.40,21,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,汕头海关,601383.00,-25.78,5458693.00,34605.00,320652.10,22,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
2019-11,上海海关,55735.00,-59.07,542618.00,3181.20,34960.40,23,2019-11-30 00:00:00,1,0,2024-07-20 14:37:12,0,2024-07-20 14:37:12,,,
