时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,出口数量(万吨),49.00,275.00,32.90,1,2024-06-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-06,出口金额(千美元),79900.00,564924.00,-11.30,2,2024-06-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-05,出口数量(万吨),31.00,225.00,40.30,3,2024-05-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-05,出口金额(千美元),60297.00,485024.00,-6.60,4,2024-05-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-04,出口数量(万吨),55.00,194.00,57.20,5,2024-04-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-04,出口金额(千美元),115101.00,424726.00,2.80,6,2024-04-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-03,出口数量(万吨),38.00,139.00,57.50,7,2024-03-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-03,出口金额(千美元),76670.00,309625.00,0.00,8,2024-03-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-02,出口数量(万吨),23.00,101.00,64.50,9,2024-02-29 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-02,出口金额(千美元),47528.00,232955.00,7.00,10,2024-02-29 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-01,出口数量(万吨),79.00,79.00,114.50,11,2024-01-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2024-01,出口金额(千美元),185427.00,185427.00,45.00,12,2024-01-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-12,出口数量(万吨),44.00,447.00,11.70,13,2023-12-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-12,出口金额(千美元),99039.00,1150496.00,-6.60,14,2023-12-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-11,出口数量(万吨),56.00,403.00,9.60,15,2023-11-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-11,出口金额(千美元),114638.00,1051462.00,-7.30,16,2023-11-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-10,出口数量(万吨),30.00,347.00,0.60,17,2023-10-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-10,出口金额(千美元),66622.00,936824.00,-11.70,18,2023-10-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-09,出口数量(万吨),43.00,317.00,-0.70,19,2023-09-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-09,出口金额(千美元),93972.00,870115.00,-11.60,20,2023-09-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-08,出口数量(万吨),51.00,274.00,-1.20,21,2023-08-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-08,出口金额(千美元),105477.00,776128.00,-11.10,22,2023-08-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-07,出口数量(万吨),16.00,223.00,-3.30,23,2023-07-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-07,出口金额(千美元),33572.00,670722.00,-8.80,24,2023-07-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-06,出口数量(万吨),46.00,207.00,-0.50,25,2023-06-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-06,出口金额(千美元),117655.00,637169.00,-5.40,26,2023-06-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-05,出口数量(万吨),37.00,161.00,3.00,27,2023-05-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-05,出口金额(千美元),106457.00,519526.00,6.90,28,2023-05-31 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-04,出口数量(万吨),35.00,123.00,9.00,29,2023-04-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-04,出口金额(千美元),103461.00,413069.00,19.30,30,2023-04-30 00:00:00,1,0,2024-07-20 14:44:54,0,2024-07-20 14:44:54,,,
2023-03,出口数量(万吨),27.00,88.00,32.30,31,2023-03-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2023-03,出口金额(千美元),91799.00,309608.00,54.20,32,2023-03-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2023-02,出口数量(万吨),25.00,62.00,2.30,33,2023-02-28 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2023-02,出口金额(千美元),89928.00,217809.00,22.80,34,2023-02-28 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2023-01,出口数量(万吨),37.00,37.00,16.00,35,2023-01-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2023-01,出口金额(千美元),127881.00,127881.00,45.10,36,2023-01-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-12,出口数量(万吨),32.00,400.00,53.70,37,2022-12-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-12,出口金额(千美元),97596.00,1231848.00,144.30,38,2022-12-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-11,出口数量(万吨),23.00,368.00,53.80,39,2022-11-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-11,出口金额(千美元),73446.00,1134297.00,170.30,40,2022-11-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-10,出口数量(万吨),25.00,345.00,62.20,41,2022-10-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-10,出口金额(千美元),76418.00,1060852.00,201.90,42,2022-10-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-09,出口数量(万吨),42.00,319.00,62.50,43,2022-09-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-09,出口金额(千美元),111344.00,984306.00,210.30,44,2022-09-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-08,出口数量(万吨),46.00,277.00,53.20,45,2022-08-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-08,出口金额(千美元),137751.00,872962.00,201.30,46,2022-08-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-07,出口数量(万吨),23.00,231.00,72.30,47,2022-07-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-07,出口金额(千美元),61675.00,735211.00,237.20,48,2022-07-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-06,出口数量(万吨),52.00,208.00,65.70,49,2022-06-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-06,出口金额(千美元),187439.00,673536.00,241.60,50,2022-06-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-05,出口数量(万吨),43.00,156.00,41.50,51,2022-05-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-05,出口金额(千美元),139881.00,486097.00,181.90,52,2022-05-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
