时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,炼焦煤,127263.40,386035.00,34115.90,102861.30,1,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-05,煤炭,638741.70,2579908.20,125984.50,550706.70,2,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-05,型煤,3220.30,8716.00,1828.40,4745.90,3,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-05,褐煤,897.30,1601.40,172.60,360.00,4,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-05,其他烟煤,247981.10,1055745.50,38281.30,202853.70,5,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-05,无烟煤,259379.60,1127810.20,51586.30,239885.60,6,2024-05-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,无烟煤,323643.70,868430.60,68558.20,188299.30,7,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,炼焦煤,81338.40,258771.60,21266.70,68745.50,8,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,煤炭,553652.00,1941166.50,115101.50,424722.20,9,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,型煤,0.00,5495.70,0.20,2917.50,10,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,褐煤,423.00,704.10,100.00,187.40,11,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-04,其他烟煤,148246.90,807764.40,25176.40,164572.40,12,2024-04-30 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-03,炼焦煤,16128.00,177433.20,3177.10,47478.70,13,2024-03-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-03,煤炭,376038.80,1387514.50,76669.60,309620.70,14,2024-03-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-03,型煤,3386.50,5495.70,1932.80,2917.40,15,2024-03-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-03,其他烟煤,162492.50,659517.50,30807.80,139396.00,16,2024-03-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
2024-03,无烟煤,193790.70,544786.90,40701.00,119741.10,17,2024-03-31 00:00:00,1,0,2024-07-20 14:46:40,0,2024-07-20 14:46:40,,,
