时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,阿根廷,44.00,123.10,19.20,46.40,1,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,澳大利亚,20.00,60.00,7.70,22.90,2,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,菲律宾,63.80,45653.70,19.20,13208.30,3,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,韩国,92936.80,325570.40,23936.10,81158.80,4,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,荷兰,71096.00,142192.00,14444.60,28889.30,5,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,吉尔吉斯斯坦,0.00,0.00,0.20,0.30,6,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,柬埔寨,10346.10,20692.10,1634.70,3269.40,7,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,卡塔尔,140.00,280.00,79.80,159.60,8,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,科威特,20.00,140.00,6.00,41.40,9,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,马来西亚,17705.60,34769.00,4404.60,8504.90,10,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,美国,5.00,10.00,4.80,9.50,11,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,秘鲁,12.00,24.00,5.80,11.60,12,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,缅甸,899.50,1693.80,126.60,248.30,13,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,日本,307618.90,1295451.60,54999.90,267012.00,14,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,台湾省,206.80,32512.80,53.80,8384.30,15,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,泰国,179.00,479.40,55.50,143.30,16,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,土库曼斯坦,60.00,160.00,54.60,145.70,17,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,意大利,10000.00,34884.60,2040.00,7130.30,18,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,印度,28.00,80.00,1.40,17.10,19,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-05,印尼,127360.40,543754.60,24090.20,109054.80,20,2024-05-31 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,阿根廷,44.00,79.10,19.20,27.20,21,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,阿曼,84.00,140.00,31.50,57.50,22,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,菲律宾,45522.00,45589.90,13170.90,13189.10,23,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,韩国,56191.00,232633.60,14113.00,57222.70,24,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,荷兰,71096.00,71096.00,14444.60,14444.60,25,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,吉尔吉斯斯坦,0.00,0.00,0.20,0.20,26,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,柬埔寨,10346.10,10346.10,1634.70,1634.70,27,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,卡塔尔,140.00,140.00,79.80,79.80,28,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,马来西亚,15448.30,17063.40,3705.10,4100.30,29,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,美国,5.00,5.00,4.80,4.80,30,2024-04-30 00:00:00,1,0,2024-07-20 14:48:59,0,2024-07-20 14:48:59,,,
2024-04,秘鲁,12.00,12.00,5.80,5.80,31,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,缅甸,459.20,794.30,58.30,121.60,32,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,日本,201994.40,987832.70,40882.40,212012.00,33,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,泰国,154.00,300.50,47.50,87.80,34,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,土库曼斯坦,60.00,100.00,54.60,91.10,35,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,以色列,250.00,650.00,77.30,201.70,36,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,意大利,10000.00,24884.60,2040.00,5090.30,37,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,印度,50.00,52.00,15.40,15.80,38,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-04,印尼,141796.00,416394.20,24716.60,84964.60,39,2024-04-30 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,阿根廷,35.10,35.10,8.00,8.00,40,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,阿拉伯联合酋长国,38500.00,38513.00,8470.00,8473.90,41,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,德国,100.00,100.00,32.80,32.80,42,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,俄罗斯,27.90,56.20,2.20,4.50,43,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,厄瓜多尔,96.00,111.00,36.50,40.70,44,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,菲律宾,35.30,67.90,9.50,18.20,45,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,韩国,21336.20,176442.60,3939.70,43109.70,46,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,马来西亚,1085.40,1615.10,252.80,395.20,47,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,孟加拉国,1129.50,1181.50,184.90,200.60,48,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,缅甸,335.10,335.10,63.30,63.30,49,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,日本,188685.50,785838.30,36741.40,171129.60,50,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,台湾省,32234.00,32306.00,8306.80,8330.50,51,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,泰国,71.70,146.50,29.70,40.30,52,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,乌拉圭,22.00,22.00,9.60,9.60,53,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,西班牙,20.00,20.00,7.40,7.40,54,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,香港,405.00,705.00,155.90,271.40,55,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,伊朗,125.00,125.00,48.10,48.10,56,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,印度,2.00,2.00,0.40,0.40,57,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-03,印尼,91793.00,274598.20,18370.40,60248.00,58,2024-03-31 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-02,澳大利亚,40.00,40.00,15.20,15.20,59,2024-02-29 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-02,俄罗斯,28.30,28.30,2.30,2.30,60,2024-02-29 00:00:00,1,0,2024-07-20 14:49:02,0,2024-07-20 14:49:02,,,
2024-02,刚果(布),6508.90,6508.90,1640.20,1640.20,61,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,韩国,42020.50,155106.40,7703.70,39170.00,62,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,科威特,120.00,120.00,35.40,35.40,63,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,马来西亚,303.00,529.70,80.30,142.50,64,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,日本,61646.40,597152.80,12973.70,134388.20,65,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,泰国,24.10,74.80,8.40,10.60,66,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,香港,100.00,300.00,38.50,115.50,67,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,以色列,400.00,400.00,124.40,124.40,68,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,意大利,14884.60,14884.60,3050.30,3050.30,69,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,印尼,99120.00,182805.20,21823.50,41877.60,70,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,约旦,10.00,10.00,10.00,10.00,71,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-02,越南,84.00,84.00,18.50,18.50,72,2024-02-29 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,阿拉伯联合酋长国,13.00,13.00,3.90,3.90,73,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,阿曼,56.00,56.00,26.00,26.00,74,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,比利时,53006.00,53006.00,12192.50,12192.50,75,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,厄瓜多尔,15.00,15.00,4.20,4.20,76,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,菲律宾,32.60,32.60,8.70,8.70,77,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,韩国,113085.90,113085.90,31466.40,31466.40,78,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,马来西亚,226.70,226.70,62.20,62.20,79,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,孟加拉国,52.00,52.00,15.70,15.70,80,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,日本,535506.40,535506.40,121414.50,121414.50,81,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,沙特阿拉伯,122.50,122.50,30.80,30.80,82,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,台湾省,72.00,72.00,23.70,23.70,83,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,泰国,50.70,50.70,2.20,2.20,84,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,土库曼斯坦,40.00,40.00,36.60,36.60,85,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,希腊,22.00,22.00,8.40,8.40,86,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
2024-01,香港,200.00,200.00,77.00,77.00,87,2024-01-31 00:00:00,1,0,2024-07-20 14:49:05,0,2024-07-20 14:49:05,,,
