时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,韩国,11790.00,0.00,48167.00,1935.60,8268.00,1,2024-05-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-05,柬埔寨,10346.10,0.00,20692.10,1634.70,3269.40,2,2024-05-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-05,马来西亚,4152.90,0.00,8305.80,788.50,1576.90,3,2024-05-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-05,缅甸,62.10,-18.11,62.10,8.60,8.60,4,2024-05-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-05,日本,221630.00,81.73,945247.00,33914.00,181268.60,5,2024-05-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-04,韩国,11790.00,8.34,36377.00,1935.60,6332.40,6,2024-04-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-04,柬埔寨,10346.10,625.40,10346.10,1634.70,1634.70,7,2024-04-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-04,马来西亚,4152.90,110.55,4152.90,788.50,788.50,8,2024-04-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-04,日本,121958.00,3.06,723617.00,20817.70,147354.50,9,2024-04-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-03,韩国,10882.00,-20.60,24587.00,1859.60,4396.80,10,2024-03-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-03,孟加拉国,1077.50,-11.90,1077.50,169.20,169.20,11,2024-03-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-03,日本,118339.00,1083.39,601659.00,20485.80,126536.90,12,2024-03-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-03,台湾省,32194.00,60.91,32194.00,8293.20,8293.20,13,2024-03-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-02,日本,10000.00,-97.89,483320.00,1440.00,106051.10,14,2024-02-29 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-01,韩国,13705.00,-4.83,13705.00,2537.20,2537.20,15,2024-01-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2024-01,日本,473320.00,139.77,473320.00,104611.10,104611.10,16,2024-01-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-12,马来西亚,1972.40,-39.24,23848.40,638.10,6881.50,17,2023-12-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-12,缅甸,75.90,-45.39,1156.80,16.00,230.60,18,2023-12-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-12,日本,197406.00,207.65,1128402.00,43208.30,266081.20,19,2023-12-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-12,印尼,39600.00,292.08,195112.00,7530.40,38781.30,20,2023-12-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-11,韩国,14400.00,39.29,93068.00,2628.30,16613.70,21,2023-11-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-11,缅甸,139.00,-16.30,1080.90,29.00,214.60,22,2023-11-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-11,日本,64166.00,63.90,930996.00,8077.80,222872.80,23,2023-11-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-11,泰国,137640.00,150.25,137640.00,17081.10,17081.10,24,2023-11-30 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-10,柬埔寨,1426.30,-1.58,29698.10,233.90,5562.30,25,2023-10-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
2023-10,缅甸,166.00,23.65,942.00,25.00,185.60,26,2023-10-31 00:00:00,1,0,2024-07-20 14:59:42,0,2024-07-20 14:59:42,,,
