时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,缅甸,837.30,130.66,1439.40,118.00,214.00,1,2024-05-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-05,土库曼斯坦,60.00,0.00,160.00,54.60,145.70,2,2024-05-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-04,缅甸,363.00,51.80,602.10,45.40,95.90,3,2024-04-30 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-04,土库曼斯坦,60.00,50.00,100.00,54.60,91.10,4,2024-04-30 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-03,缅甸,239.10,-88.94,239.10,50.50,50.50,5,2024-03-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-03,印度,2.00,-87.50,2.00,0.40,0.40,6,2024-03-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2024-01,土库曼斯坦,40.00,0.00,40.00,36.60,36.60,7,2024-01-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-12,肯尼亚,40.00,0.00,80.00,16.00,32.00,8,2023-12-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-12,缅甸,2161.90,589.86,5098.60,199.70,472.40,9,2023-12-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-10,肯尼亚,40.00,100.00,40.00,16.00,16.00,10,2023-10-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-10,缅甸,313.40,247.54,2936.70,26.50,272.70,11,2023-10-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-10,西班牙,24.00,0.00,48.00,4.80,14.40,12,2023-10-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-08,缅甸,90.20,-55.10,2623.30,8.20,246.20,13,2023-08-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-08,印尼,1.30,-99.40,209.30,0.50,28.00,14,2023-08-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-07,刚果(布),25.00,100.00,25.00,15.20,15.20,15,2023-07-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
2023-07,利比亚,27.00,-48.08,79.00,7.00,20.50,16,2023-07-31 00:00:00,1,0,2024-07-20 15:01:43,0,2024-07-20 15:01:43,,,
