时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-07,杭州海关,390.60,114.33,626.70,117.00,828.00,1,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,昆明海关,196.10,-87.83,7279.10,16.60,590.90,2,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,南京海关,10860.00,-72.85,357478.60,1466.10,53359.50,3,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,上海海关,0.10,-99.75,51.10,0.10,15.20,4,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,深圳海关,4.20,100.00,4.20,2.00,2.00,5,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,石家庄海关,13500.00,29.06,163133.50,2106.30,27450.50,6,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,天津海关,363.90,-98.89,372364.90,188.80,65426.70,7,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-07,厦门海关,35696.00,55.73,151312.00,5722.70,25354.40,8,2020-07-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,呼和浩特海关,19.70,392.50,23.70,2.20,3.20,9,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,昆明海关,1611.70,-17.34,7083.00,132.30,574.20,10,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,南京海关,40000.00,-48.76,346618.60,4765.20,51893.40,11,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,青岛海关,13.00,225.00,17.00,4.00,5.90,12,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,天津海关,32806.20,496.96,372000.90,5328.90,65237.90,13,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-06,厦门海关,22921.90,15919.21,115616.00,3644.00,19631.80,14,2020-06-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,昆明海关,1949.80,59.87,5471.30,154.20,441.90,15,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,南京海关,78061.20,-8.16,306618.60,11896.00,47128.10,16,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,上海海关,40.50,523.08,51.00,12.50,15.10,17,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,石家庄海关,10460.00,-74.19,149633.50,1066.90,25344.20,18,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,天津海关,5495.50,-84.88,339194.80,1201.90,59909.00,19,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-05,厦门海关,143.10,-99.55,92694.10,22.90,15987.80,20,2020-05-31 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-04,呼和浩特海关,4.00,106.72,4.00,1.00,1.00,21,2020-04-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-04,昆明海关,1219.70,-44.68,3521.50,99.20,287.70,22,2020-04-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
2020-04,南京海关,85000.00,-9.67,228557.40,13075.00,35232.10,23,2020-04-30 00:00:00,1,0,2024-07-20 15:06:20,0,2024-07-20 15:06:20,,,
