时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-07,南京海关,49203.00,-7.55,189925.00,6591.30,29116.40,1,2020-07-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-07,青岛海关,48000.00,108.70,229498.00,5661.10,36695.80,2,2020-07-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-06,青岛海关,23000.00,-56.44,181498.00,3069.10,31034.70,3,2020-06-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-06,石家庄海关,60000.00,81.82,178610.00,8623.80,28072.90,4,2020-06-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-04,南京海关,53222.00,68.96,140722.00,8835.90,22525.10,5,2020-04-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-04,青岛海关,52800.00,-30.25,158498.00,8524.80,27965.60,6,2020-04-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-04,石家庄海关,33000.00,-20.69,118610.00,5307.70,19449.10,7,2020-04-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-03,南京海关,31500.00,-43.75,87500.00,4822.30,13689.30,8,2020-03-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-03,青岛海关,75700.00,152.35,105698.00,12927.30,19440.80,9,2020-03-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-03,石家庄海关,41610.00,-5.43,85610.00,6748.30,14141.40,10,2020-03-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-02,南京海关,,,56000.00,,8866.90,11,2020-02-29 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-02,青岛海关,,,29998.00,,6513.50,12,2020-02-29 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2020-02,石家庄海关,,,44000.00,,7393.10,13,2020-02-29 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-12,青岛海关,85900.00,239.53,640716.80,12676.70,128429.60,14,2019-12-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-12,石家庄海关,32000.00,220.00,438653.40,5955.50,89187.30,15,2019-12-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-11,南京海关,31500.00,-4.08,317581.00,4822.30,60682.30,16,2019-11-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-11,青岛海关,25300.00,0.00,554816.80,3771.00,115752.80,17,2019-11-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-11,石家庄海关,10000.00,-77.27,406653.40,2119.80,83231.80,18,2019-11-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-10,南京海关,32840.00,-50.64,286081.00,5763.10,55859.90,19,2019-10-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-10,青岛海关,25300.00,-58.04,529516.80,4051.30,111981.90,20,2019-10-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-10,石家庄海关,44000.00,25.71,396653.40,9376.40,81112.00,21,2019-10-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-09,青岛海关,60300.00,164.90,504216.80,12741.50,107930.60,22,2019-09-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-09,石家庄海关,35000.00,-70.27,352653.40,7101.40,71735.60,23,2019-09-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-08,南京海关,66525.00,-16.93,253241.00,12313.40,50096.80,24,2019-08-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-08,青岛海关,22763.00,-60.96,443916.80,4582.90,95189.10,25,2019-08-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-07,青岛海关,58300.00,94.21,421153.80,12353.80,90606.20,26,2019-07-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-06,南京海关,80085.00,628.05,186716.00,14659.80,37783.40,27,2019-06-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-06,青岛海关,30019.00,-46.63,362853.80,6504.50,78252.40,28,2019-06-30 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-05,南京海关,11000.00,-82.44,106631.00,2356.40,23123.60,29,2019-05-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-05,青岛海关,56245.00,133.82,332834.80,13083.60,71747.90,30,2019-05-31 00:00:00,1,0,2024-07-20 15:08:00,0,2024-07-20 15:08:00,,,
2019-04,南京海关,62631.00,89.79,95631.00,13180.50,20767.20,31,2019-04-30 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-04,青岛海关,24055.00,-82.11,276589.80,5078.00,58664.30,32,2019-04-30 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-04,石家庄海关,117733.40,205.80,317653.40,23925.10,64634.10,33,2019-04-30 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-03,青岛海关,134462.80,44.94,252534.80,28757.30,53586.30,34,2019-03-31 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-03,石家庄海关,38500.00,-76.15,199920.00,7627.20,40709.10,35,2019-03-31 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-02,南京海关,33000.00,15.38,33000.00,7586.70,7586.70,36,2019-02-28 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-02,青岛海关,92772.00,266.69,118072.00,19137.00,24829.00,37,2019-02-28 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
2019-01,青岛海关,25300.00,-15.48,25300.00,5692.00,5692.00,38,2019-01-31 00:00:00,1,0,2024-07-20 15:08:04,0,2024-07-20 15:08:04,,,
