时间,海关,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-07,广州海关,316.50,124.42,575.20,89.10,152.40,1,2020-07-31 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-06,广州海关,141.00,86.15,258.70,38.30,63.30,2,2020-06-30 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-05,广州海关,75.80,760.91,117.70,16.10,25.00,3,2020-05-31 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-04,广州海关,8.80,-57.26,41.90,1.90,8.90,4,2020-04-30 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-04,杭州海关,25.60,100.00,25.60,118.20,118.20,5,2020-04-30 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-04,南京海关,3251.70,-56.96,15388.70,1460.00,6922.30,6,2020-04-30 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-03,广州海关,20.60,64.59,33.10,4.40,7.10,7,2020-03-31 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-03,南京海关,7554.80,64.87,12136.90,3400.80,5462.30,8,2020-03-31 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-03,天津海关,1776.20,223.06,2326.00,571.10,767.00,9,2020-03-31 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-02,广州海关,,,12.50,,2.70,10,2020-02-29 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-02,南京海关,,,4582.20,,2061.40,11,2020-02-29 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
2020-02,青岛海关,,,614.00,,280.60,12,2020-02-29 00:00:00,1,0,2024-07-20 15:10:22,0,2024-07-20 15:10:22,,,
