时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,新疆区,64.70,96.24,97.60,5.90,8.90,1,2023-12-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2023-11,新疆区,33.00,-72.09,33.00,3.00,3.00,2,2023-11-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2023-10,云南省,160.60,5.44,312.90,33.60,65.40,3,2023-10-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2023-09,云南省,152.30,63.77,152.30,31.80,31.80,4,2023-09-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2021-01,山东省,1.00,400.00,1.00,0.30,0.30,5,2021-01-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2020-09,山东省,0.20,-100.00,44856.10,0.50,5023.90,6,2020-09-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2020-06,云南省,93.00,-3.13,189.00,7.60,15.50,7,2020-06-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2020-05,云南省,96.00,100.00,96.00,7.90,7.90,8,2020-05-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2020-02,山东省,44855.90,###########,44855.90,5023.40,5023.40,9,2020-02-29 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2020-01,山西省,1.00,100.00,1.00,0.10,0.10,10,2020-01-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-12,山东省,0.10,-100.00,66001.00,0.10,7391.50,11,2019-12-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-11,山东省,66000.00,7499900.00,66000.90,7391.30,7391.40,12,2019-11-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-11,陕西省,2042.70,100.00,2042.70,153.20,153.20,13,2019-11-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-11,新疆区,118.10,100.00,118.10,3.50,3.50,14,2019-11-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-10,河南省,25.20,-93.74,427.60,2.20,38.70,15,2019-10-31 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-06,河南省,402.40,100.00,402.40,36.50,36.50,16,2019-06-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2019-06,山东省,0.90,-99.99,0.90,0.00,0.00,17,2019-06-30 00:00:00,1,0,2024-07-20 15:13:33,0,2024-07-20 15:13:33,,,
2025-02,福建省,45000.00,100.00,45000.00,10027.60,10027.60,29,2025-02-28 00:00:00,1,0,2025-03-21 23:17:50,0,2025-03-21 23:17:50,,,
