时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,4870.10,-7.40,30052.70,1.70,1,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,新疆区,291.60,,1919.00,2.00,2,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,宁夏区,140.20,9.80,831.10,7.20,3,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,青海省,5.20,-61.00,69.50,-23.30,4,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,甘肃省,69.90,1.50,515.50,2.10,5,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,陕西省,224.60,8.60,1323.40,9.10,6,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,西藏区,0.40,-5.60,1.50,-0.20,7,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,云南省,43.90,-29.20,328.00,-3.40,8,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,贵州省,98.20,-24.40,774.40,-7.00,9,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,四川省,46.40,-44.70,482.60,-5.80,10,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,重庆市,56.90,-17.90,420.80,,11,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,海南省,26.90,-7.80,150.60,3.90,12,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,广西区,82.90,-32.50,637.30,-8.20,13,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,广东省,389.40,-19.80,2278.30,-0.70,14,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,湖南省,49.50,-42.70,426.40,-22.10,15,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,湖北省,136.70,27.70,750.10,-2.10,16,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,河南省,251.20,15.50,1342.60,11.40,17,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,山东省,420.90,1.70,2429.20,-0.10,18,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,江西省,96.40,-21.50,636.40,-5.50,19,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,福建省,145.60,-18.00,852.00,9.70,20,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,安徽省,260.70,-0.90,1495.80,6.40,21,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,浙江省,222.10,-23.20,1481.90,-0.30,22,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,江苏省,404.50,-5.80,2395.40,4.50,23,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,上海市,55.20,-31.00,443.30,1.90,24,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,黑龙江省,63.80,-4.20,443.50,-3.30,25,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,吉林省,42.10,-24.00,323.20,-4.40,26,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,辽宁省,91.80,-18.40,587.80,-6.50,27,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,内蒙古区,507.00,3.50,2933.60,8.70,28,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,山西省,300.40,-3.20,1766.00,1.20,29,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,河北省,249.40,3.70,1435.10,3.90,30,2024-06-30 00:00:00,1,0,2024-07-20 15:21:54,0,2024-07-20 15:21:54,,,
2024-06,天津市,62.70,-7.10,371.50,0.80,31,2024-06-30 00:00:00,1,0,2024-07-20 15:21:57,0,2024-07-20 15:21:57,,,
2024-06,北京市,33.40,-8.40,207.00,-3.20,32,2024-06-30 00:00:00,1,0,2024-07-20 15:21:57,0,2024-07-20 15:21:57,,,
2024-05,新疆区,277.80,0.60,1624.70,2.20,33,2024-05-31 00:00:00,1,0,2024-07-20 15:21:57,0,2024-07-20 15:21:57,,,
2024-05,宁夏区,128.30,12.40,690.60,6.70,34,2024-05-31 00:00:00,1,0,2024-07-20 15:21:57,0,2024-07-20 15:21:57,,,
