时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,668.60,12.70,4755.20,6.90,1,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,新疆区,63.60,18.90,352.50,16.00,2,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,宁夏区,20.20,-12.50,132.50,-7.50,3,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,青海省,8.30,-19.10,60.80,-9.20,4,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,甘肃省,36.70,-0.80,217.70,5.60,5,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,陕西省,15.50,5.00,92.50,-10.10,6,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,云南省,22.50,54.80,250.20,50.20,8,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,贵州省,7.80,-14.80,65.70,4.30,9,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,四川省,9.90,-7.00,115.00,20.30,10,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,重庆市,2.40,-29.90,18.90,-2.60,11,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,海南省,0.40,36.40,2.30,-4.00,12,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,广西区,20.70,46.50,141.60,14.50,13,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,广东省,23.00,-0.80,186.60,5.10,14,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,湖南省,16.70,11.20,107.90,2.80,15,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,湖北省,8.70,-24.40,73.80,-16.00,16,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,河南省,26.30,0.40,189.20,-6.10,17,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,山东省,41.80,19.00,311.80,14.10,18,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
2024-06,江西省,12.30,31.30,60.90,-7.40,19,2024-06-30 00:00:00,1,0,2024-07-20 15:34:02,0,2024-07-20 15:34:02,,,
