时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,全国,7751.00,7.20,38370.00,8.60,1,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,新疆区,344.00,11.50,1758.50,15.40,2,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,宁夏区,113.90,8.50,572.90,2.70,3,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,青海省,90.30,7.00,455.20,9.00,4,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,甘肃省,142.60,8.40,717.60,7.50,5,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,陕西省,198.90,9.40,1035.10,6.80,6,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,西藏区,12.20,23.80,63.10,17.10,7,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,云南省,227.20,23.50,1067.40,12.60,8,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,贵州省,147.00,7.10,771.30,8.40,9,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,四川省,324.90,9.70,1518.40,7.10,10,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,重庆市,121.50,7.60,590.70,7.30,11,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,海南省,46.20,3.70,206.60,13.10,12,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,广西区,209.80,3.60,1009.70,7.50,13,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,广东省,753.20,1.80,3301.50,10.00,14,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,湖南省,173.10,-0.30,922.10,5.30,15,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,湖北省,226.50,10.20,1107.50,8.70,16,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
2024-05,河南省,336.40,11.30,1691.30,8.10,17,2024-05-31 00:00:00,1,0,2024-07-20 15:47:57,0,2024-07-20 15:47:57,,,
