时间,项目名称,累计值(千米),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,新增线路长度,8573.00,1,2024-05-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2024-04,新增线路长度,7252.20,2,2024-04-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2024-03,新增线路长度,5401.80,3,2024-03-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2024-02,新增线路长度,3352.00,4,2024-02-29 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-11,新增线路长度,29897.00,5,2023-11-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-10,新增线路长度,23919.00,6,2023-10-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-09,新增线路长度,22691.00,7,2023-09-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-08,新增线路长度,20177.00,8,2023-08-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-07,新增线路长度,18602.00,9,2023-07-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-06,新增线路长度,16876.00,10,2023-06-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-05,新增线路长度,7619.90,11,2023-05-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-04,新增线路长度,6398.00,12,2023-04-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-03,新增线路长度,5610.00,13,2023-03-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2023-02,新增线路长度,2617.00,14,2023-02-28 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-12,新增线路长度,38967.00,15,2022-12-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-11,新增线路长度,25736.00,16,2022-11-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-10,新增线路长度,23391.00,17,2022-10-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-09,新增线路长度,22265.00,18,2022-09-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-08,新增线路长度,18601.00,19,2022-08-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-07,新增线路长度,18136.00,20,2022-07-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-06,新增线路长度,16562.00,21,2022-06-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-05,新增线路长度,10950.00,22,2022-05-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-04,新增线路长度,8041.00,23,2022-04-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-03,新增线路长度,7417.00,24,2022-03-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2022-02,新增线路长度,4542.00,25,2022-02-28 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2021-12,新增线路长度,32220.00,26,2021-12-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2021-11,新增线路长度,26496.00,27,2021-11-30 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
2021-10,新增线路长度,25183.00,28,2021-10-31 00:00:00,1,0,2024-07-20 16:04:42,0,2024-07-20 16:04:42,,,
