时间,项目名称,累计值(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,全国线路损失率,4.30,-0.07,1,2024-05-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2024-04,全国线路损失率,4.40,-0.01,2,2024-04-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2024-03,全国线路损失率,4.40,-0.05,3,2024-03-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2024-02,全国线路损失率,4.60,0.07,4,2024-02-29 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-12,全国线路损失率,4.54,-0.28,5,2023-12-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-11,全国线路损失率,4.50,-0.27,6,2023-11-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-10,全国线路损失率,4.50,-0.24,7,2023-10-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-09,全国线路损失率,4.50,-0.23,8,2023-09-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-08,全国线路损失率,4.50,-0.28,9,2023-08-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-07,全国线路损失率,4.50,-0.13,10,2023-07-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-06,全国线路损失率,4.40,0.01,11,2023-06-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-05,全国线路损失率,4.37,0.28,12,2023-05-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-04,全国线路损失率,4.41,0.60,13,2023-04-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-03,全国线路损失率,4.45,0.64,14,2023-03-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2023-02,全国线路损失率,4.53,1.36,15,2023-02-28 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-12,全国线路损失率,4.84,-0.42,16,2022-12-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-11,全国线路损失率,4.77,-0.18,17,2022-11-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-10,全国线路损失率,4.74,-0.03,18,2022-10-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-09,全国线路损失率,4.73,0.10,19,2022-09-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-08,全国线路损失率,4.78,0.06,20,2022-08-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-07,全国线路损失率,4.63,-0.21,21,2022-07-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-06,全国线路损失率,4.39,0.02,22,2022-06-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-05,全国线路损失率,4.09,0.11,23,2022-05-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-04,全国线路损失率,3.81,0.06,24,2022-04-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-03,全国线路损失率,3.81,-0.08,25,2022-03-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2022-02,全国线路损失率,3.16,1.36,26,2022-02-28 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2021-12,全国线路损失率,5.26,-0.34,27,2021-12-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2021-11,全国线路损失率,4.95,-0.28,28,2021-11-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2021-10,全国线路损失率,4.77,-0.18,29,2021-10-31 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2021-09,全国线路损失率,4.60,-0.20,30,2021-09-30 00:00:00,1,0,2024-07-20 16:05:20,0,2024-07-20 16:05:20,,,
2021-08,全国线路损失率,4.70,-0.60,31,2021-08-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-07,全国线路损失率,4.80,-0.30,32,2021-07-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-06,全国线路损失率,4.40,-0.20,33,2021-06-30 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-05,全国线路损失率,3.98,0.02,34,2021-05-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-04,全国线路损失率,3.75,0.50,35,2021-04-30 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-03,全国线路损失率,3.88,0.70,36,2021-03-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2021-02,全国线路损失率,1.80,2.90,37,2021-02-28 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-12,全国线路损失率,5.62,-0.31,38,2020-12-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-11,全国线路损失率,5.24,-0.20,39,2020-11-30 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-10,全国线路损失率,4.96,-0.30,40,2020-10-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-09,全国线路损失率,4.85,-0.20,41,2020-09-30 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-08,全国线路损失率,5.35,-0.70,42,2020-08-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-07,全国线路损失率,5.11,-0.90,43,2020-07-31 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
2020-06,全国线路损失率,4.54,-0.40,44,2020-06-30 00:00:00,1,0,2024-07-20 16:05:24,0,2024-07-20 16:05:24,,,
