时间,项目名称,累计值(小时),累计同比变化(小时),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,火力发电设备,1762.20,-3.00,1,2024-05-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-05,合计,1372.00,-59.00,2,2024-05-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-05,水力发电设备,1093.00,126.00,3,2024-05-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-04,合计,1097.00,-49.00,4,2024-04-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-04,火力发电设备,1448.00,23.00,5,2024-04-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-04,水力发电设备,785.00,48.00,6,2024-04-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-04,风力发电设备,789.00,-77.00,7,2024-04-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-03,风力发电设备,596.00,-19.00,8,2024-03-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-03,合计,844.00,-24.00,9,2024-03-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-03,水力发电设备,555.00,11.00,10,2024-03-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-03,火力发电设备,1128.00,31.00,11,2024-03-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-02,合计,563.00,-6.00,12,2024-02-29 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-02,水力发电设备,369.00,5.00,13,2024-02-29 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-02,火力发电设备,763.00,44.00,14,2024-02-29 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2024-02,风力发电设备,373.00,-27.00,15,2024-02-29 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-12,火力发电设备,4466.00,76.00,16,2023-12-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-12,合计,3592.00,-101.00,17,2023-12-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-12,风力发电设备,2225.30,7.00,18,2023-12-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-12,水力发电设备,3133.00,-285.00,19,2023-12-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-11,水力发电设备,2927.00,-292.00,20,2023-11-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-11,风力发电设备,2029.00,21.00,21,2023-11-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-11,火力发电设备,4040.00,61.00,22,2023-11-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-11,合计,3282.00,-94.00,23,2023-11-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-10,风力发电设备,1816.00,-1.00,24,2023-10-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-10,火力发电设备,3677.00,57.00,25,2023-10-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-10,合计,2996.00,-88.00,26,2023-10-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-10,水力发电设备,2704.00,-298.00,27,2023-10-31 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-09,火力发电设备,3344.00,49.00,28,2023-09-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-09,水力发电设备,2367.00,-362.00,29,2023-09-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-09,合计,2716.00,-83.00,30,2023-09-30 00:00:00,1,0,2024-07-20 16:05:42,0,2024-07-20 16:05:42,,,
2023-09,水力发电设备,2367.00,-362.00,31,2023-09-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-08,风力发电设备,1538.00,79.00,32,2023-08-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-08,水力发电设备,1984.00,-469.00,33,2023-08-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-08,火力发电设备,2999.00,67.00,34,2023-08-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-08,合计,2423.00,-7.60,35,2023-08-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-07,水力发电设备,1578.00,-523.00,36,2023-07-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-07,合计,2079.00,-54.00,37,2023-07-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-07,风力发电设备,1416.00,112.00,38,2023-07-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-07,火力发电设备,2573.00,96.00,39,2023-07-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-06,合计,1733.00,-44.00,40,2023-06-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-06,火力发电设备,2142.00,84.00,41,2023-06-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-06,水力发电设备,1239.00,-452.00,42,2023-06-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-06,风力发电设备,1237.00,83.00,43,2023-06-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-05,水力发电设备,967.00,-294.00,44,2023-05-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-05,合计,1430.00,-32.00,45,2023-05-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-05,火力发电设备,1765.20,44.90,46,2023-05-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-05,风力发电设备,1080.60,104.90,47,2023-05-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-04,风力发电设备,866.00,87.00,48,2023-04-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-04,合计,1145.00,-31.00,49,2023-04-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-04,火力发电设备,1424.00,7.00,50,2023-04-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-04,水力发电设备,738.00,-167.00,51,2023-04-30 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-03,合计,868.00,-31.00,52,2023-03-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-03,水力发电设备,544.00,-92.00,53,2023-03-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-03,风力发电设备,615.00,61.00,54,2023-03-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-03,火力发电设备,1097.00,-18.00,55,2023-03-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-02,火力发电设备,720.00,-39.00,56,2023-02-28 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-02,水力发电设备,364.00,-45.00,57,2023-02-28 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-02,合计,569.00,-28.00,58,2023-02-28 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2023-02,风力发电设备,401.00,78.00,59,2023-02-28 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2022-12,火力发电设备,4379.00,-65.00,60,2022-12-31 00:00:00,1,0,2024-07-20 16:05:45,0,2024-07-20 16:05:45,,,
2022-12,火力发电设备,4379.00,-65.00,61,2022-12-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-12,水力发电设备,3412.00,-194.00,62,2022-12-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-11,风力发电设备,2008.00,-24.00,63,2022-11-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-11,合计,3375.00,-114.00,64,2022-11-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-11,水力发电设备,3217.00,-210.00,65,2022-11-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-11,火力发电设备,3978.00,-47.00,66,2022-11-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-10,水力发电设备,3002.00,-158.00,67,2022-10-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-10,合计,3083.00,-103.00,68,2022-10-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-10,火力发电设备,3619.00,-52.00,69,2022-10-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-10,风力发电设备,1817.00,-10.00,70,2022-10-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-09,火力发电设备,3295.00,-49.00,71,2022-09-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-09,风力发电设备,5576.00,-267.00,72,2022-09-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-09,合计,2799.00,-87.00,73,2022-09-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-09,水力发电设备,2729.00,-64.00,74,2022-09-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-08,风力发电设备,1460.00,-40.00,75,2022-08-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-08,水力发电设备,2453.00,93.00,76,2022-08-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-08,合计,2499.00,-67.00,77,2022-08-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-08,火力发电设备,2930.00,-64.00,78,2022-08-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-07,合计,2132.00,-84.00,79,2022-07-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-07,风力发电设备,1304.00,-68.00,80,2022-07-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-07,水力发电设备,2100.00,168.00,81,2022-07-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-07,火力发电设备,2476.00,-118.00,82,2022-07-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-06,合计,1777.00,-81.00,83,2022-06-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-06,水力发电设备,1691.00,195.00,84,2022-06-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-06,火力发电设备,2057.00,-133.00,85,2022-06-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-06,风力发电设备,1154.00,-58.00,86,2022-06-30 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-05,风力发电设备,976.00,-78.00,87,2022-05-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-05,合计,1462.00,-69.00,88,2022-05-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-05,火力发电设备,1720.00,-97.00,89,2022-05-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-05,水力发电设备,1262.00,118.00,90,2022-05-31 00:00:00,1,0,2024-07-20 16:05:49,0,2024-07-20 16:05:49,,,
2022-04,合计,1176.00,-41.00,91,2022-04-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-04,风力发电设备,778.00,-45.00,92,2022-04-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-04,水力发电设备,904.00,61.00,93,2022-04-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-04,火力发电设备,1417.00,-51.00,94,2022-04-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-03,风力发电设备,555.00,-65.00,95,2022-03-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-03,合计,899.00,-18.00,96,2022-03-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-03,火力发电设备,1115.00,-2.00,97,2022-03-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-03,水力发电设备,636.00,36.00,98,2022-03-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-02,合计,597.00,-8.00,99,2022-02-28 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-02,火力发电设备,759.00,26.00,100,2022-02-28 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-02,风力发电设备,323.00,-96.00,101,2022-02-28 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2022-02,水力发电设备,408.00,8.00,102,2022-02-28 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-12,火力发电设备,4448.00,237.00,103,2021-12-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-12,水力发电设备,3622.00,-203.00,104,2021-12-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-12,风力发电设备,2232.00,154.00,105,2021-12-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-12,合计,3817.00,60.00,106,2021-12-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-11,水力发电设备,3428.00,199.00,107,2021-11-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-11,火力发电设备,4018.00,277.00,108,2021-11-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-11,风力发电设备,2031.00,119.00,109,2021-11-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-11,合计,3483.00,87.00,110,2021-11-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-10,水力发电设备,3159.00,-165.00,111,2021-10-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-10,火力发电设备,3665.00,293.00,112,2021-10-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-10,风力发电设备,1827.00,100.00,113,2021-10-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-10,合计,3180.00,106.00,114,2021-10-31 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
2021-09,火力发电设备,3339.00,280.00,115,2021-09-30 00:00:00,1,0,2024-07-20 16:05:53,0,2024-07-20 16:05:53,,,
