时间,项目名称,累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,供热耗用原煤,18951.00,10.10,1,2024-05-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2024-04,供热耗用原煤,17196.00,9.50,2,2024-04-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2024-03,供热耗用原煤,15266.00,10.40,3,2024-03-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2024-02,供热耗用原煤,11073.00,8.30,4,2024-02-29 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-11,供热耗用原煤,29328.00,7.30,5,2023-11-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-10,供热耗用原煤,25158.00,6.60,6,2023-10-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-09,供热耗用原煤,22969.00,6.30,7,2023-09-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-08,供热耗用原煤,21537.00,6.40,8,2023-08-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-07,供热耗用原煤,20067.00,6.40,9,2023-07-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-06,供热耗用原煤,18682.00,5.50,10,2023-06-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-05,供热耗用原煤,17209.24,5.58,11,2023-05-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-04,供热耗用原煤,15709.00,3.20,12,2023-04-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-03,供热耗用原煤,13826.00,2.70,13,2023-03-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2023-02,供热耗用原煤,10224.00,3.90,14,2023-02-28 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-11,供热耗用原煤,25563.00,-8.40,15,2022-11-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-10,供热耗用原煤,23617.00,-1.30,16,2022-10-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-09,供热耗用原煤,21618.00,-0.10,17,2022-09-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-08,供热耗用原煤,20247.00,-1.70,18,2022-08-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-07,供热耗用原煤,18748.00,-2.50,19,2022-07-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-06,供热耗用原煤,17610.00,-1.40,20,2022-06-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-05,供热耗用原煤,16300.00,-1.50,21,2022-05-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-04,供热耗用原煤,15149.00,0.50,22,2022-04-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-03,供热耗用原煤,13407.00,3.70,23,2022-03-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2022-02,供热耗用原煤,9813.00,4.60,24,2022-02-28 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2021-11,供热耗用原煤,27911.00,9.30,25,2021-11-30 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
2021-10,供热耗用原煤,23931.00,8.80,26,2021-10-31 00:00:00,1,0,2024-07-20 16:07:54,0,2024-07-20 16:07:54,,,
