时间,项目名称,累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,供电量,32678.00,8.80,1,2024-05-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2024-04,供电量,25994.00,9.60,2,2024-04-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2024-03,供电量,19702.00,10.00,3,2024-03-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2024-02,供电量,13076.00,11.30,4,2024-02-29 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-11,供电量,71911.00,5.50,5,2023-11-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-10,供电量,65398.00,5.50,6,2023-10-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-09,供电量,59024.00,5.00,7,2023-09-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-08,供电量,52230.00,4.20,8,2023-08-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-07,供电量,44429.00,4.10,9,2023-07-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-06,供电量,36704.00,4.60,10,2023-06-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-05,供电量,30024.40,4.10,11,2023-05-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-04,供电量,23723.00,3.40,12,2023-04-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-03,供电量,17910.00,2.50,13,2023-03-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2023-02,供电量,11683.00,2.00,14,2023-02-28 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-11,供电量,68174.00,3.40,15,2022-11-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-10,供电量,61990.00,3.30,16,2022-10-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-09,供电量,56195.00,3.70,17,2022-09-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-08,供电量,50127.00,4.60,18,2022-08-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-07,供电量,42670.00,4.50,19,2022-07-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-06,供电量,35100.00,2.80,20,2022-06-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-05,供电量,28843.00,3.10,21,2022-05-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-04,供电量,22949.00,4.00,22,2022-04-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-03,供电量,17466.00,5.70,23,2022-03-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2022-02,供电量,11514.00,5.70,24,2022-02-28 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-11,供电量,65907.00,11.80,25,2021-11-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-10,供电量,59991.00,12.70,26,2021-10-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-09,供电量,54177.00,13.50,27,2021-09-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-08,供电量,47914.00,14.80,28,2021-08-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-07,供电量,41106.00,16.70,29,2021-07-31 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-06,供电量,34155.00,17.70,30,2021-06-30 00:00:00,1,0,2024-07-20 16:08:11,0,2024-07-20 16:08:11,,,
2021-05,供电量,27972.00,19.80,31,2021-05-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2021-04,供电量,22069.00,21.20,32,2021-04-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2021-03,供电量,16517.00,23.40,33,2021-03-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2021-02,供电量,10839.00,25.80,34,2021-02-28 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-11,供电量,58455.00,2.26,35,2020-11-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-10,供电量,52817.00,1.60,36,2020-10-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-09,供电量,47343.00,0.90,37,2020-09-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-08,供电量,41493.00,-0.04,38,2020-08-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-07,供电量,34924.00,-1.40,39,2020-07-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-06,供电量,28765.00,-2.50,40,2020-06-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-05,供电量,23152.00,-4.60,41,2020-05-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-04,供电量,18044.00,-6.50,42,2020-04-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-03,供电量,13260.00,-8.40,43,2020-03-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2020-02,供电量,8521.00,-10.30,44,2020-02-29 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-11,供电量,57164.00,5.50,45,2019-11-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-10,供电量,52003.00,5.40,46,2019-10-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-09,供电量,46930.00,5.40,47,2019-09-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-08,供电量,41511.00,5.50,48,2019-08-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-07,供电量,35414.00,5.70,49,2019-07-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-06,供电量,29509.00,6.20,50,2019-06-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-05,供电量,24274.00,6.30,51,2019-05-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-04,供电量,19303.00,7.00,52,2019-04-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-03,供电量,14470.00,6.90,53,2019-03-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2019-02,供电量,9495.00,5.10,54,2019-02-28 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-11,供电量,54194.00,9.40,55,2018-11-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-10,供电量,49349.00,9.70,56,2018-10-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-09,供电量,44531.00,9.90,57,2018-09-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-08,供电量,39344.00,10.10,58,2018-08-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-07,供电量,33508.00,10.20,59,2018-07-31 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-06,供电量,27790.00,10.70,60,2018-06-30 00:00:00,1,0,2024-07-20 16:08:14,0,2024-07-20 16:08:14,,,
2018-05,供电量,22832.00,11.00,61,2018-05-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2018-04,供电量,18035.00,10.60,62,2018-04-30 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2018-03,供电量,13542.00,11.30,63,2018-03-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2018-02,供电量,9037.00,15.00,64,2018-02-28 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-11,供电量,49544.00,7.30,65,2017-11-30 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-10,供电量,44982.00,7.40,66,2017-10-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-09,供电量,40510.00,7.50,67,2017-09-30 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-08,供电量,35744.00,7.20,68,2017-08-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-07,供电量,30412.00,7.40,69,2017-07-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-06,供电量,25100.00,6.80,70,2017-06-30 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-05,供电量,20567.00,6.80,71,2017-05-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-04,供电量,16300.00,7.00,72,2017-04-30 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-03,供电量,12167.00,7.20,73,2017-03-31 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2017-02,供电量,7860.00,6.40,74,2017-02-28 00:00:00,1,0,2024-07-20 16:08:17,0,2024-07-20 16:08:17,,,
2024-06,供电量,39877.00,8.60,145,2024-06-30 00:00:00,1,0,2024-08-01 10:44:27,0,2024-08-01 10:44:27,,,
2024-09,供电量,64109.80,8.60,146,2024-09-30 00:00:00,1,0,2024-11-07 01:52:47,0,2024-11-07 01:52:47,,,
2024-08,供电量,56716.00,8.60,147,2024-08-31 00:00:00,1,0,2024-11-07 01:52:47,0,2024-11-07 01:52:47,,,
2024-07,供电量,47963.00,8.00,148,2024-07-31 00:00:00,1,0,2024-11-07 01:52:47,0,2024-11-07 01:52:47,,,
2024-10,供电量,70760.10,8.20,149,2024-10-31 00:00:00,1,0,2024-11-28 23:17:15,0,2024-11-28 23:17:15,,,
2024-11,供电量,77493.60,7.80,150,2024-11-30 00:00:00,1,0,2025-01-03 23:17:34,0,2025-01-03 23:17:34,,,
2025-02,供电量,13145.80,1.10,151,2025-02-28 00:00:00,1,0,2025-03-31 23:17:00,0,2025-03-31 23:17:00,,,
2025-03,供电量,20201.00,2.50,152,2025-03-31 00:00:00,1,0,2025-05-05 23:17:34,0,2025-05-05 23:17:34,,,
2025-04,供电量,26757.60,2.90,153,2025-04-30 00:00:00,1,0,2025-05-27 23:17:16,0,2025-05-27 23:17:16,,,
2025-05,供电量,33673.10,3.00,154,2025-05-31 00:00:00,1,0,2025-06-30 23:17:34,0,2025-06-30 23:17:34,,,
2025-06,供电量,41205.49,3.33,155,2025-06-30 00:00:00,1,0,2025-08-20 23:17:02,0,2025-08-20 23:17:02,,,
2025-07,供电量,50191.40,4.60,156,2025-07-31 00:00:00,1,0,2025-08-28 23:16:31,0,2025-08-28 23:16:31,,,
