时间,城市,规格,生产单位,本期价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,太原市,"25mm,HRB400",海鑫,3670.00,市场价,1,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,深圳市,"25mm,HRB400",广钢,3740.00,市场价,2,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,武汉市,"25mm,HRB400",鄂钢,3480.00,市场价,3,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,郑州市,"25mm,HRB400",安钢,3550.00,市场价,4,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,杭州市,"25mm,HRB400",沙钢,3700.00,市场价,5,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,南京市,"25mm,HRB400",沙钢,3480.00,市场价,6,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,唐山市,"25mm,HRB400",河钢,3470.00,市场价,7,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,北京市,"25mm,HRB400",河钢,3610.00,市场价,8,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,天津市,"25mm,HRB400",河钢,3650.00,市场价,9,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,福州市,"25mm,HRB400",福建三钢,3690.00,市场价,10,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,重庆市,"25mm,HRB400",达钢,3590.00,市场价,11,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,成都市,"25mm,HRB400",达钢,3650.00,市场价,12,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,长沙市,"25mm,HRB400",涟钢,3600.00,市场价,13,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,西安市,"25mm,HRB400",酒钢,3650.00,市场价,14,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,兰州市,"25mm,HRB400",酒钢,3520.00,市场价,15,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,上海市,"25mm,HRB400",中天钢铁,3410.00,市场价,16,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,沈阳市,"25mm,HRB400",新抚钢,3670.00,市场价,17,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,济南市,"25mm,HRB400",山东济钢,3780.00,市场价,18,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,石家庄市,"25mm,HRB400",新兴铸管,3700.00,市场价,19,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,哈尔滨市,"25mm,HRB400",西钢,3720.00,市场价,20,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,广州市,"25mm,HRB400",韶钢,3730.00,市场价,21,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,南昌市,"25mm,HRB400",南昌钢铁,3350.00,市场价,22,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,南宁市,"25mm,HRB400",柳钢,3730.00,市场价,23,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-19,柳州市,"25mm,HRB400",柳钢,3720.00,市场价,24,2024-07-19 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,太原市,"25mm,HRB400",海鑫,3670.00,市场价,25,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,深圳市,"25mm,HRB400",广钢,3770.00,市场价,26,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,武汉市,"25mm,HRB400",鄂钢,3500.00,市场价,27,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,郑州市,"25mm,HRB400",安钢,3570.00,市场价,28,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,杭州市,"25mm,HRB400",沙钢,3730.00,市场价,29,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,南京市,"25mm,HRB400",沙钢,3520.00,市场价,30,2024-07-18 00:00:00,1,0,2024-07-20 16:53:35,0,2024-07-20 16:53:35,,,
2024-07-18,唐山市,"25mm,HRB400",河钢,3490.00,市场价,31,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,北京市,"25mm,HRB400",河钢,3620.00,市场价,32,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,天津市,"25mm,HRB400",河钢,3660.00,市场价,33,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,福州市,"25mm,HRB400",福建三钢,3700.00,市场价,34,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,重庆市,"25mm,HRB400",达钢,3590.00,市场价,35,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,成都市,"25mm,HRB400",达钢,3700.00,市场价,36,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,长沙市,"25mm,HRB400",涟钢,3620.00,市场价,37,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,西安市,"25mm,HRB400",酒钢,3660.00,市场价,38,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,兰州市,"25mm,HRB400",酒钢,3540.00,市场价,39,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,上海市,"25mm,HRB400",中天钢铁,3460.00,市场价,40,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,沈阳市,"25mm,HRB400",新抚钢,3690.00,市场价,41,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,济南市,"25mm,HRB400",山东济钢,3840.00,市场价,42,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,石家庄市,"25mm,HRB400",新兴铸管,3720.00,市场价,43,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,哈尔滨市,"25mm,HRB400",西钢,3720.00,市场价,44,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,广州市,"25mm,HRB400",韶钢,3760.00,市场价,45,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,南昌市,"25mm,HRB400",南昌钢铁,3370.00,市场价,46,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,南宁市,"25mm,HRB400",柳钢,3760.00,市场价,47,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-18,柳州市,"25mm,HRB400",柳钢,3740.00,市场价,48,2024-07-18 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,太原市,"25mm,HRB400",海鑫,3700.00,市场价,49,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,深圳市,"25mm,HRB400",广钢,3800.00,市场价,50,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,武汉市,"25mm,HRB400",鄂钢,3550.00,市场价,51,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,郑州市,"25mm,HRB400",安钢,3600.00,市场价,52,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,杭州市,"25mm,HRB400",沙钢,3790.00,市场价,53,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,南京市,"25mm,HRB400",沙钢,3580.00,市场价,54,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,唐山市,"25mm,HRB400",河钢,3510.00,市场价,55,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,北京市,"25mm,HRB400",河钢,3650.00,市场价,56,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,天津市,"25mm,HRB400",河钢,3690.00,市场价,57,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,福州市,"25mm,HRB400",福建三钢,3740.00,市场价,58,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,重庆市,"25mm,HRB400",达钢,3590.00,市场价,59,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,成都市,"25mm,HRB400",达钢,3730.00,市场价,60,2024-07-17 00:00:00,1,0,2024-07-20 16:53:39,0,2024-07-20 16:53:39,,,
2024-07-17,长沙市,"25mm,HRB400",涟钢,3660.00,市场价,61,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,西安市,"25mm,HRB400",酒钢,3700.00,市场价,62,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,兰州市,"25mm,HRB400",酒钢,3580.00,市场价,63,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,上海市,"25mm,HRB400",中天钢铁,3520.00,市场价,64,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,沈阳市,"25mm,HRB400",新抚钢,3720.00,市场价,65,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,济南市,"25mm,HRB400",山东济钢,3860.00,市场价,66,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,石家庄市,"25mm,HRB400",新兴铸管,3740.00,市场价,67,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,哈尔滨市,"25mm,HRB400",西钢,3740.00,市场价,68,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,广州市,"25mm,HRB400",韶钢,3790.00,市场价,69,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,南昌市,"25mm,HRB400",南昌钢铁,3430.00,市场价,70,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,南宁市,"25mm,HRB400",柳钢,3800.00,市场价,71,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-17,柳州市,"25mm,HRB400",柳钢,3780.00,市场价,72,2024-07-17 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,太原市,"25mm,HRB400",海鑫,3700.00,市场价,73,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,深圳市,"25mm,HRB400",广钢,3790.00,市场价,74,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,武汉市,"25mm,HRB400",鄂钢,3560.00,市场价,75,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,郑州市,"25mm,HRB400",安钢,3620.00,市场价,76,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,杭州市,"25mm,HRB400",沙钢,3800.00,市场价,77,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,南京市,"25mm,HRB400",沙钢,3590.00,市场价,78,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,唐山市,"25mm,HRB400",河钢,3520.00,市场价,79,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,北京市,"25mm,HRB400",河钢,3650.00,市场价,80,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,天津市,"25mm,HRB400",河钢,3690.00,市场价,81,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,福州市,"25mm,HRB400",福建三钢,3740.00,市场价,82,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,重庆市,"25mm,HRB400",达钢,3590.00,市场价,83,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,成都市,"25mm,HRB400",达钢,3730.00,市场价,84,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,长沙市,"25mm,HRB400",涟钢,3670.00,市场价,85,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,西安市,"25mm,HRB400",酒钢,3700.00,市场价,86,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,兰州市,"25mm,HRB400",酒钢,3580.00,市场价,87,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,上海市,"25mm,HRB400",中天钢铁,3550.00,市场价,88,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,沈阳市,"25mm,HRB400",新抚钢,3730.00,市场价,89,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,济南市,"25mm,HRB400",山东济钢,3870.00,市场价,90,2024-07-16 00:00:00,1,0,2024-07-20 16:53:41,0,2024-07-20 16:53:41,,,
2024-07-16,石家庄市,"25mm,HRB400",新兴铸管,3760.00,市场价,91,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-16,哈尔滨市,"25mm,HRB400",西钢,3730.00,市场价,92,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-16,广州市,"25mm,HRB400",韶钢,3780.00,市场价,93,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-16,南昌市,"25mm,HRB400",南昌钢铁,3440.00,市场价,94,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-16,南宁市,"25mm,HRB400",柳钢,3800.00,市场价,95,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-16,柳州市,"25mm,HRB400",柳钢,3780.00,市场价,96,2024-07-16 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,太原市,"25mm,HRB400",海鑫,3700.00,市场价,97,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,深圳市,"25mm,HRB400",广钢,3790.00,市场价,98,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,武汉市,"25mm,HRB400",鄂钢,3560.00,市场价,99,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,郑州市,"25mm,HRB400",安钢,3620.00,市场价,100,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,杭州市,"25mm,HRB400",沙钢,3780.00,市场价,101,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,南京市,"25mm,HRB400",沙钢,3580.00,市场价,102,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,唐山市,"25mm,HRB400",河钢,3490.00,市场价,103,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,北京市,"25mm,HRB400",河钢,3650.00,市场价,104,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,天津市,"25mm,HRB400",河钢,3700.00,市场价,105,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,福州市,"25mm,HRB400",福建三钢,3740.00,市场价,106,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,重庆市,"25mm,HRB400",达钢,3590.00,市场价,107,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,成都市,"25mm,HRB400",达钢,3730.00,市场价,108,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,长沙市,"25mm,HRB400",涟钢,3670.00,市场价,109,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,西安市,"25mm,HRB400",酒钢,3700.00,市场价,110,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
2024-07-15,兰州市,"25mm,HRB400",酒钢,3570.00,市场价,111,2024-07-15 00:00:00,1,0,2024-07-20 16:53:45,0,2024-07-20 16:53:45,,,
