时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,济源市,准一级焦,1890.00,出厂价,A13S0.7CSR60,1,2024-07-19 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-19,汝州市,准一级焦,2000.00,出厂价,A13.5S0.7 CSR60MT<6,2,2024-07-19 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-19,平顶山市,准一级焦,2170.00,出厂价,A13S0.7 CSR62,3,2024-07-19 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-19,平顶山市,一级焦,2270.00,出厂价,A12.5S0.7 CSR64 MT<5,4,2024-07-19 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-19,安阳市,准一级焦,2170.00,出厂价,A12.5S0.7 CSR60MT0,5,2024-07-19 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-18,济源市,准一级焦,1890.00,出厂价,A13S0.7CSR60,6,2024-07-18 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-18,汝州市,准一级焦,2000.00,出厂价,A13.5S0.7 CSR60MT<6,7,2024-07-18 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-18,平顶山市,准一级焦,2170.00,出厂价,A13S0.7 CSR62,8,2024-07-18 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-18,平顶山市,一级焦,2270.00,出厂价,A12.5S0.7 CSR64 MT<5,9,2024-07-18 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
2024-07-18,安阳市,准一级焦,2170.00,出厂价,A12.5S0.7 CSR60MT0,10,2024-07-18 00:00:00,1,0,2024-07-20 20:38:34,0,2024-07-20 20:38:34,,,
