时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,1,2024-07-19 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-18,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,2,2024-07-18 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-17,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,3,2024-07-17 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-16,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,4,2024-07-16 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-15,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,5,2024-07-15 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-12,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,6,2024-07-12 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-11,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,7,2024-07-11 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-10,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,8,2024-07-10 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-09,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,9,2024-07-09 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-08,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,10,2024-07-08 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-05,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,11,2024-07-05 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-04,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,12,2024-07-04 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-03,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,13,2024-07-03 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-02,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,14,2024-07-02 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-07-01,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,15,2024-07-01 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-28,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,16,2024-06-28 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-27,景德镇市,准一级焦,2370.00,出厂价,A13S0.7 CSR60MT5,17,2024-06-27 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-26,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,18,2024-06-26 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-25,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,19,2024-06-25 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-24,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,20,2024-06-24 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-21,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,21,2024-06-21 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-20,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,22,2024-06-20 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-19,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,23,2024-06-19 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-18,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,24,2024-06-18 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-17,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,25,2024-06-17 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-14,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,26,2024-06-14 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-13,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,27,2024-06-13 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-12,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,28,2024-06-12 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-11,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,29,2024-06-11 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-07,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,30,2024-06-07 00:00:00,1,0,2024-07-20 20:56:30,0,2024-07-20 20:56:30,,,
2024-06-06,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,31,2024-06-06 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-06-05,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,32,2024-06-05 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-06-04,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,33,2024-06-04 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-06-03,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,34,2024-06-03 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-31,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,35,2024-05-31 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-30,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,36,2024-05-30 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-29,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,37,2024-05-29 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-28,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,38,2024-05-28 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-27,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,39,2024-05-27 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-24,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,40,2024-05-24 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-23,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,41,2024-05-23 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-22,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,42,2024-05-22 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-21,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,43,2024-05-21 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
2024-05-20,景德镇市,准一级焦,2270.00,出厂价,A13S0.7 CSR60MT5,44,2024-05-20 00:00:00,1,0,2024-07-20 20:56:33,0,2024-07-20 20:56:33,,,
