时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,1,2024-07-19 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-19,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,2,2024-07-19 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-18,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,3,2024-07-18 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-18,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,4,2024-07-18 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-17,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,5,2024-07-17 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-17,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,6,2024-07-17 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-16,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,7,2024-07-16 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-16,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,8,2024-07-16 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-15,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,9,2024-07-15 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-15,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,10,2024-07-15 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-12,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,11,2024-07-12 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-12,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,12,2024-07-12 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-11,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,13,2024-07-11 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-11,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,14,2024-07-11 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-10,锦州市,二级焦,2260.00,到厂价,A13S0.7 CSR58,15,2024-07-10 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
2024-07-10,沈阳市,二级焦,1920.00,车板价,A13.5S0.75 CSR55,16,2024-07-10 00:00:00,1,0,2024-07-20 20:58:51,0,2024-07-20 20:58:51,,,
