时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,忻州市,三级焦,1660.00,出厂价,A14S0.8 CSR58,1,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,河津市,准一级焦,1800.00,出厂价,A13S0.75 CSR62,2,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,长治市,一级焦,1970.00,出厂价,A12.5S0.7CSR65,3,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,临汾市,准一级焦,1840.00,出厂价,A13S0.7 CSR62,4,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,太原市,准一级焦,1790.00,出厂价,A12.5S0.7 CSR62,5,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,介休市,准一级焦,1850.00,出厂价,A13S0.7 CSR60,6,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,晋中市,准一级焦,1810.00,出厂价,A13S0.7 CSR62,7,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,吕梁市,准一级焦,1800.00,出厂价,A13S0.7 CSR62,8,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,吕梁市,一级焦,1840.00,出厂价,A12.5S0.7 CSR65,9,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-19,临汾市,一级焦,1850.00,出厂价,A12.5S0.65 CSR65,10,2024-07-19 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,忻州市,三级焦,1660.00,出厂价,A14S0.8 CSR58,11,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,河津市,准一级焦,1800.00,出厂价,A13S0.75 CSR62,12,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,长治市,一级焦,1970.00,出厂价,A12.5S0.7CSR65,13,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,临汾市,准一级焦,1840.00,出厂价,A13S0.7 CSR62,14,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,太原市,准一级焦,1790.00,出厂价,A12.5S0.7 CSR62,15,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,介休市,准一级焦,1850.00,出厂价,A13S0.7 CSR60,16,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,晋中市,准一级焦,1810.00,出厂价,A13S0.7 CSR62,17,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,吕梁市,准一级焦,1800.00,出厂价,A13S0.7 CSR62,18,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,吕梁市,一级焦,1840.00,出厂价,A12.5S0.7 CSR65,19,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-18,临汾市,一级焦,1850.00,出厂价,A12.5S0.65 CSR65,20,2024-07-18 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,忻州市,三级焦,1660.00,出厂价,A14S0.8 CSR58,21,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,河津市,准一级焦,1800.00,出厂价,A13S0.75 CSR62,22,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,长治市,一级焦,1970.00,出厂价,A12.5S0.7CSR65,23,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,临汾市,准一级焦,1840.00,出厂价,A13S0.7 CSR62,24,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,太原市,准一级焦,1790.00,出厂价,A12.5S0.7 CSR62,25,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,介休市,准一级焦,1850.00,出厂价,A13S0.7 CSR60,26,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,晋中市,准一级焦,1810.00,出厂价,A13S0.7 CSR62,27,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,吕梁市,准一级焦,1800.00,出厂价,A13S0.7 CSR62,28,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,吕梁市,一级焦,1840.00,出厂价,A12.5S0.7 CSR65,29,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-17,临汾市,一级焦,1850.00,出厂价,A12.5S0.65 CSR65,30,2024-07-17 00:00:00,1,0,2024-07-20 21:26:31,0,2024-07-20 21:26:31,,,
2024-07-16,长治市,一级焦,1970.00,出厂价,A12.5S0.7CSR65,31,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,临汾市,准一级焦,1840.00,出厂价,A13S0.7 CSR62,32,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,临汾市,一级焦,1850.00,出厂价,A12.5S0.65 CSR65,33,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,介休市,准一级焦,1850.00,出厂价,A13S0.7 CSR60,34,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,河津市,准一级焦,1800.00,出厂价,A13S0.75 CSR62,35,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,吕梁市,准一级焦,1800.00,出厂价,A13S0.7 CSR62,36,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,吕梁市,一级焦,1840.00,出厂价,A12.5S0.7 CSR65,37,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
2024-07-16,太原市,准一级焦,1790.00,出厂价,A12.5S0.7 CSR62,38,2024-07-16 00:00:00,1,0,2024-07-20 21:26:34,0,2024-07-20 21:26:34,,,
