时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,1,2024-07-19 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-18,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,2,2024-07-18 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-17,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,3,2024-07-17 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-16,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,4,2024-07-16 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-15,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,5,2024-07-15 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-12,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,6,2024-07-12 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-11,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,7,2024-07-11 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-10,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,8,2024-07-10 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-09,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,9,2024-07-09 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-08,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,10,2024-07-08 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-05,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,11,2024-07-05 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-04,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,12,2024-07-04 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-03,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,13,2024-07-03 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-02,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,14,2024-07-02 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-07-01,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,15,2024-07-01 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-06-28,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,16,2024-06-28 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
2024-06-27,韩城市,准一级焦,1890.00,出厂价,A13S0.75 CSR60 MT<8,17,2024-06-27 00:00:00,1,0,2024-07-20 21:49:21,0,2024-07-20 21:49:21,,,
