时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",1,2024-07-19 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-18,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",2,2024-07-18 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-17,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",3,2024-07-17 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-16,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",4,2024-07-16 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-15,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",5,2024-07-15 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-12,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",6,2024-07-12 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-11,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",7,2024-07-11 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-10,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",8,2024-07-10 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-09,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",9,2024-07-09 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-08,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",10,2024-07-08 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-05,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",11,2024-07-05 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-04,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",12,2024-07-04 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-03,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",13,2024-07-03 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-02,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",14,2024-07-02 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-07-01,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",15,2024-07-01 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-28,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",16,2024-06-28 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-27,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",17,2024-06-27 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-26,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",18,2024-06-26 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-25,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",19,2024-06-25 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-24,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",20,2024-06-24 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-21,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",21,2024-06-21 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-20,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",22,2024-06-20 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-19,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",23,2024-06-19 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-18,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",24,2024-06-18 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-17,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",25,2024-06-17 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-14,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",26,2024-06-14 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-13,达州市,二级焦,2165.00,出厂价,"A13.5S0.8 CSR60,MTO",27,2024-06-13 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-12,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",28,2024-06-12 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-11,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",29,2024-06-11 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-07,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",30,2024-06-07 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-06,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",31,2024-06-06 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-05,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",32,2024-06-05 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-04,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",33,2024-06-04 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-03,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",34,2024-06-03 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
