时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,1,2024-07-19 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-19,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,2,2024-07-19 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-18,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,3,2024-07-18 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-18,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,4,2024-07-18 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-17,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,5,2024-07-17 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-17,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,6,2024-07-17 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-16,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,7,2024-07-16 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-16,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,8,2024-07-16 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-15,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,9,2024-07-15 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-15,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,10,2024-07-15 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-12,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,11,2024-07-12 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-12,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,12,2024-07-12 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-11,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,13,2024-07-11 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-11,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,14,2024-07-11 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-10,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,15,2024-07-10 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-10,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,16,2024-07-10 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-09,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,17,2024-07-09 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-09,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,18,2024-07-09 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-08,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,19,2024-07-08 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-08,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,20,2024-07-08 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-05,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,21,2024-07-05 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-05,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,22,2024-07-05 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-04,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,23,2024-07-04 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-04,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,24,2024-07-04 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-03,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,25,2024-07-03 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-03,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,26,2024-07-03 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-02,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,27,2024-07-02 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-02,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,28,2024-07-02 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-01,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,29,2024-07-01 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-07-01,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,30,2024-07-01 00:00:00,1,0,2024-07-20 21:53:55,0,2024-07-20 21:53:55,,,
2024-06-28,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,31,2024-06-28 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-28,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,32,2024-06-28 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-27,天津港,一级焦,2140.00,平仓价,A12.5S0.65 CSR65,33,2024-06-27 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-27,天津港,准一级焦,2040.00,平仓价,A13S0.7 CSR62,34,2024-06-27 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-26,天津港,一级焦,2090.00,平仓价,A12.5S0.65 CSR65,35,2024-06-26 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-26,天津港,准一级焦,1990.00,平仓价,A13S0.7 CSR62,36,2024-06-26 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-25,天津港,一级焦,2090.00,平仓价,A12.5S0.65 CSR65,37,2024-06-25 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-25,天津港,准一级焦,1990.00,平仓价,A13S0.7 CSR62,38,2024-06-25 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-24,天津港,一级焦,2090.00,平仓价,A12.5S0.65 CSR65,39,2024-06-24 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-24,天津港,准一级焦,1990.00,平仓价,A13S0.7 CSR62,40,2024-06-24 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-21,天津港,一级焦,2090.00,平仓价,A12.5S0.65 CSR65,41,2024-06-21 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-21,天津港,准一级焦,1990.00,平仓价,A13S0.7 CSR62,42,2024-06-21 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-20,天津港,一级焦,2090.00,平仓价,A12.5S0.65 CSR65,43,2024-06-20 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
2024-06-20,天津港,准一级焦,1990.00,平仓价,A13S0.7 CSR62,44,2024-06-20 00:00:00,1,0,2024-07-20 21:53:58,0,2024-07-20 21:53:58,,,
