时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,4163.50,2.20,24182.10,-0.90,1,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,新疆区,296.60,25.70,1853.00,12.80,2,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,宁夏区,134.60,18.20,796.60,25.40,3,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,青海省,,,,,4,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,甘肃省,56.60,27.50,313.30,23.50,5,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,陕西省,412.80,13.00,2228.00,1.40,6,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,云南省,99.30,-6.50,538.20,-11.10,8,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,贵州省,34.10,27.40,175.80,13.90,9,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,四川省,81.20,-4.70,479.70,-3.90,10,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,重庆市,23.20,-15.70,148.40,-10.60,11,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,海南省,,,,,12,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,广西区,104.40,12.70,622.20,12.40,13,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,广东省,55.10,-11.90,367.70,-4.60,14,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,湖南省,50.90,-7.20,315.40,-4.30,15,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,湖北省,79.60,-2.30,497.20,1.30,16,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,河南省,201.70,11.90,1162.20,7.50,17,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
2024-06,山东省,254.90,-3.50,1522.90,-1.80,18,2024-06-30 00:00:00,1,0,2024-07-20 23:42:26,0,2024-07-20 23:42:26,,,
