时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,热卷,330.68,1,2024-07-19 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-19,冷轧,145.65,2,2024-07-19 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-19,线材,77.20,3,2024-07-19 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-19,螺纹钢,578.57,4,2024-07-19 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-19,中厚板,144.14,5,2024-07-19 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-12,热卷,331.54,6,2024-07-12 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-12,冷轧,147.22,7,2024-07-12 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-12,线材,79.91,8,2024-07-12 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-12,螺纹钢,584.53,9,2024-07-12 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-12,中厚板,143.49,10,2024-07-12 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-05,螺纹钢,585.81,11,2024-07-05 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-05,中厚板,142.41,12,2024-07-05 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-05,线材,83.46,13,2024-07-05 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
2024-07-05,热卷,331.04,14,2024-07-05 00:00:00,1,0,2024-07-20 23:49:59,0,2024-07-20 23:49:59,,,
