时间,港口名称,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,江阴港,635.00,1,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,如皋港,100.00,2,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,深圳港,0.00,3,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,湛江港,325.00,4,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,扬州港,0.00,5,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,常州港,0.00,6,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,南京港,10.00,7,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,日照港,1908.00,8,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,美锦港,5.00,9,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,连云港,975.00,10,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,镇江港,258.00,11,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,莆田港,0.00,12,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,福州港,20.00,13,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,北仑港,452.00,14,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,张家港,70.00,15,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,泉州港,3.00,16,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,可门港,140.00,17,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,太仓武港,315.00,18,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,泰州港,6.00,19,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,舟山武港,120.00,20,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,岚桥港,720.00,21,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,钦州港,0.00,22,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,罗泾港,0.00,23,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,厦门港,25.00,24,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,防城港,285.00,25,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,马迹山港,135.00,26,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,南通港,0.00,27,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,广州港,0.00,28,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,莱州港,0.00,29,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,岚山港,728.00,30,2024-07-12 00:00:00,1,0,2024-07-20 23:59:25,0,2024-07-20 23:59:25,,,
2024-07-12,龙口港,10.00,31,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-12,岚桥港,720.00,32,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-12,北仑港,452.00,33,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-12,湛江港,325.00,34,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-12,钦州港,0.00,35,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
