时间,地区名称,当月数量(吨),当月金额(美元),累计数量(吨),累计金额(美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,湖南省,900.00,151564.00,4455.00,955608.00,1,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,湖北省,0.00,0.00,24500.00,8397867.00,2,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,河南省,0.00,0.00,0.00,0.00,3,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,山东省,222529.00,42680208.00,911092.00,224757314.00,4,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,江西省,1159.00,184464.00,1757.00,318545.00,5,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,福建省,10800.00,2655677.00,314353.00,72389251.00,6,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,安徽省,0.00,0.00,0.00,0.00,7,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,浙江省,57336.00,17072946.00,468810.00,127712660.00,8,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,江苏省,86643.00,12464645.00,330135.00,70020925.00,9,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,上海市,203.00,47109.00,62440.00,8227606.00,10,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,黑龙江省,25.00,11258.00,119.00,75102.00,11,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
2024-05,吉林省,0.00,0.00,6180.00,1176326.00,12,2024-05-31 00:00:00,1,0,2024-07-21 00:35:04,0,2024-07-21 00:35:04,,,
