时间,地区名称,当月数量(吨),当月金额(美元),累计数量(吨),累计金额(美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-02,湖南省,848090.67,473197073.00,1241690.95,730254429.00,4082,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,湖北省,162453.46,131796403.00,268891.11,251824153.00,4083,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,河南省,34783.58,26958043.00,416922.88,252117606.00,4084,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,山东省,827492.38,537917638.00,1720776.25,1167663919.00,4085,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,江西省,28144.24,19190925.00,87596.76,55769487.00,4086,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,福建省,78206.54,71344106.00,308678.22,240026888.00,4087,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,安徽省,120419.79,87548189.00,247469.07,186766008.00,4088,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,浙江省,255051.89,272308735.00,665911.35,744475789.00,4089,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,江苏省,1468246.05,1040477168.00,3132371.39,2346140170.00,4090,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,上海市,676878.54,517243307.00,1841534.79,1389372978.00,4091,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,黑龙江省,39553.82,27284364.00,58585.08,42865773.00,4092,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,吉林省,43.92,131481.00,4598.94,2980784.00,4093,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,辽宁省,797250.05,439312462.00,1672548.25,947291416.00,4094,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,内蒙古区,165677.08,91205705.00,264453.36,146313893.00,4095,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,山西省,62065.52,63822405.00,141274.18,150051688.00,4096,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,河北省,482784.16,308583381.00,997410.37,678146726.00,4097,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,天津市,274357.58,243031367.00,577290.85,487156676.00,4098,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,北京市,284003.93,197552779.00,773098.11,563195640.00,4099,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,新疆区,10378.24,7366433.00,20963.37,16301675.00,4100,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,宁夏区,0.00,0.00,0.06,1025.00,4101,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,青海省,21.31,63419.00,49.01,140079.00,4102,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,甘肃省,3151.52,2231730.00,3743.39,2746025.00,4103,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,陕西省,236313.54,135671538.00,272629.97,169279410.00,4104,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,云南省,46381.58,25155995.00,76356.60,39877301.00,4105,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,贵州省,863.15,651367.00,3294.64,2340575.00,4106,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,四川省,44556.60,31372052.00,108420.89,79451623.00,4107,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,重庆市,6953.06,6133603.00,60656.47,38647014.00,4108,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,海南省,102197.55,51783978.00,122686.41,78265581.00,4109,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,广西区,23892.09,13035747.00,29473.82,18552604.00,4110,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-02,广东省,955631.26,628491096.00,1852782.10,1278972845.00,4111,2025-02-28 00:00:00,1,0,2025-03-31 23:19:36,0,2025-03-31 23:19:36,,,
2025-03,湖南省,397028.13,250451540.00,1638719.08,980705969.00,4112,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,湖北省,171039.00,149709206.00,439930.11,401533359.00,4113,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,河南省,43290.57,37450901.00,460213.45,289568507.00,4114,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,山东省,887467.71,617477805.00,2608243.96,1785141724.00,4115,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,江西省,29560.25,19345609.00,117157.01,75115096.00,4116,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,福建省,122665.68,107509545.00,431343.90,347536433.00,4117,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,安徽省,161557.72,105441469.00,409026.78,292207477.00,4118,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,浙江省,292448.61,361381269.00,958359.96,1105857058.00,4119,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,江苏省,2220550.16,1533806221.00,5352921.55,3879946391.00,4120,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,上海市,1109503.72,816957690.00,2951038.50,2206330668.00,4121,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,黑龙江省,18139.59,14214126.00,76724.67,57079899.00,4122,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,吉林省,3993.67,2682312.00,8592.61,5663096.00,4123,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,辽宁省,955853.95,526217974.00,2628402.19,1473509390.00,4124,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,内蒙古区,142907.26,78637981.00,407360.62,224951874.00,4125,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,山西省,82257.93,91839886.00,223532.11,241891574.00,4126,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,河北省,579816.59,390335151.00,1577226.96,1068481877.00,4127,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
