时间,报价机构,规格,本期价格(元/吨),价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,山东粗苯,,7450.00,市场价,加工用,1,2024-07-18 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-07-11,山东粗苯,,7750.00,市场价,加工用,2,2024-07-11 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-07-04,山东粗苯,,8050.00,市场价,加工用,3,2024-07-04 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-06-27,山东粗苯,,8180.00,市场价,加工用,4,2024-06-27 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-06-20,山东粗苯,,8180.00,市场价,加工用,5,2024-06-20 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-06-13,山东粗苯,,7830.00,市场价,加工用,6,2024-06-13 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-06-06,山东粗苯,,7800.00,市场价,加工用,7,2024-06-06 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-05-30,山东粗苯,,7800.00,市场价,加工用,8,2024-05-30 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-05-23,山东粗苯,,7350.00,市场价,加工用,9,2024-05-23 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-05-16,山东粗苯,,7680.00,市场价,加工用,10,2024-05-16 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-05-09,山东粗苯,,7680.00,市场价,加工用,11,2024-05-09 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-04-25,山东粗苯,,7600.00,市场价,加工用,12,2024-04-25 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
2024-04-18,山东粗苯,,7550.00,市场价,加工用,13,2024-04-18 00:00:00,1,0,2024-07-21 00:56:40,0,2024-07-21 00:56:40,,,
