时间,报价机构,规格,本期价格(元/吨),价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,奥维加能,一级品,2650.00,出厂价,陕西,1,2024-07-18 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-18,内蒙中联,一级品,2600.00,出厂价,内蒙古,2,2024-07-18 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-18,兴平化工,一级品,2750.00,出厂价,宁夏,3,2024-07-18 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-18,陕西煤化,一级品,2650.00,出厂价,宁夏,4,2024-07-18 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-18,内蒙古双欣,一级品,2750.00,出厂价,内蒙古,5,2024-07-18 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-11,奥维加能,一级品,2700.00,出厂价,陕西,6,2024-07-11 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-11,内蒙中联,一级品,2650.00,出厂价,内蒙古,7,2024-07-11 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-11,兴平化工,一级品,2800.00,出厂价,宁夏,8,2024-07-11 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-11,陕西煤化,一级品,2700.00,出厂价,宁夏,9,2024-07-11 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-11,内蒙古双欣,一级品,2750.00,出厂价,内蒙古,10,2024-07-11 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-04,奥维加能,一级品,2700.00,出厂价,陕西,11,2024-07-04 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-04,内蒙中联,一级品,2650.00,出厂价,内蒙古,12,2024-07-04 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-04,兴平化工,一级品,2800.00,出厂价,宁夏,13,2024-07-04 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-04,陕西煤化,一级品,2700.00,出厂价,宁夏,14,2024-07-04 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-07-04,内蒙古双欣,一级品,2750.00,出厂价,内蒙古,15,2024-07-04 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-27,奥维加能,一级品,2800.00,出厂价,陕西,16,2024-06-27 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-27,内蒙中联,一级品,2800.00,出厂价,内蒙古,17,2024-06-27 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-27,兴平化工,一级品,2850.00,出厂价,宁夏,18,2024-06-27 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-27,陕西煤化,一级品,2830.00,出厂价,宁夏,19,2024-06-27 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-27,内蒙古双欣,一级品,2810.00,出厂价,内蒙古,20,2024-06-27 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-20,奥维加能,一级品,2800.00,出厂价,陕西,21,2024-06-20 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-20,内蒙中联,一级品,2800.00,出厂价,内蒙古,22,2024-06-20 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-20,兴平化工,一级品,2850.00,出厂价,宁夏,23,2024-06-20 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-20,陕西煤化,一级品,2830.00,出厂价,宁夏,24,2024-06-20 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-20,内蒙古双欣,一级品,2810.00,出厂价,内蒙古,25,2024-06-20 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-13,奥维加能,一级品,2800.00,出厂价,陕西,26,2024-06-13 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-13,内蒙中联,一级品,2840.00,出厂价,内蒙古,27,2024-06-13 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-13,兴平化工,一级品,2850.00,出厂价,宁夏,28,2024-06-13 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-13,陕西煤化,一级品,2830.00,出厂价,宁夏,29,2024-06-13 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-13,内蒙古双欣,一级品,2810.00,出厂价,内蒙古,30,2024-06-13 00:00:00,1,0,2024-07-21 01:08:55,0,2024-07-21 01:08:55,,,
2024-06-06,奥维加能,一级品,2800.00,出厂价,陕西,31,2024-06-06 00:00:00,1,0,2024-07-21 01:08:59,0,2024-07-21 01:08:59,,,
2024-06-06,内蒙中联,一级品,2840.00,出厂价,内蒙古,32,2024-06-06 00:00:00,1,0,2024-07-21 01:08:59,0,2024-07-21 01:08:59,,,
2024-06-06,兴平化工,一级品,2850.00,出厂价,宁夏,33,2024-06-06 00:00:00,1,0,2024-07-21 01:08:59,0,2024-07-21 01:08:59,,,
