时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,358.50,8.60,2150.10,6.00,1,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,新疆区,25.15,,149.98,,2,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,宁夏区,7.65,,45.33,,3,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,青海省,3.39,,19.42,,4,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,甘肃省,3.93,,19.53,,5,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,陕西省,9.34,,58.83,,6,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,云南省,2.79,,15.19,,7,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,四川省,13.60,,77.06,,8,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,重庆市,3.28,,17.39,,9,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,广西区,10.75,,63.38,,10,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,广东省,3.34,,17.83,,11,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,湖南省,4.81,,28.95,,12,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,湖北省,8.63,,52.80,,13,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,河南省,16.11,,94.64,,14,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,山东省,101.27,,597.96,,15,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,江西省,9.13,,49.93,,16,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,福建省,7.75,,43.45,,17,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,安徽省,8.29,,45.20,,18,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,浙江省,20.96,,124.45,,19,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,江苏省,26.69,,160.44,,20,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,上海市,3.92,,36.76,,21,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,黑龙江省,1.85,,11.29,,22,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,吉林省,1.01,,7.91,,23,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,辽宁省,6.43,,39.57,,24,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,内蒙古区,28.55,,191.36,,25,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
2024-06,山西省,8.30,,48.54,,26,2024-06-30 00:00:00,1,0,2024-07-21 02:10:13,0,2024-07-21 02:10:13,,,
