时间,地区,当月值(万吨),累计值(万吨),同比增长(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,1794.60,10704.70,2.40,1.90,1,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,广西区,3.80,21.70,-30.30,-46.50,2,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,广东省,177.20,1074.90,7.30,6.80,3,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,重庆市,0.40,1.60,113.00,76.20,4,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,四川省,1.70,11.80,11.60,42.20,5,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,贵州省,,,,,6,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,云南省,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,西藏区,,,,,8,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,陕西省,197.80,1223.80,-9.30,-2.10,9,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,甘肃省,125.70,641.30,26.00,10.20,10,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,青海省,20.30,119.00,3.90,2.40,11,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,宁夏区,9.80,61.60,-7.90,-3.50,12,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,新疆区,269.90,1651.80,-3.10,-1.70,13,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,北京市,,,,,14,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,天津市,336.20,1979.00,7.60,5.60,15,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,河北省,38.90,236.50,-0.60,-2.10,16,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,山西省,,,,,17,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,内蒙古区,16.10,98.50,17.90,20.60,18,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,辽宁省,80.50,489.30,-1.50,-2.00,19,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,吉林省,35.60,216.40,3.60,0.10,20,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,黑龙江省,250.50,1480.40,1.00,,21,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,上海市,5.50,33.60,193.20,39.40,22,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,江苏省,14.00,84.10,6.60,6.70,23,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,浙江省,,,,,24,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,安徽省,,,,,25,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,福建省,,,,,26,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,江西省,,,,,27,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,山东省,181.90,1104.70,0.30,1.30,28,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,河南省,19.60,118.30,0.70,0.90,29,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,湖北省,4.40,26.90,-1.30,0.20,30,2024-06-30 00:00:00,1,0,2024-07-21 02:16:29,0,2024-07-21 02:16:29,,,
2024-06,湖南省,,,,,31,2024-06-30 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-06,海南省,4.90,29.70,8.70,6.40,32,2024-06-30 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,广西区,3.60,17.90,-42.10,-49.00,33,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,广东省,181.60,897.70,4.20,6.70,34,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,重庆市,0.30,1.20,84.10,66.80,35,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,四川省,1.90,10.10,41.50,49.30,36,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,贵州省,0.00,0.00,0.00,0.00,37,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,云南省,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,39,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,陕西省,209.10,1026.00,-0.90,-0.60,40,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,甘肃省,109.10,515.60,8.50,6.90,41,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,青海省,19.90,98.80,-0.50,2.10,42,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,宁夏区,10.30,51.80,-6.80,-2.60,43,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,新疆区,274.10,1381.90,-4.20,-1.40,44,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,全国,1814.70,8910.10,0.60,1.80,45,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,北京市,0.00,0.00,0.00,0.00,46,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,天津市,343.20,1642.80,4.60,5.20,47,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,河北省,40.40,197.60,-1.80,-2.40,48,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,山西省,0.00,0.00,0.00,0.00,49,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,内蒙古区,16.50,82.40,20.10,21.10,50,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,辽宁省,82.80,408.70,-1.70,-2.10,51,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,吉林省,34.20,180.80,-5.60,-0.60,52,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,黑龙江省,249.10,1229.90,-2.70,-0.20,53,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,上海市,6.00,28.20,42.90,26.60,54,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,江苏省,14.50,70.10,7.10,6.70,55,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,浙江省,0.00,0.00,0.00,0.00,56,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
2024-05,安徽省,0.00,0.00,0.00,0.00,57,2024-05-31 00:00:00,1,0,2024-07-21 02:16:32,0,2024-07-21 02:16:32,,,
