时间,地区,当月值(亿立方米),同比增长(%),累计值(亿立方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,16.30,44.50,82.60,23.40,1,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,新疆区,0.10,22.40,0.40,7.10,2,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,宁夏区,,,,,3,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,青海省,,,,,4,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,甘肃省,0.00,,0.10,,5,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,陕西省,1.00,57.50,5.60,59.90,6,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,云南省,0.00,-10.60,0.10,153.70,8,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,贵州省,0.70,11.00,4.40,11.60,9,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,四川省,0.20,-9.00,1.10,-1.80,10,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,重庆市,0.00,,0.00,,11,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,海南省,,,,,12,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,广西区,,,,,13,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,广东省,,,,,14,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,湖南省,,-10.50,0.00,-8.20,15,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,湖北省,,,,,16,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,河南省,0.10,15.60,0.70,26.30,17,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,山东省,,,,,18,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,江西省,0.00,188.70,0.10,29.90,19,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,福建省,,,,,20,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,安徽省,0.20,-20.90,1.50,5.40,21,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,浙江省,,,,,22,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,江苏省,0.10,928.90,0.20,181.00,23,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,上海市,,,,,24,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,黑龙江省,0.10,107.60,0.40,94.70,25,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,吉林省,,,,,26,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,辽宁省,0.00,1.40,0.20,22.50,27,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,内蒙古区,0.00,-32.90,0.10,-23.00,28,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,山西省,13.70,49.40,67.20,22.70,29,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,河北省,,,0.10,-17.60,30,2024-06-30 00:00:00,1,0,2024-07-21 02:34:58,0,2024-07-21 02:34:58,,,
2024-06,天津市,,,,,31,2024-06-30 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-06,北京市,0.10,-4.80,0.60,-8.90,32,2024-06-30 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,新疆区,0.10,39.70,0.40,17.30,33,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,宁夏区,0.00,0.00,0.00,0.00,34,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,青海省,0.00,0.00,0.00,0.00,35,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,甘肃省,0.10,0.00,0.10,0.00,36,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,陕西省,1.00,46.80,4.60,60.30,37,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,云南省,0.00,0.00,0.10,0.00,39,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,贵州省,0.70,11.60,3.40,8.40,40,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,四川省,0.20,-3.60,0.90,-0.10,41,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,重庆市,0.00,0.00,0.00,0.00,42,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,海南省,0.00,0.00,0.00,0.00,43,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,广西区,0.00,0.00,0.00,0.00,44,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,广东省,0.00,0.00,0.00,0.00,45,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,湖南省,0.00,-13.70,0.00,-7.70,46,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,湖北省,0.00,0.00,0.00,0.00,47,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,河南省,0.10,19.80,0.50,28.90,48,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,山东省,0.00,0.00,0.00,0.00,49,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,江西省,0.00,-4.70,0.00,9.40,50,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,福建省,0.00,0.00,0.00,0.00,51,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,安徽省,0.30,-1.20,1.30,10.70,52,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,浙江省,0.00,0.00,0.00,0.00,53,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,江苏省,0.00,271.60,0.20,132.60,54,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,上海市,0.00,0.00,0.00,0.00,55,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,黑龙江省,0.10,154.60,0.30,92.10,56,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,吉林省,0.00,0.00,0.00,0.00,57,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,辽宁省,0.00,-5.70,0.00,-6.40,58,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,内蒙古区,0.00,-35.60,0.10,-20.90,59,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,山西省,11.80,26.90,53.40,16.60,60,2024-05-31 00:00:00,1,0,2024-07-21 02:35:01,0,2024-07-21 02:35:01,,,
2024-05,河北省,0.00,0.00,0.10,-1.60,61,2024-05-31 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-05,天津市,0.00,0.00,0.00,0.00,62,2024-05-31 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-05,北京市,0.10,-8.90,0.50,-9.70,63,2024-05-31 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-05,全国,14.50,26.80,65.90,18.50,64,2024-05-31 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,全国,13.20,17.60,51.30,16.00,65,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,新疆区,0.10,10.60,0.30,12.70,66,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,宁夏区,,,,,67,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,青海省,,,,,68,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,甘肃省,0.00,,0.00,,69,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,陕西省,0.90,57.00,3.70,64.30,70,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,西藏区,,,,,71,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,云南省,0.00,,0.10,,72,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,贵州省,0.70,14.80,2.70,10.10,73,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,四川省,0.20,-7.70,0.70,0.80,74,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,重庆市,,,0.00,,75,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,海南省,,,,,76,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,广西区,,,,,77,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,广东省,,,,,78,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,湖南省,,-10.50,0.00,-5.90,79,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,湖北省,,,,,80,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,河南省,0.10,33.70,0.40,31.50,81,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,山东省,,,,,82,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,江西省,0.00,-29.70,0.00,16.20,83,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,福建省,,,,,84,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,安徽省,0.20,-15.10,1.00,14.00,85,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,浙江省,,,,,86,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,江苏省,0.10,511.10,0.20,110.80,87,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,上海市,,,,,88,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,黑龙江省,0.00,-18.60,0.10,-5.60,89,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,吉林省,,,,,90,2024-04-30 00:00:00,1,0,2024-07-21 02:35:04,0,2024-07-21 02:35:04,,,
2024-04,辽宁省,0.00,2.30,0.00,-6.50,91,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-04,内蒙古区,0.00,-21.30,0.10,-16.80,92,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-04,山西省,10.80,17.60,41.60,13.70,93,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-04,河北省,,,0.10,23.40,94,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-04,天津市,,,,,95,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-04,北京市,0.10,-42.50,0.40,-9.90,96,2024-04-30 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,全国,12.80,15.20,38.00,14.90,97,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,新疆区,0.10,48.80,0.20,13.30,98,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,宁夏区,,,,,99,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,青海省,,,,,100,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,甘肃省,0.00,,0.00,,101,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,陕西省,0.90,62.60,2.80,66.80,102,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,西藏区,,,,,103,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,云南省,0.00,,0.10,,104,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,贵州省,0.60,-9.00,2.00,6.10,105,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,四川省,0.20,2.70,0.50,4.20,106,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,重庆市,,,0.00,,107,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
2024-03,海南省,,,,,108,2024-03-31 00:00:00,1,0,2024-07-21 02:35:08,0,2024-07-21 02:35:08,,,
