时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,1370.20,2.80,8282.80,6.10,1,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,新疆区,19.90,2.40,145.70,6.10,2,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,宁夏区,28.60,23.40,176.60,36.10,3,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,青海省,4.70,-1.10,26.30,-3.10,4,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,甘肃省,39.00,45.90,245.10,4.00,5,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,陕西省,63.50,65.00,371.00,12.30,6,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,云南省,25.70,-21.40,170.20,1.60,8,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,贵州省,,,1.50,,9,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,四川省,16.50,-14.30,110.60,-0.20,10,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,重庆市,,,,,11,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,海南省,23.70,0.80,133.20,-1.10,12,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,广西区,41.90,-4.50,250.90,4.30,13,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,广东省,150.00,-0.30,876.30,11.40,14,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,湖南省,26.80,-7.40,166.90,11.10,15,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,湖北省,35.70,-2.40,217.60,5.00,16,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,河南省,24.10,419.70,146.20,37.30,17,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,山东省,291.40,6.80,1742.60,4.20,18,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,江西省,22.90,11.70,136.30,16.00,19,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,福建省,34.60,10.50,180.20,3.80,20,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,安徽省,23.60,-1.20,137.20,5.90,21,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,浙江省,78.40,-1.70,500.40,8.80,22,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,江苏省,80.50,7.00,457.80,1.30,23,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,上海市,46.40,-6.00,279.40,5.90,24,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,黑龙江省,42.40,27.80,263.20,8.20,25,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,吉林省,21.50,0.20,133.20,18.70,26,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,辽宁省,112.50,-25.20,675.50,-9.20,27,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,内蒙古区,15.30,3.40,95.00,6.00,28,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,山西省,,,,,29,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,河北省,49.00,-8.80,344.90,12.60,30,2024-06-30 00:00:00,1,0,2024-07-21 02:56:28,0,2024-07-21 02:56:28,,,
2024-06,天津市,29.80,-9.80,188.00,8.20,31,2024-06-30 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-06,北京市,21.70,4.00,111.20,7.50,32,2024-06-30 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,新疆区,27.20,42.50,125.80,6.80,33,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,宁夏区,31.10,21.10,147.60,28.00,34,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,青海省,4.90,-4.90,21.60,-3.60,35,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,甘肃省,39.00,-18.30,206.10,-1.30,36,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,陕西省,61.10,17.30,307.50,5.30,37,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,云南省,29.00,-16.10,144.40,7.10,39,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,贵州省,0.00,0.00,0.00,0.00,40,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
2024-05,四川省,19.10,-11.40,94.10,2.70,41,2024-05-31 00:00:00,1,0,2024-07-21 02:56:31,0,2024-07-21 02:56:31,,,
