时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,1656.60,-7.50,10322.20,-3.90,1,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,新疆区,50.60,-2.40,377.00,3.30,2,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,宁夏区,23.80,7.50,152.70,24.50,3,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,青海省,5.60,-3.40,34.10,-0.80,4,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,甘肃省,44.10,72.70,283.90,6.20,5,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,陕西省,67.80,37.30,412.20,9.40,6,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,云南省,30.30,-12.40,191.50,0.90,8,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,贵州省,,,,,9,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,四川省,19.50,13.00,112.50,16.80,10,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,重庆市,,,,,11,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,海南省,20.30,-34.10,125.80,-20.20,12,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,广西区,40.00,-23.20,239.60,-17.10,13,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,广东省,153.90,-19.60,981.40,-4.80,14,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,湖南省,15.90,-32.30,125.90,-6.00,15,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,湖北省,29.80,-29.50,202.10,-19.80,16,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,河南省,14.30,280.90,109.30,22.90,17,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,山东省,420.50,-8.50,2586.40,-11.40,18,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,江西省,17.20,-21.50,125.40,0.30,19,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,福建省,43.70,-13.50,234.30,-20.90,20,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,安徽省,11.40,-33.90,78.00,-17.20,21,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,浙江省,127.00,-6.60,714.80,-2.80,22,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,江苏省,91.50,23.70,502.30,6.80,23,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,上海市,41.10,-28.30,284.00,-11.40,24,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,黑龙江省,37.70,41.70,236.20,21.20,25,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,吉林省,28.20,8.90,157.20,13.70,26,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,辽宁省,202.20,-18.20,1284.10,-2.90,27,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,内蒙古区,21.50,6.30,115.90,8.60,28,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,山西省,,,,,29,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,河北省,75.00,32.30,472.20,28.00,30,2024-06-30 00:00:00,1,0,2024-07-21 03:11:01,0,2024-07-21 03:11:01,,,
2024-06,天津市,12.20,-58.60,106.00,-35.40,31,2024-06-30 00:00:00,1,0,2024-07-21 03:11:04,0,2024-07-21 03:11:04,,,
2024-06,北京市,11.40,-37.50,77.40,-8.90,32,2024-06-30 00:00:00,1,0,2024-07-21 03:11:04,0,2024-07-21 03:11:04,,,
2024-05,新疆区,64.30,27.30,326.40,4.30,33,2024-05-31 00:00:00,1,0,2024-07-21 03:11:04,0,2024-07-21 03:11:04,,,
2024-05,宁夏区,26.00,14.10,128.90,15.70,34,2024-05-31 00:00:00,1,0,2024-07-21 03:11:04,0,2024-07-21 03:11:04,,,
2024-05,青海省,5.80,-1.70,28.50,-0.30,35,2024-05-31 00:00:00,1,0,2024-07-21 03:11:04,0,2024-07-21 03:11:04,,,
