时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,361.40,-19.10,2249.40,-16.40,1,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,新疆区,1.20,-39.80,8.50,14.20,2,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,宁夏区,1.10,-31.70,10.00,1.70,3,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,青海省,0.30,3.60,1.80,-1.40,4,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,甘肃省,0.90,54.20,4.90,70.30,5,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,陕西省,14.70,19.30,85.20,2.80,6,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,云南省,,,,,8,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,贵州省,,,,,9,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,四川省,3.40,-49.40,40.40,17.10,10,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,重庆市,,,,,11,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,海南省,7.40,-22.20,30.70,-31.50,12,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,广西区,7.00,68.80,42.10,29.60,13,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,广东省,45.90,-8.50,218.80,-21.70,14,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,湖南省,2.60,825.00,9.00,95.70,15,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,湖北省,3.50,-8.10,14.40,-24.30,16,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,河南省,5.60,39.80,31.00,-31.20,17,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,山东省,112.50,-16.40,763.00,-3.40,18,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,江西省,1.70,74.90,7.20,-9.00,19,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,福建省,3.90,-59.80,36.00,-35.30,20,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,安徽省,,,2.10,-86.00,21,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
2024-06,浙江省,25.70,-25.90,120.80,-38.00,22,2024-06-30 00:00:00,1,0,2024-07-21 03:18:17,0,2024-07-21 03:18:17,,,
