时间,地区,当月值(亿立方米),同比增长(%),累计值(亿立方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,1434.40,-0.80,8342.80,-2.00,1,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,新疆区,36.70,10.30,213.00,0.50,2,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,宁夏区,15.60,-7.40,81.90,-2.80,3,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,青海省,1.60,185.70,8.90,64.20,4,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,甘肃省,14.70,-6.40,99.50,1.90,5,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,陕西省,33.10,28.40,168.60,5.30,6,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,西藏区,,,,,7,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,云南省,30.20,9.50,155.30,-2.80,8,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,贵州省,7.60,4.80,43.20,9.00,9,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,四川省,32.00,-9.50,183.40,-12.80,10,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,重庆市,11.60,-24.90,73.80,-17.90,11,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,海南省,,,,,12,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,广西区,57.70,-10.60,370.40,6.50,13,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,广东省,33.90,-11.10,222.10,-2.30,14,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,湖南省,30.00,-0.50,174.20,-2.60,15,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,湖北省,37.30,-12.60,224.50,-8.80,16,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,河南省,47.30,-16.00,286.30,-9.40,17,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,山东省,112.30,13.80,630.50,3.60,18,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,江西省,41.90,2.80,232.30,-0.60,19,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,福建省,33.30,5.80,199.00,6.70,20,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,安徽省,45.50,-5.00,261.40,-5.30,21,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,浙江省,13.60,5.40,80.50,4.20,22,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,江苏省,141.40,-6.70,861.80,-3.40,23,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,上海市,21.80,-0.30,126.10,-3.70,24,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,黑龙江省,14.50,-1.20,83.60,0.70,25,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,吉林省,15.70,-17.60,101.10,-7.80,26,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,辽宁省,104.40,-3.50,610.40,-6.60,27,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,内蒙古区,60.60,17.00,338.80,7.80,28,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,山西省,118.90,3.90,629.00,-1.80,29,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,河北省,293.20,0.30,1712.20,-3.10,30,2024-06-30 00:00:00,1,0,2024-07-21 03:54:52,0,2024-07-21 03:54:52,,,
2024-06,天津市,28.10,-9.00,171.00,1.10,31,2024-06-30 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-06,北京市,,,,,32,2024-06-30 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,新疆区,34.80,-6.20,176.30,-1.30,33,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,宁夏区,16.30,0.40,66.20,-2.30,34,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,青海省,1.80,288.00,7.30,50.40,35,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,甘肃省,15.10,-10.20,84.80,3.50,36,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,陕西省,32.40,28.00,134.60,0.30,37,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,西藏区,0.00,0.00,0.00,0.00,38,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,云南省,25.60,-13.10,125.00,-5.30,39,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,贵州省,7.50,5.50,35.60,9.90,40,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,四川省,30.30,-13.90,151.40,-13.50,41,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,重庆市,11.90,-23.40,62.30,-16.50,42,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,海南省,0.00,0.00,0.00,0.00,43,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,广西区,62.80,-3.80,308.60,9.00,44,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,广东省,40.70,1.50,188.30,-0.50,45,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,湖南省,30.50,-1.70,144.20,-3.00,46,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,湖北省,40.50,-4.50,187.20,-8.00,47,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,河南省,53.30,-2.50,239.00,-8.00,48,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,山东省,111.40,11.60,516.40,1.00,49,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,江西省,42.20,0.00,190.30,-1.30,50,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,福建省,35.30,11.10,165.70,6.90,51,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,安徽省,43.90,-6.40,215.90,-5.40,52,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,浙江省,13.70,4.80,66.90,4.00,53,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,江苏省,144.60,-6.00,713.60,-3.60,54,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,上海市,22.70,2.80,104.30,-4.40,55,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,黑龙江省,14.80,-0.40,69.10,1.10,56,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,吉林省,16.80,-15.50,85.40,-5.70,57,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,辽宁省,105.50,-0.50,505.60,-7.30,58,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,内蒙古区,56.80,8.70,276.90,8.20,59,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,山西省,110.30,1.70,508.30,-3.20,60,2024-05-31 00:00:00,1,0,2024-07-21 03:54:56,0,2024-07-21 03:54:56,,,
2024-05,河北省,298.60,1.50,1418.90,-3.80,61,2024-05-31 00:00:00,1,0,2024-07-21 03:54:59,0,2024-07-21 03:54:59,,,
