时间,地区,当月值(万吨),同比增长(%),累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,全国,16397.00,-10.70,85046.80,-10.00,1,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,新疆区,554.15,,1846.80,,2,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,宁夏区,169.11,,635.00,,3,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,青海省,128.88,,423.09,,4,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,甘肃省,460.97,,1678.34,,5,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,陕西省,517.75,,2535.99,,6,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,西藏区,179.76,,569.07,,7,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,云南省,741.99,,4481.89,,8,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,贵州省,410.59,,2369.24,,9,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,四川省,959.55,,5562.18,,10,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,重庆市,374.14,,2313.76,,11,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,海南省,116.74,,672.58,,12,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,广西区,726.82,,4326.79,,13,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,广东省,940.45,,5985.64,,14,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,湖南省,575.01,,3204.01,,15,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,湖北省,776.95,,4144.72,,16,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,河南省,688.64,,4048.93,,17,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,山东省,1257.68,,5658.80,,18,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,江西省,464.19,,3017.16,,19,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,福建省,461.10,,2976.51,,20,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,安徽省,983.06,,5727.40,,21,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,浙江省,921.34,,5476.49,,22,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,江苏省,1126.96,,6329.94,,23,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,上海市,27.52,,172.36,,24,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,黑龙江省,257.75,,734.33,,25,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,吉林省,229.30,,742.20,,26,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,辽宁省,337.81,,1359.60,,27,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,内蒙古区,419.33,,1390.84,,28,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,山西省,477.04,,1794.14,,29,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,河北省,1048.83,,4582.88,,30,2024-06-30 00:00:00,1,0,2024-07-21 04:02:21,0,2024-07-21 04:02:21,,,
2024-06,天津市,51.50,,204.37,,31,2024-06-30 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-06,北京市,12.09,,81.72,,32,2024-06-30 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,新疆区,572.82,,1293.11,,33,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,宁夏区,175.33,,465.89,,34,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,青海省,128.85,,294.20,,35,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,甘肃省,445.20,,1217.34,,36,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,陕西省,559.40,,2019.31,,37,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,西藏区,144.12,,389.28,,38,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,云南省,822.10,,3748.98,,39,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,贵州省,478.54,,1958.27,,40,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,四川省,1059.56,,4610.95,,41,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,重庆市,381.58,,1939.69,,42,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,海南省,123.74,,555.84,,43,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,广西区,753.88,,3600.19,,44,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,广东省,1009.74,,5040.23,,45,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,湖南省,660.15,,2625.89,,46,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,湖北省,790.23,,3342.71,,47,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,河南省,894.04,,3360.09,,48,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,山东省,1288.76,,4485.48,,49,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,江西省,595.35,,2563.04,,50,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
2024-05,福建省,526.72,,2515.09,,51,2024-05-31 00:00:00,1,0,2024-07-21 04:02:25,0,2024-07-21 04:02:25,,,
