时间,累计值(亿元),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,,-9.50,1,2024-06-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2024-05,,-9.40,2,2024-05-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2024-04,,-8.60,3,2024-04-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2024-03,,-7.90,4,2024-03-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2024-02,,-7.50,5,2024-02-29 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-12,,-8.10,6,2023-12-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-11,,-8.00,7,2023-11-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-10,,-7.80,8,2023-10-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-09,,-7.80,9,2023-09-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-08,,-7.50,10,2023-08-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-07,,-7.10,11,2023-07-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-06,,-6.70,12,2023-06-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-05,,-6.00,13,2023-05-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-04,,-5.30,14,2023-04-30 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-03,,-5.10,15,2023-03-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2023-02,,-5.10,16,2023-02-28 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
2022-12,,-8.40,17,2022-12-31 00:00:00,1,0,2024-07-21 04:24:45,0,2024-07-21 04:24:45,,,
