时间,项目名称,累计值(亿元),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,办公楼销售额,1566.88,-9.00,1,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-06,办公楼销售面积,1201.54,-4.80,2,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-06,办公楼期房销售面积,649.39,-14.10,3,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-06,办公楼期房销售额,822.33,-20.20,4,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-06,办公楼现房销售额,744.54,7.60,5,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-06,办公楼现房销售面积,552.15,9.10,6,2024-06-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼期房销售额,597.08,-16.80,7,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼期房销售面积,469.99,-14.50,8,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼现房销售额,562.68,12.40,9,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼销售额,1159.75,-4.80,10,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼现房销售面积,409.04,16.10,11,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-05,办公楼销售面积,879.04,-2.50,12,2024-05-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼期房销售额,488.83,-12.30,13,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼现房销售额,469.45,18.60,14,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼期房销售面积,385.25,-10.40,15,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼销售面积,714.90,0.50,16,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼现房销售面积,329.64,17.00,17,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-04,办公楼销售额,958.28,0.60,18,2024-04-30 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼销售面积,580.55,11.90,19,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼现房销售额,342.57,11.20,20,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼销售额,758.68,6.30,21,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼期房销售额,416.11,2.60,22,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼现房销售面积,251.60,21.80,23,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-03,办公楼期房销售面积,328.95,5.40,24,2024-03-31 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼销售面积,268.41,14.90,25,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼销售额,331.54,9.90,26,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼期房销售面积,136.10,-7.70,27,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼现房销售面积,14.90,53.30,28,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼现房销售额,164.16,39.20,29,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2024-02,办公楼期房销售额,167.37,-8.90,30,2024-02-29 00:00:00,1,0,2024-07-21 04:47:30,0,2024-07-21 04:47:30,,,
2023-12,办公楼销售额,3742.22,-12.90,31,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-12,办公楼销售面积,2717.14,-9.00,32,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-12,办公楼期房销售额,2083.25,-24.10,33,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-12,办公楼现房销售额,1658.97,7.10,34,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-12,办公楼期房销售面积,1571.19,-20.50,35,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-12,办公楼现房销售面积,1145.96,13.60,36,2023-12-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼期房销售额,1776.23,-24.10,37,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼销售额,3088.00,-15.10,38,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼现房销售额,1311.76,1.10,39,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼期房销售面积,1339.36,-22.80,40,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼销售面积,2280.35,-11.50,41,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-11,办公楼现房销售面积,940.99,11.70,42,2023-11-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼期房销售面积,1237.76,-23.20,43,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼销售面积,2099.24,-12.60,44,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼期房销售额,1652.43,-24.50,45,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼销售额,2831.84,-17.30,46,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼现房销售额,1179.41,-4.60,47,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-10,办公楼现房销售面积,861.49,9.10,48,2023-10-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼现房销售额,1083.96,-5.10,49,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼期房销售额,1555.94,-22.30,50,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼销售额,2639.90,-16.10,51,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼现房销售面积,796.48,9.60,52,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼销售面积,1948.03,-11.80,53,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-09,办公楼期房销售面积,1151.55,-22.30,54,2023-09-30 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼现房销售面积,675.52,10.80,55,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼销售额,2224.21,-16.60,56,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼期房销售额,1303.53,-22.00,57,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼现房销售额,920.69,-7.50,58,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼期房销售面积,965.34,-24.00,59,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-08,办公楼销售面积,1640.86,-12.70,60,2023-08-31 00:00:00,1,0,2024-07-21 04:47:34,0,2024-07-21 04:47:34,,,
2023-07,办公楼销售额,1922.50,-20.20,61,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-07,办公楼期房销售额,1149.83,-23.80,62,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-07,办公楼现房销售额,772.67,-14.10,63,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-07,办公楼期房销售面积,853.14,-27.70,64,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-07,办公楼现房销售面积,576.58,1.20,65,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-07,办公楼销售面积,1429.73,-18.30,66,2023-07-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼销售额,1727.61,-18.60,67,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼期房销售额,1035.85,-22.40,68,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼销售面积,1268.85,-18.80,69,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼期房销售面积,762.80,-27.80,70,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼现房销售额,691.76,-12.10,71,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-06,办公楼现房销售面积,506.05,-0.20,72,2023-06-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼现房销售额,500.65,-11.80,73,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼销售额,1223.92,-17.40,74,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼现房销售面积,352.55,-0.80,75,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼销售面积,910.94,-17.00,76,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼期房销售额,723.27,-20.80,77,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-05,办公楼期房销售面积,558.39,-24.80,78,2023-05-31 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-04,办公楼销售额,962.81,-10.50,79,2023-04-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-04,办公楼现房销售面积,282.47,4.90,80,2023-04-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-04,办公楼销售面积,727.57,-14.90,81,2023-04-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-04,办公楼期房销售额,566.66,-16.20,82,2023-04-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
2023-04,办公楼现房销售额,396.15,-0.70,83,2023-04-30 00:00:00,1,0,2024-07-21 04:47:36,0,2024-07-21 04:47:36,,,
