时间,项目名称,当期值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023.00,国内生产总值(亿元),1260582.10,1,2023-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2023.00,第三产业增加值(亿元),688238.40,2,2023-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2023.00,第二产业增加值(亿元),482588.50,3,2023-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2023.00,人均国内生产总值(元),89358.00,4,2023-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2023.00,第一产业增加值(亿元),89755.20,5,2023-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2022.00,第一产业增加值(亿元),88345.10,6,2022-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2022.00,第三产业增加值(亿元),638697.60,7,2022-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2022.00,人均国内生产总值(元),85698.00,8,2022-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2022.00,国内生产总值(亿元),1210207.20,9,2022-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2022.00,第二产业增加值(亿元),483164.50,10,2022-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,第三产业增加值(亿元),609679.70,11,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,国民总收入(亿元),1133518.00,12,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,第二产业增加值(亿元),450904.50,13,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,国内生产总值(亿元),1143669.70,14,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,人均国内生产总值(元),80976.00,15,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2021.00,第一产业增加值(亿元),83085.50,16,2021-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,人均国内生产总值(元),71828.00,17,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,国民总收入(亿元),1006363.30,18,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,第一产业增加值(亿元),78030.90,19,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,第二产业增加值(亿元),383562.40,20,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,第三产业增加值(亿元),551973.70,21,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2020.00,国内生产总值(亿元),1013567.00,22,2020-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,国民总收入(亿元),983751.20,23,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,国内生产总值(亿元),990865.00,24,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,第三产业增加值(亿元),534233.00,25,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,人均国内生产总值(元),70078.00,26,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,第二产业增加值(亿元),386165.00,27,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2019.00,第一产业增加值(亿元),70467.00,28,2019-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2018.00,国内生产总值(亿元),919281.10,29,2018-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2018.00,第三产业增加值(亿元),489700.80,30,2018-12-31 00:00:00,1,0,2024-07-21 04:53:13,0,2024-07-21 04:53:13,,,
2018.00,国内生产总值(亿元),919281.10,31,2018-12-31 00:00:00,1,0,2024-07-21 04:53:15,0,2024-07-21 04:53:15,,,
2018.00,第二产业增加值(亿元),364835.20,32,2018-12-31 00:00:00,1,0,2024-07-21 04:53:15,0,2024-07-21 04:53:15,,,
2018.00,第一产业增加值(亿元),64745.20,33,2018-12-31 00:00:00,1,0,2024-07-21 04:53:15,0,2024-07-21 04:53:15,,,
2018.00,人均国内生产总值(元),64644.00,34,2018-12-31 00:00:00,1,0,2024-07-21 04:53:15,0,2024-07-21 04:53:15,,,
2017.00,第三产业增加值(亿元),427032.00,35,2017-12-31 00:00:00,1,0,2024-07-21 04:53:15,0,2024-07-21 04:53:15,,,
